Time,HwActive,HwTOutlet,ChActive,ActPow,PrimTSet,PrimT,HwTSet
2018-02-01T00:34:37.747Z,,20.6,,,,,0
2018-02-01T00:34:47.711Z,,20.6,,,,39.4,0
2018-02-01T00:34:57.827Z,,20.6,,,,,0
2018-02-01T00:35:07.712Z,,20.6,,,,,0
2018-02-01T00:35:17.724Z,,20.6,,,,,0
2018-02-01T00:35:27.712Z,,20.8,,,,,0
2018-02-01T00:35:37.713Z,,20.8,,,,,0
2018-02-01T00:35:47.714Z,,20.8,,,,,0
2018-02-01T00:35:57.802Z,,20.8,,,,39.3,0
2018-02-01T00:36:07.712Z,,20.8,,,,,0
2018-02-01T00:36:17.712Z,,20.8,,,,,0
2018-02-01T00:36:27.712Z,,20.8,,,,,0
2018-02-01T00:36:37.713Z,,20.8,,,,,0
2018-02-01T00:36:47.712Z,,20.8,,,,,0
2018-02-01T00:37:03.180Z,,20.8,,,,,0
2018-02-01T00:37:07.713Z,,20.8,,,,,0
2018-02-01T00:37:17.713Z,,20.8,,,,,0
2018-02-01T00:37:27.930Z,,20.8,,,,39.2,0
2018-02-01T00:37:37.712Z,,20.8,,,,,0
2018-02-01T00:37:47.712Z,,20.8,,,,,0
2018-02-01T00:37:57.805Z,,20.8,,,,,0
2018-02-01T00:38:07.712Z,,20.8,,,,,0
2018-02-01T00:38:17.713Z,,20.8,,,,,0
2018-02-01T00:38:27.712Z,,20.8,,,,,0
2018-02-01T00:38:37.713Z,,20.8,,,,,0
2018-02-01T00:38:47.715Z,,20.8,,,,,0
2018-02-01T00:38:57.803Z,,20.8,,,,39.1,0
2018-02-01T00:39:07.713Z,,20.8,,,,,0
2018-02-01T00:39:17.714Z,,20.8,,,,,0
2018-02-01T00:39:27.714Z,,20.8,,,,,0
2018-02-01T00:39:37.751Z,,20.8,,,,,0
2018-02-01T00:39:47.714Z,,20.8,,,,,0
2018-02-01T00:39:57.805Z,,20.8,,,,,0
2018-02-01T00:40:07.713Z,,20.8,,,,,0
2018-02-01T00:40:17.715Z,,20.8,,,,38.9,0
2018-02-01T00:40:29.312Z,,20.8,,,,,0
2018-02-01T00:40:37.749Z,,20.8,,,,,0
2018-02-01T00:40:47.714Z,,20.8,,,,,0
2018-02-01T00:40:57.824Z,,20.8,,,,,0
2018-02-01T00:41:07.715Z,,20.8,,,,,0
2018-02-01T00:41:17.714Z,,20.8,,,,,0
2018-02-01T00:41:27.714Z,,20.9,,,,,0
2018-02-01T00:41:37.733Z,,20.8,,,,,0
2018-02-01T00:41:47.715Z,,20.9,,,,38.8,0
2018-02-01T00:41:57.804Z,,20.9,,,,,0
2018-02-01T00:42:07.714Z,,20.9,,,,,0
2018-02-01T00:42:17.723Z,,20.9,,,,,0
2018-02-01T00:42:27.714Z,,20.9,,,,,0
2018-02-01T00:42:37.714Z,,20.9,,,,,0
2018-02-01T00:42:47.714Z,,20.9,,,,,0
2018-02-01T00:42:57.804Z,,20.9,,,,,0
2018-02-01T00:43:07.742Z,,20.9,,,,,0
2018-02-01T00:43:17.714Z,,20.9,,,,38.7,0
2018-02-01T00:43:27.714Z,,20.9,,,,,0
2018-02-01T00:43:37.714Z,,20.9,,,,,0
2018-02-01T00:43:47.715Z,,20.9,,,,,0
2018-02-01T00:43:57.804Z,,20.9,,,,,0
2018-02-01T00:44:07.717Z,,20.9,,,,,0
2018-02-01T00:44:17.714Z,,20.9,,,,,0
2018-02-01T00:44:27.715Z,,20.9,,,,,0
2018-02-01T00:44:37.714Z,,20.9,,,,38.6,0
2018-02-01T00:44:47.715Z,,20.9,,,,,0
2018-02-01T00:44:57.804Z,,20.9,,,,,0
2018-02-01T00:45:07.919Z,,20.9,,,,,0
2018-02-01T00:45:17.715Z,,20.9,,,,,0
2018-02-01T00:45:27.721Z,,20.9,,,,,0
2018-02-01T00:45:37.715Z,,20.9,,,,,0
2018-02-01T00:45:47.721Z,,20.9,,,,,0
2018-02-01T00:45:57.804Z,,20.9,,,,,0
2018-02-01T00:46:07.715Z,,20.9,,,,38.5,0
2018-02-01T00:46:17.715Z,,20.9,,,,,0
2018-02-01T00:46:27.721Z,,20.9,,,,,0
2018-02-01T00:46:37.715Z,,20.9,,,,,0
2018-02-01T00:46:47.724Z,,20.9,,,,,0
2018-02-01T00:46:57.805Z,,20.9,,,,,0
2018-02-01T00:47:07.715Z,,20.9,,,,,0
2018-02-01T00:47:17.715Z,,20.9,,,,,0
2018-02-01T00:47:27.716Z,,20.9,,,,38.4,0
2018-02-01T00:47:37.715Z,,20.9,,,,,0
2018-02-01T00:47:47.716Z,,20.9,,,,,0
2018-02-01T00:47:57.805Z,,20.9,,,,,0
2018-02-01T00:48:07.715Z,,20.9,,,,,0
2018-02-01T00:48:17.715Z,,20.9,,,,,0
2018-02-01T00:48:27.716Z,,20.9,,,,,0
2018-02-01T00:48:37.715Z,,20.9,,,,,0
2018-02-01T00:48:47.714Z,,20.9,,,,,0
2018-02-01T00:48:57.805Z,,20.9,,,,38.3,0
2018-02-01T00:49:07.715Z,,20.9,,,,,0
2018-02-01T00:49:17.910Z,,20.9,,,,,0
2018-02-01T00:49:27.719Z,,20.9,,,,,0
2018-02-01T00:49:37.715Z,,20.9,,,,,0
2018-02-01T00:49:47.716Z,,20.9,,,,,0
2018-02-01T00:49:57.805Z,,20.9,,,,,0
2018-02-01T00:50:07.716Z,,20.9,,,,,0
2018-02-01T00:50:17.758Z,,20.9,,,,,0
2018-02-01T00:50:27.716Z,,20.9,,,,,0
2018-02-01T00:50:37.724Z,,20.9,,,,38.2,0
2018-02-01T00:50:47.719Z,,20.9,,,,,0
2018-02-01T00:50:57.806Z,,20.9,,,,,0
2018-02-01T00:51:07.723Z,,20.9,,,,,0
2018-02-01T00:51:17.729Z,,20.9,,,,,0
2018-02-01T00:51:27.724Z,,20.9,,,,,0
2018-02-01T00:51:37.718Z,,20.9,,,,,0
2018-02-01T00:51:47.716Z,,20.9,,,,38.1,0
2018-02-01T00:51:57.807Z,,20.9,,,,,0
2018-02-01T00:52:07.718Z,,20.9,,,,,0
2018-02-01T00:52:17.717Z,,20.9,,,,,0
2018-02-01T00:52:27.719Z,,20.9,,,,,0
2018-02-01T00:52:37.717Z,,20.9,,,,,0
2018-02-01T00:52:47.720Z,,20.9,,,,,0
2018-02-01T00:52:57.816Z,,20.9,,,,,0
2018-02-01T00:53:07.716Z,,20.9,,,,,0
2018-02-01T00:53:17.717Z,,20.9,,,,,0
2018-02-01T00:53:27.748Z,,20.9,,,,38,0
2018-02-01T00:53:37.716Z,,20.9,,,,,0
2018-02-01T00:53:47.716Z,,20.9,,,,,0
2018-02-01T00:53:57.827Z,,20.9,,,,,0
2018-02-01T00:54:07.716Z,,20.9,,,,,0
2018-02-01T00:54:17.717Z,,20.9,,,,,0
2018-02-01T00:54:27.739Z,,20.9,,,,,0
2018-02-01T00:54:37.717Z,,20.9,,,,,0
2018-02-01T00:54:47.719Z,,20.9,,,,38,0
2018-02-01T00:54:57.827Z,,20.9,,,,37.9,0
2018-02-01T00:55:07.716Z,,20.9,,,,,0
2018-02-01T00:55:17.716Z,,20.9,,,,,0
2018-02-01T00:55:27.761Z,,20.9,,,,,0
2018-02-01T00:55:37.717Z,,20.9,,,,,0
2018-02-01T00:55:47.717Z,,20.9,,,,,0
2018-02-01T00:55:57.815Z,,20.9,,,,,0
2018-02-01T00:56:07.718Z,,20.9,,,,,0
2018-02-01T00:56:17.716Z,,20.9,,,,,0
2018-02-01T00:56:27.737Z,,20.9,,,,,0
2018-02-01T00:56:37.717Z,,20.9,,,,37.8,0
2018-02-01T00:56:47.717Z,,20.9,,,,,0
2018-02-01T00:56:57.817Z,,20.9,,,,,0
2018-02-01T00:57:07.717Z,,20.9,,,,,0
2018-02-01T00:57:17.717Z,,20.9,,,,,0
2018-02-01T00:57:27.717Z,,20.9,,,,,0
2018-02-01T00:57:37.718Z,,20.9,,,,,0
2018-02-01T00:57:47.717Z,,20.9,,,,,0
2018-02-01T00:57:57.809Z,,20.9,,,,,0
2018-02-01T00:58:07.717Z,,20.9,,,,37.7,0
2018-02-01T00:58:17.717Z,,20.9,,,,,0
2018-02-01T00:58:27.717Z,,20.9,,,,,0
2018-02-01T00:58:37.719Z,,20.9,,,,,0
2018-02-01T00:58:47.735Z,,20.9,,,,,0
2018-02-01T00:58:57.911Z,,20.9,,,,,0
2018-02-01T00:59:07.718Z,,20.9,,,,,0
2018-02-01T00:59:17.719Z,,20.9,,,,,0
2018-02-01T00:59:27.720Z,,20.9,,,,,0
2018-02-01T00:59:37.720Z,,20.9,,,,37.6,0
2018-02-01T00:59:47.717Z,,20.9,,,,,0
2018-02-01T00:59:57.888Z,,20.9,,,,,0
2018-02-01T01:00:07.718Z,,20.9,,,,,0
2018-02-01T01:00:17.718Z,,20.9,,,,,0
2018-02-01T01:00:27.717Z,,20.9,,,,,0
2018-02-01T01:00:42.744Z,,20.9,,,,,0
2018-02-01T01:00:47.718Z,,20.9,,,,,0
2018-02-01T01:00:57.870Z,,20.9,,,,,0
2018-02-01T01:01:07.723Z,,20.9,,,,37.5,0
2018-02-01T01:01:17.729Z,,20.9,,,,,0
2018-02-01T01:01:27.718Z,,20.9,,,,,0
2018-02-01T01:01:37.718Z,,20.9,,,,,0
2018-02-01T01:01:47.718Z,,20.9,,,,,0
2018-02-01T01:01:57.808Z,,20.9,,,,,0
2018-02-01T01:02:07.740Z,,20.9,,,,,0
2018-02-01T01:02:17.720Z,,20.9,,,,,0
2018-02-01T01:02:27.720Z,,20.9,,,,,0
2018-02-01T01:02:37.719Z,,20.9,,,,37.4,0
2018-02-01T01:02:47.893Z,,20.9,,,,37.5,0
2018-02-01T01:02:58.114Z,,20.9,,,,37.4,0
2018-02-01T01:03:07.718Z,,20.9,,,,,0
2018-02-01T01:03:17.718Z,,20.9,,,,,0
2018-02-01T01:03:27.721Z,,20.9,,,,,0
2018-02-01T01:03:37.718Z,,20.9,,,,,0
2018-02-01T01:03:47.718Z,,20.9,,,,,0
2018-02-01T01:03:57.808Z,,20.9,,,,,0
2018-02-01T01:04:07.719Z,,20.9,,,,,0
2018-02-01T01:04:17.718Z,,20.9,,,,37.3,0
2018-02-01T01:04:27.719Z,,20.9,,,,,0
2018-02-01T01:04:37.721Z,,20.9,,,,,0
2018-02-01T01:04:47.719Z,,20.9,,,,,0
2018-02-01T01:04:57.808Z,,20.9,,,,,0
2018-02-01T01:05:07.719Z,,20.9,,,,,0
2018-02-01T01:05:17.718Z,,20.9,,,,,0
2018-02-01T01:05:27.721Z,,20.9,,,,,0
2018-02-01T01:05:37.718Z,,20.8,,,,,0
2018-02-01T01:05:47.720Z,,20.9,,,,,0
2018-02-01T01:05:57.813Z,,20.9,,,,,0
2018-02-01T01:06:07.724Z,,20.9,,,,37.2,0
2018-02-01T01:06:17.719Z,,20.8,,,,,0
2018-02-01T01:06:27.723Z,,20.8,,,,,0
2018-02-01T01:06:37.724Z,,20.8,,,,,0
2018-02-01T01:06:47.719Z,,20.8,,,,,0
2018-02-01T01:06:57.809Z,,20.8,,,,,0
2018-02-01T01:07:07.720Z,,20.8,,,,,0
2018-02-01T01:07:17.723Z,,20.8,,,,,0
2018-02-01T01:07:27.719Z,,20.8,,,,,0
2018-02-01T01:07:37.724Z,,20.8,,,,37.1,0
2018-02-01T01:07:47.720Z,,20.8,,,,,0
2018-02-01T01:07:57.816Z,,20.8,,,,,0
2018-02-01T01:08:07.721Z,,20.8,,,,,0
2018-02-01T01:08:17.719Z,,20.8,,,,,0
2018-02-01T01:08:27.721Z,,20.8,,,,,0
2018-02-01T01:08:37.721Z,,20.8,,,,,0
2018-02-01T01:08:52.866Z,,20.8,,,,,0
2018-02-01T01:08:57.832Z,,20.8,,,,,0
2018-02-01T01:09:07.719Z,,20.8,,,,36.9,0
2018-02-01T01:09:17.737Z,,20.8,,,,37.1,0
2018-02-01T01:09:27.725Z,,20.8,,,,36.9,0
2018-02-01T01:09:37.746Z,,20.8,,,,,0
2018-02-01T01:09:47.722Z,,20.8,,,,,0
2018-02-01T01:09:57.810Z,,20.8,,,,,0
2018-02-01T01:10:07.722Z,,20.8,,,,,0
2018-02-01T01:10:17.720Z,,20.8,,,,,0
