Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTOutlet,HwTSet
2017-12-02T00:38:20.922Z,58.1,,29,,,36.2,0
2017-12-02T00:38:30.911Z,59.1,,30,60,,36.2,0
2017-12-02T00:38:40.912Z,60,,29,,,36.1,0
2017-12-02T00:38:50.961Z,61.1,,30,61,,36.1,0
2017-12-02T00:39:00.919Z,61.5,,,60,,36.1,0
2017-12-02T00:39:10.917Z,62,,29,,,36,0
2017-12-02T00:39:20.944Z,,,,61,,36,0
2017-12-02T00:39:30.908Z,62.1,,30,60,,36,0
2017-12-02T00:39:41.468Z,,,,61,,35.9,0
2017-12-02T00:39:50.944Z,62,,,,,35.9,0
2017-12-02T00:40:00.922Z,61.9,,29,,,35.9,0
2017-12-02T00:40:10.910Z,,,30,,,35.8,0
2017-12-02T00:40:26.144Z,61.8,,,,,35.8,0
2017-12-02T00:40:31.063Z,62,,30,,,35.8,0
2017-12-02T00:40:40.935Z,62.4,,29,,,35.8,0
2017-12-02T00:40:50.916Z,63.2,,30,,,35.8,0
2017-12-02T00:41:00.915Z,64.1,,30,,,35.7,0
2017-12-02T00:41:10.927Z,62.9,0,0,61,2,35.7,0
2017-12-02T00:41:21.064Z,58.7,,,,,35.7,0
2017-12-02T00:41:30.918Z,56.9,,,,,35.7,0
2017-12-02T00:41:40.915Z,55.9,,,,,35.7,0
2017-12-02T00:41:50.916Z,55.7,,,,,35.6,0
2017-12-02T00:42:00.931Z,55.3,,,,,35.6,0
2017-12-02T00:42:10.910Z,55.2,,,,,35.6,0
2017-12-02T00:42:20.919Z,,,,,,35.6,0
2017-12-02T00:42:30.911Z,,,,,,35.5,0
2017-12-02T00:42:40.921Z,55.3,,,,,35.5,0
2017-12-02T00:42:50.915Z,55.4,,,,,35.5,0
2017-12-02T00:43:00.929Z,55.5,,,,,35.5,0
2017-12-02T00:43:10.923Z,55.6,,,,,35.5,0
2017-12-02T00:43:20.917Z,56,,,,,35.5,0
2017-12-02T00:43:30.910Z,,,,,,35.5,0
2017-12-02T00:43:40.915Z,56.2,,,,,35.5,0
2017-12-02T00:43:51.107Z,55.9,,,,,35.4,0
2017-12-02T00:44:00.911Z,55.7,,,,,35.4,0
2017-12-02T00:44:10.914Z,54.8,,,,,35.4,0
2017-12-02T00:44:21.058Z,58.2,0,38,,2,35.4,0
2017-12-02T00:44:30.915Z,63.3,,30,,,35.4,0
2017-12-02T00:44:40.914Z,65.1,,0,,,35.3,0
2017-12-02T00:44:50.909Z,61.6,0,,,2,35.3,0
2017-12-02T00:45:00.909Z,58.8,,,,,35.3,0
2017-12-02T00:45:10.913Z,56.2,,,,,35.3,0
2017-12-02T00:45:20.910Z,54.9,,,60,,35.3,0
2017-12-02T00:45:31.205Z,54.7,,,,,35.3,0
2017-12-02T00:45:40.910Z,53.9,,,61,,35.3,0
2017-12-02T00:45:50.910Z,53.4,,,,,35.2,0
2017-12-02T00:46:00.910Z,52.9,,,,,35.2,0
2017-12-02T00:46:10.914Z,52.8,,,,,35.2,0
