Time,HwTSet,HwActive,PrimTSet,ChActive,ActPow,PrimT,HwTOutlet
2018-01-14T01:02:27.801Z,0,,,,,,23.9
2018-01-14T01:02:37.802Z,0,,,,,,23.9
2018-01-14T01:02:47.801Z,0,,,,,,23.9
2018-01-14T01:02:57.807Z,0,,,,,,23.9
2018-01-14T01:03:07.803Z,0,,,,,,23.9
2018-01-14T01:03:17.802Z,0,,,,,,23.9
2018-01-14T01:03:28.007Z,0,,,,,,23.9
2018-01-14T01:03:37.808Z,0,,,,,,23.9
2018-01-14T01:03:47.801Z,0,,,,,39.5,23.9
2018-01-14T01:03:57.809Z,0,,,,,,23.9
2018-01-14T01:04:07.802Z,0,,,,,,23.8
2018-01-14T01:04:17.802Z,0,,,,,,23.8
2018-01-14T01:04:27.803Z,0,,,,,,23.8
2018-01-14T01:04:42.894Z,0,,,,,,23.8
2018-01-14T01:04:47.997Z,0,,,,,,23.8
2018-01-14T01:05:02.922Z,0,,,,,,23.8
2018-01-14T01:05:07.805Z,0,,,,,,23.8
2018-01-14T01:05:17.803Z,0,,,,,39.4,23.8
2018-01-14T01:05:37.802Z,0,,,,,,23.8
2018-01-14T01:05:57.804Z,0,,,,,,23.8
2018-01-14T01:06:07.802Z,0,,,,,,23.8
2018-01-14T01:06:17.802Z,0,,,,,,23.7
2018-01-14T01:06:27.802Z,0,,,,,,23.7
2018-01-14T01:06:37.802Z,0,,,,,,23.7
2018-01-14T01:06:47.802Z,,,,,,39.3,
2018-01-14T01:06:57.804Z,0,,,,,,23.7
2018-01-14T01:07:07.810Z,0,,,,,,23.7
2018-01-14T01:07:17.802Z,0,,,,,,23.7
2018-01-14T01:07:27.802Z,0,,,,,,23.7
2018-01-14T01:07:37.802Z,0,,,,,,23.7
2018-01-14T01:07:47.803Z,0,,,,,,23.7
2018-01-14T01:07:57.802Z,0,,,,,,23.7
2018-01-14T01:08:07.802Z,0,,,,,,23.7
2018-01-14T01:08:17.802Z,0,,,,,39.2,23.7
2018-01-14T01:08:27.805Z,0,,,,,,23.7
2018-01-14T01:08:37.802Z,0,,,,,,23.7
2018-01-14T01:08:47.805Z,0,,,,,,23.6
2018-01-14T01:09:07.803Z,0,,,,,,23.6
2018-01-14T01:09:17.808Z,0,,,,,,23.6
2018-01-14T01:09:27.805Z,0,,,,,,23.6
2018-01-14T01:09:37.803Z,0,,,,,,23.6
2018-01-14T01:09:47.803Z,0,,,,,,23.6
2018-01-14T01:09:57.803Z,0,,,,,39.1,23.6
2018-01-14T01:10:07.803Z,0,,,,,,23.6
2018-01-14T01:10:17.803Z,0,,,,,,23.6
2018-01-14T01:10:27.805Z,0,,,,,,23.6
2018-01-14T01:10:47.803Z,0,,,,,,23.4
2018-01-14T01:10:57.803Z,0,,,,,,23.6
2018-01-14T01:11:17.803Z,0,,,,,,23.6
2018-01-14T01:11:27.804Z,,,,,,39.1,
2018-01-14T01:11:37.804Z,0,,,,,38.9,23.4
2018-01-14T01:11:47.803Z,0,,,,,,23.4
2018-01-14T01:11:57.803Z,0,,,,,,23.4
2018-01-14T01:12:07.803Z,0,,,,,,23.4
2018-01-14T01:12:17.803Z,0,,,,,,23.4
2018-01-14T01:12:38.001Z,0,,,,,,23.4
2018-01-14T01:12:47.803Z,0,,,,,,23.4
2018-01-14T01:12:57.805Z,0,,,,,,23.4
2018-01-14T01:13:07.804Z,,,,,,38.8,
2018-01-14T01:13:17.803Z,0,,,,,,23.4
2018-01-14T01:13:27.809Z,0,,,,,,23.4
2018-01-14T01:13:37.988Z,0,,,,,,23.3
2018-01-14T01:13:47.803Z,0,,,,,,23.3
2018-01-14T01:13:57.803Z,0,,,,,,23.3
2018-01-14T01:14:07.804Z,0,,,,,,23.3
2018-01-14T01:14:17.803Z,0,,,,,,23.3
2018-01-14T01:14:27.804Z,0,,,,,,23.3
2018-01-14T01:14:37.810Z,0,,,,,38.8,23.3
2018-01-14T01:14:47.805Z,0,,,,,,23.3
2018-01-14T01:14:57.805Z,0,,,,,38.7,23.3
2018-01-14T01:15:07.803Z,0,,,,,,23.3
2018-01-14T01:15:17.804Z,0,,,,,,23.3
2018-01-14T01:15:27.909Z,0,,,,,,23.3
2018-01-14T01:15:37.804Z,0,,,,,,23.3
2018-01-14T01:15:47.804Z,0,,,,,,23.3
2018-01-14T01:15:57.808Z,0,,,,,,23.3
2018-01-14T01:16:07.803Z,0,,,,,,23.3
2018-01-14T01:16:17.803Z,,,,,,38.6,
2018-01-14T01:16:27.803Z,0,,,,,,23.2
2018-01-14T01:16:37.803Z,0,,,,,,23.2
2018-01-14T01:16:57.806Z,0,,,,,,23.2
2018-01-14T01:17:07.804Z,0,,,,,,23.2
2018-01-14T01:17:17.805Z,0,,,,,,23.2
2018-01-14T01:17:37.803Z,0,,,,,,23.2
2018-01-14T01:17:47.804Z,0,,,,,,23.2
2018-01-14T01:17:57.805Z,0,,,,,38.5,23.2
2018-01-14T01:18:07.804Z,0,,,,,,23.2
2018-01-14T01:18:17.804Z,0,,,,,,23.2
2018-01-14T01:18:27.979Z,0,,,,,,23.2
2018-01-14T01:18:47.805Z,0,,,,,,23.2
2018-01-14T01:18:57.804Z,0,,,,,,23.1
2018-01-14T01:19:17.804Z,0,,,,,,23.1
2018-01-14T01:19:27.808Z,0,,,,,,23.1
2018-01-14T01:19:37.808Z,,,,,,38.4,
2018-01-14T01:19:47.804Z,0,,,,,,23.1
2018-01-14T01:20:07.804Z,0,,,,,,23.1
2018-01-14T01:20:17.804Z,0,,,,,,23.1
2018-01-14T01:20:37.806Z,0,,,,,,23.1
2018-01-14T01:20:47.807Z,0,,,,,,23.1
2018-01-14T01:21:07.805Z,0,,,,,38.3,23.1
2018-01-14T01:21:17.804Z,0,,,,,,23.1
2018-01-14T01:21:27.804Z,0,,,,,,23.1
2018-01-14T01:21:47.970Z,0,,,,,,23
2018-01-14T01:21:57.805Z,0,,,,,,23.1
2018-01-14T01:22:17.805Z,0,,,,,,23
2018-01-14T01:22:27.804Z,0,,,,,,23
2018-01-14T01:22:37.804Z,,,,,,38.2,
2018-01-14T01:22:47.807Z,0,,,,,,23
2018-01-14T01:23:07.805Z,0,,,,,,23
2018-01-14T01:23:17.805Z,0,,,,,,23
2018-01-14T01:23:37.804Z,0,,,,,,23
2018-01-14T01:23:47.805Z,0,,,,,,23
2018-01-14T01:23:57.806Z,0,,,,,,23
2018-01-14T01:24:17.805Z,0,,,,,,23
2018-01-14T01:24:27.804Z,0,,,,,,23
