Time,HwTSet,HwTOutlet,HwActive,ChActive,PrimTSet,ActPow,PrimT
2018-01-24T01:04:13.976Z,0,22.8,,,,,
2018-01-24T01:04:23.969Z,0,22.8,,,,,
2018-01-24T01:04:33.969Z,0,22.8,,,,,29.6
2018-01-24T01:04:43.969Z,0,22.8,,,,,
2018-01-24T01:04:54.058Z,0,22.8,,,,,
2018-01-24T01:05:03.973Z,0,22.8,,,,,
2018-01-24T01:05:13.968Z,0,22.8,,,,,
2018-01-24T01:05:23.974Z,0,22.8,,,,,
2018-01-24T01:05:33.970Z,0,22.8,,,,,
2018-01-24T01:05:44.159Z,0,22.8,,,,,
2018-01-24T01:05:54.059Z,0,22.8,,,,,
2018-01-24T01:06:03.973Z,0,22.8,,,,,
2018-01-24T01:06:13.969Z,0,22.8,,,,,
2018-01-24T01:06:23.982Z,0,22.8,,,,,
2018-01-24T01:06:33.969Z,0,22.8,,,,,
2018-01-24T01:06:43.974Z,0,22.8,,,,,
2018-01-24T01:06:54.058Z,0,22.8,,,,,
2018-01-24T01:07:03.969Z,0,22.8,,,,,
2018-01-24T01:07:13.969Z,0,22.8,,,,,
2018-01-24T01:07:23.968Z,0,22.8,,,,,29.5
2018-01-24T01:07:34.214Z,0,22.8,,,,,
2018-01-24T01:07:43.969Z,0,22.7,,,,,
2018-01-24T01:07:54.059Z,0,22.7,,,,,
2018-01-24T01:08:03.974Z,0,22.7,,,,,
2018-01-24T01:08:13.971Z,0,22.7,,,,,
2018-01-24T01:08:23.973Z,0,22.7,,,,,
2018-01-24T01:08:33.978Z,0,22.7,,,,,
2018-01-24T01:08:43.969Z,0,22.7,,,,,
2018-01-24T01:08:54.064Z,0,22.7,,,,,
2018-01-24T01:09:03.969Z,0,22.7,,,,,
2018-01-24T01:09:13.977Z,0,22.7,,,,,
2018-01-24T01:09:23.969Z,0,22.7,,,,,
2018-01-24T01:09:33.969Z,0,22.7,,,,,
2018-01-24T01:09:43.969Z,0,22.7,,,,,
2018-01-24T01:09:54.059Z,0,22.7,,,,,
2018-01-24T01:10:03.976Z,0,22.7,,,,,
2018-01-24T01:10:13.970Z,0,22.7,,,,,
2018-01-24T01:10:23.969Z,0,22.7,,,,,
2018-01-24T01:10:34.186Z,0,22.7,,,,,
2018-01-24T01:10:43.969Z,0,22.7,,,,,
2018-01-24T01:10:54.060Z,0,22.7,,,,,29.4
2018-01-24T01:11:03.972Z,0,22.7,,,,,
2018-01-24T01:11:13.969Z,0,22.7,,,,,
2018-01-24T01:11:23.996Z,0,22.7,,,,,
2018-01-24T01:11:33.969Z,0,22.7,,,,,
2018-01-24T01:11:43.970Z,0,22.7,,,,,
2018-01-24T01:11:54.059Z,0,22.7,,,,,
2018-01-24T01:12:03.970Z,0,22.7,,,,,
2018-01-24T01:12:13.978Z,0,22.7,,,,,
2018-01-24T01:12:23.969Z,0,22.7,,,,,
2018-01-24T01:12:33.970Z,0,22.7,,,,,
2018-01-24T01:12:43.969Z,0,22.7,,,,,
2018-01-24T01:12:54.061Z,0,22.7,,,,,
2018-01-24T01:13:03.970Z,0,22.7,,,,,
2018-01-24T01:13:13.970Z,0,22.7,,,,,
2018-01-24T01:13:23.970Z,0,22.7,,,,,
2018-01-24T01:13:33.970Z,0,22.7,,,,,
2018-01-24T01:13:43.970Z,0,22.7,,,,,
2018-01-24T01:13:54.092Z,0,22.7,,,,,
2018-01-24T01:14:03.971Z,0,22.7,,,,,29.3
2018-01-24T01:14:13.972Z,0,22.7,,,,,29.4
2018-01-24T01:14:23.972Z,0,22.7,,,,,29.3
2018-01-24T01:14:33.976Z,0,22.7,,,,,
2018-01-24T01:14:43.970Z,0,22.7,,,,,
2018-01-24T01:14:54.060Z,0,22.7,,,,,
2018-01-24T01:15:04.142Z,0,22.7,,,,,
2018-01-24T01:15:13.970Z,0,22.7,,,,,
2018-01-24T01:15:23.970Z,0,22.7,,,,,
2018-01-24T01:15:33.971Z,0,22.7,,,,,
2018-01-24T01:15:43.970Z,0,22.6,,,,,
2018-01-24T01:15:54.060Z,0,22.6,,,,,
2018-01-24T01:16:03.973Z,0,22.7,,,,,
2018-01-24T01:16:13.970Z,0,22.7,,,,,
2018-01-24T01:16:23.970Z,0,22.7,,,,,
2018-01-24T01:16:33.972Z,0,22.7,,,,,
2018-01-24T01:16:49.060Z,0,22.7,,,,,
2018-01-24T01:16:54.061Z,0,22.7,,,,,
2018-01-24T01:17:03.971Z,0,22.7,,,,,
2018-01-24T01:17:13.973Z,0,22.7,,,,,
2018-01-24T01:17:23.973Z,0,22.7,,,,,
2018-01-24T01:17:33.970Z,0,22.6,,,,,29.2
2018-01-24T01:17:43.970Z,0,22.7,,,,,
2018-01-24T01:17:54.061Z,0,22.6,,,,,
2018-01-24T01:18:03.970Z,0,22.6,,,,,
2018-01-24T01:18:13.970Z,0,22.6,,,,,
2018-01-24T01:18:23.971Z,0,22.6,,,,,
2018-01-24T01:18:33.970Z,0,22.6,,,,,
2018-01-24T01:18:43.971Z,0,22.6,,,,,
2018-01-24T01:18:54.064Z,0,22.6,,,,,
2018-01-24T01:19:03.971Z,0,22.6,,,,,
2018-01-24T01:19:13.973Z,0,22.6,,,,,
2018-01-24T01:19:24.187Z,0,22.6,,,,,
2018-01-24T01:19:33.971Z,0,22.6,,,,,
2018-01-24T01:19:43.971Z,0,22.6,,,,,
2018-01-24T01:19:54.061Z,0,22.6,,,,,
2018-01-24T01:20:03.971Z,0,22.6,,,,,
2018-01-24T01:20:13.971Z,0,22.6,,,,,
2018-01-24T01:20:24.198Z,0,22.6,,,,,
2018-01-24T01:20:33.974Z,0,22.6,,,,,
2018-01-24T01:20:44.131Z,0,22.6,,,,,29
2018-01-24T01:20:54.021Z,0,22.6,,,,,
2018-01-24T01:21:03.971Z,0,22.6,,,,,
2018-01-24T01:21:13.974Z,0,22.6,,,,,
2018-01-24T01:21:23.971Z,0,22.6,,,,,
2018-01-24T01:21:34.140Z,0,22.6,,,,,
2018-01-24T01:21:43.971Z,0,22.6,,,,,
2018-01-24T01:21:54.060Z,0,22.6,,,,,
