Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2017-12-19T01:20:59.499Z,,,,,22.6,,0
2017-12-19T01:21:09.498Z,,,,,22.6,,0
2017-12-19T01:21:19.499Z,,,,,22.6,,0
2017-12-19T01:21:29.501Z,,,,44.6,22.6,,0
2017-12-19T01:21:39.499Z,,,,,22.6,,0
2017-12-19T01:21:49.579Z,,,,,22.5,,0
2017-12-19T01:21:59.499Z,,,,,22.5,,0
2017-12-19T01:22:09.499Z,,,,,22.5,,0
2017-12-19T01:22:19.500Z,,,,,22.5,,0
2017-12-19T01:22:29.499Z,,,,,22.5,,0
2017-12-19T01:22:39.500Z,,,,44.5,22.5,,0
2017-12-19T01:22:49.579Z,,,,,22.5,,0
2017-12-19T01:22:59.499Z,,,,,22.5,,0
2017-12-19T01:23:09.500Z,,,,,22.5,,0
2017-12-19T01:23:19.499Z,,,,,22.4,,0
2017-12-19T01:23:29.503Z,,,,,22.4,,0
