Time,HwTSet,ActPow,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-11-29T00:51:07.192Z,0,,,51.7,33.2,,
2017-11-29T00:51:17.192Z,0,,,,33.2,,
2017-11-29T00:51:27.194Z,0,,,,33.2,,
2017-11-29T00:51:37.192Z,0,,,,33.2,,
2017-11-29T00:51:47.192Z,0,,,51.6,33.1,,
2017-11-29T00:51:57.192Z,0,,,,33.1,,
2017-11-29T00:52:07.192Z,0,,,,33.1,,
2017-11-29T00:52:17.192Z,0,,,,33.1,,
2017-11-29T00:52:27.193Z,0,,,,33.1,,
2017-11-29T00:52:37.197Z,0,,,51.5,32.9,,
2017-11-29T00:52:47.192Z,0,,,,32.9,,
2017-11-29T00:52:57.192Z,0,,,,32.9,,
2017-11-29T00:53:07.192Z,0,,,,32.9,,
2017-11-29T00:53:17.194Z,0,,,51.4,32.8,,
2017-11-29T00:53:27.198Z,0,,,,32.8,,
2017-11-29T00:53:37.193Z,0,,,,32.8,,
2017-11-29T00:53:47.193Z,0,,,,32.8,,
2017-11-29T00:53:57.192Z,0,,,51.3,32.8,,
2017-11-29T00:54:07.192Z,0,,,,32.8,,
2017-11-29T00:54:17.195Z,0,,,,32.7,,
2017-11-29T00:54:27.192Z,0,,,,32.7,,
2017-11-29T00:54:37.194Z,0,,1,51.4,32.7,62,0
2017-11-29T00:54:47.193Z,0,0,0,56.1,32.7,5,0
2017-11-29T00:54:57.192Z,0,,,51.8,32.6,,
2017-11-29T00:55:07.195Z,0,,,50.5,32.6,,
2017-11-29T00:55:17.194Z,0,,1,49.5,32.6,62,0
2017-11-29T00:55:27.193Z,0,31,,57.7,32.6,,
2017-11-29T00:55:37.193Z,0,29,,60.5,32.6,,
2017-11-29T00:55:47.193Z,0,,,60.8,32.6,,
2017-11-29T00:55:57.192Z,0,29,,61.1,32.5,,
2017-11-29T00:56:07.193Z,0,30,,61.4,32.5,,
2017-11-29T00:56:17.194Z,0,29,,,32.5,,
2017-11-29T00:56:27.193Z,0,30,,62,32.5,,
2017-11-29T00:56:37.193Z,0,29,,62.2,32.5,,
2017-11-29T00:56:47.193Z,0,30,,62.1,32.5,,
2017-11-29T00:56:57.195Z,0,,,62.4,32.4,,
2017-11-29T00:57:07.193Z,0,29,,62.2,32.4,,
2017-11-29T00:57:17.194Z,0,,,62.5,32.4,,
2017-11-29T00:57:27.195Z,0,,,62.6,32.4,,
2017-11-29T00:57:37.193Z,0,29,,63.1,32.4,,
2017-11-29T00:57:47.194Z,0,,,63.2,32.4,,
2017-11-29T00:57:57.195Z,0,30,,63.3,32.4,,
2017-11-29T00:58:07.193Z,0,,,64,32.4,,
2017-11-29T00:58:17.196Z,0,29,,65.1,32.4,,
2017-11-29T00:58:27.195Z,0,,,65.5,32.4,,
2017-11-29T00:58:37.195Z,0,0,1,63.5,32.4,,0
2017-11-29T00:58:47.194Z,0,,,59.7,32.4,,
2017-11-29T00:58:57.195Z,0,,,57.9,32.4,,
2017-11-29T00:59:07.193Z,0,,,56.9,32.4,,
2017-11-29T00:59:17.194Z,0,,,56.3,32.4,,
2017-11-29T00:59:27.193Z,0,,,55.9,32.4,,
2017-11-29T00:59:37.193Z,0,,,55.7,32.4,,
2017-11-29T00:59:47.195Z,0,,,55.6,32.4,,
2017-11-29T00:59:57.194Z,0,,,,32.4,,
2017-11-29T01:00:07.193Z,0,,,55.7,32.5,,
2017-11-29T01:00:17.195Z,0,45,1,56,32.5,,0
2017-11-29T01:00:27.195Z,0,31,,64.1,32.5,,
2017-11-29T01:00:37.193Z,0,0,1,66.5,32.5,,0
2017-11-29T01:00:47.194Z,0,,,61.9,32.5,,
2017-11-29T01:00:57.195Z,0,,,59.9,32.5,,
2017-11-29T01:01:07.194Z,0,,,58.9,32.5,,
2017-11-29T01:01:17.195Z,0,,,57.9,32.5,,
2017-11-29T01:01:27.196Z,0,,,56.9,32.5,,
2017-11-29T01:01:37.195Z,0,,,55.9,32.5,,
2017-11-29T01:01:47.194Z,0,,,54.9,32.5,,
2017-11-29T01:01:57.194Z,0,,,54.4,32.5,,
2017-11-29T01:02:07.194Z,0,,,53.7,32.5,,
2017-11-29T01:02:17.199Z,0,,,53.2,32.5,,
2017-11-29T01:02:27.195Z,0,,,52.8,32.6,,
2017-11-29T01:02:37.194Z,0,,,52.6,32.6,,
2017-11-29T01:02:47.194Z,0,,,,32.6,,
2017-11-29T01:02:57.194Z,0,,,53,32.6,,
2017-11-29T01:03:07.194Z,0,,,53.3,32.6,,
2017-11-29T01:03:17.194Z,0,,,53.7,32.6,,
2017-11-29T01:03:27.194Z,0,,,53.9,32.6,,
2017-11-29T01:03:37.198Z,0,,,53.9,32.6,,
2017-11-29T01:03:47.197Z,0,,,53.8,32.6,,
2017-11-29T01:03:57.194Z,0,,,53.5,32.6,,
2017-11-29T01:04:07.198Z,0,,,52.9,32.6,,
2017-11-29T01:04:22.304Z,0,,,52.7,32.6,,
2017-11-29T01:04:27.194Z,0,,,51.9,32.6,,
2017-11-29T01:04:37.198Z,0,,,51.6,32.6,,
2017-11-29T01:04:47.195Z,0,,,50.9,32.6,,
2017-11-29T01:04:57.195Z,0,,,50.5,32.6,,
2017-11-29T01:05:07.194Z,0,,,50.1,32.6,,
2017-11-29T01:05:17.195Z,0,45,1,50.1,32.6,,0
2017-11-29T01:05:27.196Z,0,33,,57.2,32.6,,
2017-11-29T01:05:37.195Z,0,29,,60,32.6,,
2017-11-29T01:05:47.197Z,0,30,,61.1,32.6,,
2017-11-29T01:05:57.195Z,0,30,,62,32.6,,
2017-11-29T01:06:07.194Z,0,29,,62.5,32.6,,
2017-11-29T01:06:17.197Z,0,,,62.9,32.6,,
2017-11-29T01:06:27.196Z,0,29,,63.2,32.6,,
2017-11-29T01:06:37.199Z,0,,,63.3,32.6,,
2017-11-29T01:06:47.195Z,0,,,,32.6,,
2017-11-29T01:06:57.219Z,0,,,,32.6,,
2017-11-29T01:07:07.203Z,0,30,,63.2,32.6,,
2017-11-29T01:07:17.197Z,0,,,62.9,32.6,,
2017-11-29T01:07:27.197Z,0,,,62.8,32.6,,
2017-11-29T01:07:37.197Z,0,29,,62.7,32.7,,
2017-11-29T01:07:47.196Z,0,30,,62.8,32.6,,
2017-11-29T01:07:57.203Z,0,,,63.3,32.7,,
2017-11-29T01:08:07.198Z,0,30,,64,32.7,,
2017-11-29T01:08:17.202Z,0,30,,65.1,32.7,,
2017-11-29T01:08:27.195Z,0,,,65.5,32.7,,
2017-11-29T01:08:37.196Z,0,0,1,64.7,32.7,,0
2017-11-29T01:08:47.197Z,0,,,60.8,32.7,,
2017-11-29T01:08:57.197Z,0,,,58.8,32.7,,
2017-11-29T01:09:07.204Z,0,,,57.4,32.7,,
2017-11-29T01:09:17.196Z,0,,,56.6,32.7,,
2017-11-29T01:09:27.197Z,0,,,56.2,32.7,,
2017-11-29T01:09:37.200Z,0,,,55.9,32.8,,
2017-11-29T01:09:47.198Z,0,,,55.7,32.8,,
2017-11-29T01:09:57.204Z,0,,,55.6,32.8,,
2017-11-29T01:10:07.198Z,0,,,55.5,32.8,,
2017-11-29T01:10:17.196Z,0,45,1,56.1,32.8,,0
2017-11-29T01:10:27.196Z,0,33,,63.2,32.8,,
2017-11-29T01:10:37.196Z,0,29,,66,32.9,,
2017-11-29T01:10:47.196Z,0,0,1,63.6,32.9,,0
2017-11-29T01:10:57.197Z,0,,,60.8,32.9,,
2017-11-29T01:11:07.199Z,0,,,58.7,32.9,,
2017-11-29T01:11:17.197Z,0,,,56.8,32.9,,
2017-11-29T01:11:27.197Z,0,,,55.7,32.9,,
2017-11-29T01:11:37.196Z,0,,,54.7,32.9,,
2017-11-29T01:11:47.196Z,0,,,53.7,32.9,,
2017-11-29T01:11:57.196Z,0,,,52.8,32.9,,
2017-11-29T01:12:07.197Z,0,,,51.9,32.9,,
2017-11-29T01:12:17.198Z,0,,,51.6,33.1,,
2017-11-29T01:12:27.196Z,0,,,51.2,33.1,,
2017-11-29T01:12:37.196Z,0,,,51.1,33.1,,
2017-11-29T01:12:47.196Z,0,,,51.4,33.1,,
2017-11-29T01:12:57.200Z,0,,,51.8,33.1,,
2017-11-29T01:13:07.198Z,0,,,52.1,33.1,,
2017-11-29T01:13:17.196Z,0,,,,33.1,,
2017-11-29T01:13:27.196Z,0,,,51.9,33.1,,
