Time,PrimT,HwTSet,HwActive,ChActive,HwTOutlet,ActPow,PrimTSet
2018-01-01T00:51:23.018Z,,0,,,16.4,,
2018-01-01T00:51:33.018Z,,0,,,16.4,,
2018-01-01T00:51:43.018Z,,0,,,16.4,,
2018-01-01T00:51:53.019Z,,0,,,16.4,,
2018-01-01T00:52:03.019Z,,0,,,16.4,,
2018-01-01T00:52:13.018Z,,0,,,16.4,,
2018-01-01T00:52:23.019Z,,0,,,16.4,,
2018-01-01T00:52:33.019Z,,0,,,16.4,,
2018-01-01T00:52:43.019Z,,0,,,16.4,,
2018-01-01T00:52:53.018Z,,0,,,16.4,,
2018-01-01T00:53:03.157Z,,0,,,16.4,,
2018-01-01T00:53:13.017Z,,0,,,16.4,,
2018-01-01T00:53:23.018Z,,0,,,16.4,,
2018-01-01T00:53:33.018Z,,0,,,16.4,,
2018-01-01T00:53:43.023Z,,0,,,16.4,,
2018-01-01T00:53:53.018Z,,0,,,16.4,,
2018-01-01T00:54:03.018Z,,0,,,16.4,,
2018-01-01T00:54:13.021Z,,0,,,16.4,,
2018-01-01T00:54:23.018Z,,0,,,16.4,,
2018-01-01T00:54:33.020Z,,0,,,16.4,,
2018-01-01T00:54:43.019Z,,0,,,16.4,,
2018-01-01T00:54:53.019Z,,0,,,16.4,,
2018-01-01T00:55:03.019Z,,0,,,16.4,,
2018-01-01T00:55:13.018Z,,0,,,16.4,,
2018-01-01T00:55:23.020Z,,0,,,16.4,,
2018-01-01T00:55:33.018Z,,0,,,16.4,,
2018-01-01T00:55:43.019Z,,0,,,16.4,,
2018-01-01T00:55:53.019Z,,0,,,16.4,,
2018-01-01T00:56:03.021Z,,0,,,16.4,,
2018-01-01T00:56:13.019Z,,0,,,16.4,,
2018-01-01T00:56:23.018Z,,0,,,16.4,,
2018-01-01T00:56:33.018Z,,0,,,16.4,,
2018-01-01T00:56:43.018Z,,0,,,16.4,,
2018-01-01T00:56:53.018Z,,0,,,16.4,,
2018-01-01T00:57:03.019Z,,0,,,16.4,,
2018-01-01T00:57:13.019Z,,0,,,16.4,,
2018-01-01T00:57:23.019Z,,0,,,16.4,,
2018-01-01T00:57:33.019Z,,0,,,16.4,,
2018-01-01T00:57:43.021Z,,0,,,16.4,,
2018-01-01T00:57:53.019Z,,0,,,16.4,,
2018-01-01T00:58:03.019Z,,0,,,16.4,,
2018-01-01T00:58:13.019Z,,0,,,16.4,,
2018-01-01T00:58:23.019Z,,0,,,16.4,,
