Time,HwActive,ChActive,HwTSet,ActPow,PrimTSet,HwTOutlet,PrimT
2017-12-30T01:07:32.709Z,,,0,,,14.3,
2017-12-30T01:07:42.705Z,,,0,,,14.3,
2017-12-30T01:07:52.710Z,,,0,,,14.3,
2017-12-30T01:08:02.720Z,,,0,,,14.3,
2017-12-30T01:08:12.707Z,,,0,,,14.3,
2017-12-30T01:08:22.709Z,,,0,,,14.3,
2017-12-30T01:08:32.709Z,,,0,,,14.3,
2017-12-30T01:08:42.705Z,,,0,,,14.3,
2017-12-30T01:08:52.710Z,,,0,,,14.3,
2017-12-30T01:09:02.705Z,,,0,,,14.3,
2017-12-30T01:09:12.705Z,,,0,,,14.3,
2017-12-30T01:09:22.708Z,,,0,,,14.3,
2017-12-30T01:09:32.710Z,,,0,,,14.3,
2017-12-30T01:09:42.705Z,,,0,,,14.3,
2017-12-30T01:09:52.706Z,,,0,,,14.3,
2017-12-30T01:10:02.732Z,,,0,,,14.3,15.7
2017-12-30T01:10:12.706Z,,,0,,,14.3,
2017-12-30T01:10:22.706Z,,,0,,,14.3,15.8
2017-12-30T01:10:32.710Z,,,0,,,14.3,
2017-12-30T01:10:42.709Z,,,0,,,14.3,15.7
2017-12-30T01:10:52.708Z,,,0,,,14.3,15.8
2017-12-30T01:11:02.711Z,,,0,,,14.3,
2017-12-30T01:11:12.716Z,,,0,,,14.3,
2017-12-30T01:11:22.709Z,,,0,,,14.3,
2017-12-30T01:11:32.710Z,,,0,,,14.3,15.7
2017-12-30T01:11:42.708Z,,,0,,,14.3,
2017-12-30T01:11:52.706Z,,,0,,,14.3,
2017-12-30T01:12:02.742Z,,,0,,,14.3,
2017-12-30T01:12:12.710Z,,,0,,,14.3,15.8
2017-12-30T01:12:22.705Z,,,0,,,14.3,15.7
2017-12-30T01:12:32.709Z,,,0,,,14.3,
2017-12-30T01:12:42.707Z,,,0,,,14.3,
2017-12-30T01:12:52.709Z,,,0,,,14.3,15.8
2017-12-30T01:13:02.711Z,,,0,,,14.3,
2017-12-30T01:13:12.710Z,,,0,,,14.3,15.7
2017-12-30T01:13:22.705Z,,,0,,,14.3,
2017-12-30T01:13:32.705Z,,,0,,,14.3,
2017-12-30T01:13:42.705Z,,,0,,,14.3,
2017-12-30T01:13:52.705Z,,,0,,,14.3,
2017-12-30T01:14:02.843Z,,,0,,,14.3,
2017-12-30T01:14:12.706Z,,,0,,,14.3,
2017-12-30T01:14:22.706Z,,,0,,,14.3,
2017-12-30T01:14:32.706Z,,,0,,,14.3,
2017-12-30T01:14:42.709Z,,,0,,,14.3,
2017-12-30T01:14:52.705Z,,,0,,,14.3,
2017-12-30T01:15:02.706Z,,,0,,,14.3,
2017-12-30T01:15:12.706Z,,,0,,,14.3,
2017-12-30T01:15:22.706Z,,,0,,,14.3,
2017-12-30T01:15:32.706Z,,,0,,,14.3,
2017-12-30T01:15:42.706Z,,,0,,,14.3,
2017-12-30T01:15:52.705Z,,,0,,,14.3,
2017-12-30T01:16:02.711Z,,,0,,,14.3,
2017-12-30T01:16:12.706Z,,,0,,,14.3,
2017-12-30T01:16:22.706Z,,,0,,,14.3,
2017-12-30T01:16:32.706Z,,,0,,,14.3,
2017-12-30T01:16:42.706Z,,,0,,,14.3,
2017-12-30T01:16:52.706Z,,,0,,,14.3,
2017-12-30T01:17:02.706Z,,,0,,,14.3,
2017-12-30T01:17:12.706Z,,,0,,,14.3,
2017-12-30T01:17:22.706Z,,,0,,,14.3,
2017-12-30T01:17:32.706Z,,,0,,,14.3,
2017-12-30T01:17:42.708Z,,,0,,,14.3,
2017-12-30T01:17:52.706Z,,,0,,,14.3,
2017-12-30T01:18:03.011Z,,,0,,,14.3,
2017-12-30T01:18:12.706Z,,,0,,,14.3,
2017-12-30T01:18:22.706Z,,,0,,,14.3,
2017-12-30T01:18:32.706Z,,,0,,,14.3,
2017-12-30T01:18:42.707Z,,,0,,,14.3,
2017-12-30T01:18:52.706Z,,,0,,,14.3,
2017-12-30T01:19:02.707Z,,,0,,,14.3,
