Time,PrimTSet,ActPow,ChActive,PrimT,HwTOutlet,HwTSet,HwActive
2017-12-01T01:04:37.680Z,,,,50,34.2,0,
2017-12-01T01:04:47.709Z,,,,50,34.2,0,
2017-12-01T01:04:57.677Z,,,,50.3,34.1,0,
2017-12-01T01:05:07.678Z,,,,51,34.1,0,
2017-12-01T01:05:17.683Z,,,,51.4,34.1,0,
2017-12-01T01:05:27.772Z,,,,51.8,34.1,0,
2017-12-01T01:05:37.685Z,,,,51.9,34.1,0,
2017-12-01T01:05:47.679Z,,,,51.7,34.1,0,
2017-12-01T01:05:57.723Z,,,,51.3,34.1,0,
2017-12-01T01:06:07.679Z,,,,50.5,34.1,0,
2017-12-01T01:06:17.681Z,,,,49.8,34.1,0,
2017-12-01T01:06:27.849Z,,,,48.9,34.1,0,
2017-12-01T01:06:37.704Z,,,,48.4,34.1,0,
2017-12-01T01:06:47.683Z,,,,47.7,34,0,
2017-12-01T01:06:57.686Z,,,,46.9,34,0,
2017-12-01T01:07:07.677Z,,,,46.6,34,0,
2017-12-01T01:07:17.683Z,,,,46.2,34,0,
2017-12-01T01:07:27.915Z,,40,1,49.3,34,0,0
2017-12-01T01:07:37.697Z,,29,,55.3,34,0,
2017-12-01T01:07:47.681Z,,,,57,34,0,
2017-12-01T01:07:57.677Z,,,,58,33.9,0,
2017-12-01T01:08:07.678Z,,30,,58.6,33.9,0,
2017-12-01T01:08:17.684Z,,,,59,33.9,0,
2017-12-01T01:08:27.886Z,,,,59.3,33.9,0,
2017-12-01T01:08:37.680Z,,29,,58.3,33.9,0,
2017-12-01T01:08:47.677Z,,,,58.2,33.9,0,
2017-12-01T01:08:57.683Z,,29,,57.9,33.9,0,
2017-12-01T01:09:07.689Z,,30,,,33.9,0,
2017-12-01T01:09:17.677Z,,,,57.4,33.9,0,
2017-12-01T01:09:27.839Z,,32,,57.1,33.8,0,
2017-12-01T01:09:37.686Z,,33,,57.4,33.8,0,
2017-12-01T01:09:47.693Z,,34,,58.5,33.8,0,
2017-12-01T01:09:57.679Z,,35,,59.8,33.8,0,
2017-12-01T01:10:07.681Z,,36,,61.1,33.8,0,
2017-12-01T01:10:17.681Z,,36,,62,33.8,0,
2017-12-01T01:10:27.815Z,,34,,62.4,33.8,0,
2017-12-01T01:10:37.684Z,,30,,62.5,33.8,0,
2017-12-01T01:10:47.688Z,,29,,62.2,33.8,0,
2017-12-01T01:10:57.678Z,,,,62.4,33.8,0,
2017-12-01T01:11:07.680Z,,30,,,33.7,0,
2017-12-01T01:11:17.677Z,,30,,62.1,33.7,0,
2017-12-01T01:11:27.759Z,,30,,62,33.7,0,
2017-12-01T01:11:37.679Z,,29,,62,33.7,0,
2017-12-01T01:11:47.677Z,,,,62,33.7,0,
2017-12-01T01:11:57.683Z,,30,,62.4,33.7,0,
2017-12-01T01:12:07.678Z,,,,62.6,33.7,0,
2017-12-01T01:12:17.683Z,,,,62.7,33.7,0,
2017-12-01T01:12:27.768Z,,29,,63.2,33.7,0,
2017-12-01T01:12:37.679Z,,30,,63.1,33.7,0,
2017-12-01T01:12:47.680Z,,,,63.5,33.7,0,
2017-12-01T01:12:57.679Z,,29,,63.9,33.7,0,
2017-12-01T01:13:07.678Z,,,,64.5,33.7,0,
2017-12-01T01:13:17.677Z,,30,,64.6,33.7,0,
2017-12-01T01:13:27.773Z,,29,,65.1,33.7,0,
2017-12-01T01:13:37.696Z,,30,,65.1,33.7,0,
2017-12-01T01:13:47.687Z,,29,,65.2,33.7,0,
2017-12-01T01:13:57.681Z,,,,65.6,33.7,0,
2017-12-01T01:14:07.680Z,,0,1,65.8,33.7,0,0
2017-12-01T01:14:17.688Z,,,,60.9,33.7,0,
