Time,HwActive,HwTSet,ActPow,HwTOutlet,PrimT,PrimTSet,ChActive
2018-01-22T00:53:23.539Z,,0,,24.9,,,
2018-01-22T00:53:33.540Z,,0,,24.9,,,
2018-01-22T00:53:43.540Z,,0,,24.9,41.6,,
2018-01-22T00:53:53.541Z,,0,,24.9,,,
2018-01-22T00:54:03.541Z,,0,,24.9,,,
2018-01-22T00:54:13.540Z,,0,,24.9,,,
2018-01-22T00:54:23.540Z,,0,,24.9,,,
2018-01-22T00:54:33.542Z,,0,,24.9,,,
2018-01-22T00:54:43.539Z,,0,,24.9,,,
2018-01-22T00:54:53.540Z,,0,,24.8,,,
2018-01-22T00:55:03.546Z,,0,,24.8,,,
2018-01-22T00:55:13.539Z,,0,,24.8,41.5,,
2018-01-22T00:55:23.540Z,,0,,24.8,,,
2018-01-22T00:55:33.540Z,,0,,24.8,,,
2018-01-22T00:55:43.539Z,,0,,24.8,,,
2018-01-22T00:55:53.543Z,,0,,24.8,,,
2018-01-22T00:56:03.540Z,,0,,24.8,,,
2018-01-22T00:56:13.734Z,,0,,24.8,,,
2018-01-22T00:56:23.540Z,,0,,24.8,,,
2018-01-22T00:56:33.736Z,,0,,24.8,41.4,,
2018-01-22T00:56:43.540Z,,0,,24.8,,,
2018-01-22T00:56:53.540Z,,0,,24.8,,,
2018-01-22T00:57:03.546Z,,0,,24.7,,,
2018-01-22T00:57:13.540Z,,0,,24.7,,,
2018-01-22T00:57:23.540Z,,0,,24.7,,,
2018-01-22T00:57:33.540Z,,0,,24.7,,,
2018-01-22T00:57:43.540Z,,0,,24.7,,,
2018-01-22T00:57:53.544Z,,0,,24.7,41.3,,
2018-01-22T00:58:03.543Z,,0,,24.7,,,
2018-01-22T00:58:14.031Z,,0,,24.7,,,
2018-01-22T00:58:23.544Z,,0,,24.7,,,
2018-01-22T00:58:33.584Z,,0,,24.7,,,
2018-01-22T00:58:43.540Z,,0,,24.7,,,
