Time,PrimT,HwActive,PrimTSet,HwTOutlet,ActPow,ChActive,HwTSet
2017-12-20T00:37:09.775Z,,,,22.1,,,0
2017-12-20T00:37:19.696Z,39.8,,,22.1,,,0
2017-12-20T00:37:29.696Z,,,,22.1,,,0
2017-12-20T00:37:39.696Z,,,,22.1,,,0
2017-12-20T00:37:49.697Z,,,,22.1,,,0
2017-12-20T00:37:59.696Z,,,,22,,,0
2017-12-20T00:38:09.786Z,,,,22.1,,,0
2017-12-20T00:38:19.697Z,,,,22,,,0
2017-12-20T00:38:29.696Z,,,,22,,,0
2017-12-20T00:38:39.696Z,39.7,,,22,,,0
2017-12-20T00:38:49.697Z,,,,22,,,0
2017-12-20T00:38:59.696Z,,,,22,,,0
2017-12-20T00:39:09.776Z,,,,22,,,0
2017-12-20T00:39:19.696Z,,,,22,,,0
2017-12-20T00:39:29.696Z,,,,22,,,0
2017-12-20T00:39:39.697Z,,,,22,,,0
2017-12-20T00:39:49.697Z,,,,22,,,0
2017-12-20T00:39:59.697Z,39.6,,,22,,,0
2017-12-20T00:40:09.776Z,,,,22,,,0
2017-12-20T00:40:19.697Z,,,,22,,,0
2017-12-20T00:40:29.697Z,,,,22,,,0
2017-12-20T00:40:39.697Z,,,,22,,,0
2017-12-20T00:40:49.697Z,,,,21.9,,,0
2017-12-20T00:40:59.696Z,,,,22,,,0
2017-12-20T00:41:09.777Z,,,,22,,,0
2017-12-20T00:41:19.700Z,,,,21.9,,,0
2017-12-20T00:41:29.697Z,39.5,,,22,,,0
2017-12-20T00:41:39.697Z,,,,21.9,,,0
2017-12-20T00:41:49.697Z,,,,21.9,,,0
2017-12-20T00:41:59.698Z,,,,21.9,,,0
2017-12-20T00:42:09.776Z,,,,21.9,,,0
2017-12-20T00:42:19.697Z,,,,21.9,,,0
2017-12-20T00:42:29.697Z,,,,21.9,,,0
2017-12-20T00:42:39.697Z,,,,21.9,,,0
2017-12-20T00:42:49.697Z,,,,21.9,,,0
2017-12-20T00:42:59.697Z,,,,21.9,,,0
2017-12-20T00:43:09.778Z,39.4,,,21.9,,,0
2017-12-20T00:43:19.697Z,,,,21.9,,,0
2017-12-20T00:43:29.697Z,,,,21.9,,,0
2017-12-20T00:43:39.697Z,,,,21.9,,,0
2017-12-20T00:43:49.698Z,,,,21.9,,,0
2017-12-20T00:43:59.697Z,,,,21.9,,,0
2017-12-20T00:44:09.777Z,,,,21.9,,,0
2017-12-20T00:44:19.698Z,,,,21.9,,,0
2017-12-20T00:44:29.698Z,39.3,,,21.9,,,0
2017-12-20T00:44:39.698Z,,,,21.7,,,0
2017-12-20T00:44:49.697Z,,,,21.7,,,0
2017-12-20T00:44:59.698Z,,,,21.7,,,0
2017-12-20T00:45:09.777Z,,,,21.7,,,0
2017-12-20T00:45:19.698Z,,,,21.7,,,0
2017-12-20T00:45:29.698Z,,,,21.7,,,0
2017-12-20T00:45:39.698Z,,,,21.7,,,0
