Time,ActPow,ChActive,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet
2018-01-20T01:01:13.120Z,,,0,,,22.1,
2018-01-20T01:01:23.120Z,,,0,,,22.1,
2018-01-20T01:01:33.124Z,,,0,,,22.1,
2018-01-20T01:01:43.120Z,,,0,36.9,,22.1,
2018-01-20T01:01:53.122Z,,,0,36.9,,22.1,
2018-01-20T01:02:03.119Z,,,0,,,22.1,
2018-01-20T01:02:13.120Z,,,0,,,22.1,
2018-01-20T01:02:23.119Z,,,0,,,22.1,
2018-01-20T01:02:33.124Z,,,0,,,22.1,
2018-01-20T01:02:43.120Z,,,0,,,22.1,
2018-01-20T01:02:53.120Z,,,0,,,22.1,
2018-01-20T01:03:03.121Z,,,0,,,22.1,
2018-01-20T01:03:13.119Z,,,0,,,22.1,
2018-01-20T01:03:23.120Z,,,0,36.8,,22.1,
2018-01-20T01:03:33.126Z,,,0,,,22.1,
2018-01-20T01:03:43.120Z,,,0,,,22.1,
2018-01-20T01:03:53.120Z,,,0,,,22.1,
2018-01-20T01:04:03.120Z,,,0,,,22.1,
2018-01-20T01:04:13.120Z,,,0,,,22.1,
2018-01-20T01:04:23.121Z,,,0,,,22.1,
2018-01-20T01:04:33.120Z,,,0,,,22.1,
2018-01-20T01:04:43.120Z,,,0,,,22.1,
2018-01-20T01:04:53.121Z,,,0,,,22.1,
2018-01-20T01:05:03.120Z,,,0,36.7,,22.1,
2018-01-20T01:05:13.121Z,,,0,,,22.1,
2018-01-20T01:05:23.120Z,,,0,,,22,
2018-01-20T01:05:33.123Z,,,0,,,22,
2018-01-20T01:05:43.120Z,,,0,,,22,
2018-01-20T01:05:53.124Z,,,0,,,22,
2018-01-20T01:06:03.126Z,,,0,,,22,
2018-01-20T01:06:13.121Z,,,0,,,22,
2018-01-20T01:06:23.120Z,,,0,,,22,
2018-01-20T01:06:33.120Z,,,0,,,22,
2018-01-20T01:06:43.123Z,,,0,36.6,,22,
2018-01-20T01:06:53.124Z,,,0,36.7,,22,
2018-01-20T01:07:03.121Z,,,0,36.6,,22,
2018-01-20T01:07:13.121Z,,,0,,,22,
2018-01-20T01:07:23.120Z,,,0,,,22,
2018-01-20T01:07:33.120Z,,,0,,,22,
2018-01-20T01:07:43.237Z,,,0,,,22,
2018-01-20T01:07:53.120Z,,,0,,,22,
2018-01-20T01:08:03.120Z,,,0,,,22,
2018-01-20T01:08:13.125Z,,,0,,,22,
2018-01-20T01:08:23.121Z,,,0,,,22,
2018-01-20T01:08:33.123Z,,,0,36.5,,22,
2018-01-20T01:08:43.127Z,,,0,,,22,
2018-01-20T01:08:53.125Z,,,0,,,22,
2018-01-20T01:09:03.124Z,,,0,,,21.9,
2018-01-20T01:09:13.125Z,,,0,,,21.9,
2018-01-20T01:09:23.120Z,,,0,,,21.9,
2018-01-20T01:09:33.126Z,,,0,,,21.9,
2018-01-20T01:09:43.121Z,,,0,,,21.9,
2018-01-20T01:09:53.120Z,,,0,,,21.9,
2018-01-20T01:10:03.122Z,,,0,,,21.9,
2018-01-20T01:10:13.121Z,,,0,36.4,,21.9,
