Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ChActive,ActPow,PrimT
2018-01-27T00:45:06.620Z,22.4,,,0,,,
2018-01-27T00:45:16.620Z,22.4,,,0,,,
2018-01-27T00:45:26.621Z,22.4,,,0,,,
2018-01-27T00:45:36.621Z,22.4,,,0,,,
2018-01-27T00:45:46.620Z,22.4,,,0,,,
2018-01-27T00:45:56.620Z,22.4,,,0,,,37.7
2018-01-27T00:46:06.620Z,22.4,,,0,,,
2018-01-27T00:46:16.621Z,22.4,,,0,,,
2018-01-27T00:46:26.620Z,22.4,,,0,,,
2018-01-27T00:46:36.620Z,22.4,,,0,,,
2018-01-27T00:46:46.620Z,22.4,,,0,,,
2018-01-27T00:46:56.620Z,22.4,,,0,,,
2018-01-27T00:47:06.620Z,22.4,,,0,,,
2018-01-27T00:47:16.620Z,22.4,,,0,,,
2018-01-27T00:47:26.620Z,22.4,,,0,,,37.6
2018-01-27T00:47:36.621Z,22.2,,,0,,,
2018-01-27T00:47:46.620Z,22.2,,,0,,,
2018-01-27T00:47:56.620Z,22.2,,,0,,,
2018-01-27T00:48:06.624Z,22.2,,,0,,,
2018-01-27T00:48:16.621Z,22.2,,,0,,,
2018-01-27T00:48:26.622Z,22.2,,,0,,,
2018-01-27T00:48:36.620Z,22.2,,,0,,,
2018-01-27T00:48:46.620Z,22.2,,,0,,,
2018-01-27T00:48:56.620Z,22.2,,,0,,,
2018-01-27T00:49:06.620Z,22.2,,,0,,,
2018-01-27T00:49:16.620Z,22.2,,,0,,,37.5
2018-01-27T00:49:26.625Z,22.2,,,0,,,
2018-01-27T00:49:36.620Z,22.2,,,0,,,
2018-01-27T00:49:46.620Z,22.2,,,0,,,
2018-01-27T00:49:56.620Z,22.2,,,0,,,
2018-01-27T00:50:16.630Z,22.2,,,0,,,
2018-01-27T00:50:26.621Z,22.2,,,0,,,
2018-01-27T00:50:36.621Z,22.1,,,0,,,37.4
2018-01-27T00:50:46.626Z,22.1,,,0,,,
2018-01-27T00:50:56.661Z,22.1,,,0,,,
2018-01-27T00:51:06.659Z,22.1,,,0,,,
2018-01-27T00:51:16.622Z,22.1,,,0,,,
2018-01-27T00:51:26.621Z,22.1,,,0,,,
2018-01-27T00:51:36.622Z,22.1,,,0,,,
2018-01-27T00:51:46.660Z,22.1,,,0,,,
2018-01-27T00:51:56.621Z,22.1,,,0,,,
2018-01-27T00:52:06.845Z,22.1,,,0,,,
2018-01-27T00:52:16.849Z,22.1,,,0,,,
2018-01-27T00:52:26.621Z,22.1,,,0,,,
2018-01-27T00:52:36.621Z,22.1,,,0,,,37.3
2018-01-27T00:52:46.905Z,22.1,,,0,,,
2018-01-27T00:52:56.621Z,22.1,,,0,,,
2018-01-27T00:53:06.621Z,22.1,,,0,,,
2018-01-27T00:53:16.621Z,22.1,,,0,,,
2018-01-27T00:53:26.621Z,22.1,,,0,,,
2018-01-27T00:53:36.621Z,22,,,0,,,
2018-01-27T00:53:46.623Z,22.1,,,0,,,
2018-01-27T00:53:56.621Z,22,,,0,,,
2018-01-27T00:54:06.621Z,22,,,0,,,37.2
2018-01-27T00:54:16.621Z,22,,,0,,,
2018-01-27T00:54:26.621Z,22,,,0,,,
2018-01-27T00:54:36.621Z,22,,,0,,,
2018-01-27T00:54:46.621Z,22,,,0,,,
2018-01-27T00:54:56.621Z,22,,,0,,,
2018-01-27T00:55:06.629Z,22,,,0,,,
2018-01-27T00:55:16.621Z,22,,,0,,,
2018-01-27T00:55:26.623Z,22,,,0,,,
2018-01-27T00:55:36.622Z,22,,,0,,,
2018-01-27T00:55:46.621Z,22,,,0,,,
2018-01-27T00:55:56.624Z,22,,,0,,,37.1
2018-01-27T00:56:06.621Z,22,,,0,,,
2018-01-27T00:56:16.621Z,22,,,0,,,
2018-01-27T00:56:26.621Z,22,,,0,,,
2018-01-27T00:56:36.621Z,22,,,0,,,
2018-01-27T00:56:46.622Z,22,,,0,,,
2018-01-27T00:56:56.622Z,21.9,,,0,,,
2018-01-27T00:57:06.622Z,22,,,0,,,
2018-01-27T00:57:16.621Z,21.9,,,0,,,
2018-01-27T00:57:26.621Z,21.9,,,0,,,36.9
2018-01-27T00:57:36.621Z,21.9,,,0,,,37.1
2018-01-27T00:57:46.624Z,21.9,,,0,,,36.9
2018-01-27T00:57:56.622Z,21.9,,,0,,,
2018-01-27T00:58:06.622Z,21.9,,,0,,,
2018-01-27T00:58:16.622Z,21.9,,,0,,,
2018-01-27T00:58:26.625Z,21.9,,,0,,,
2018-01-27T00:58:36.625Z,21.9,,,0,,,
2018-01-27T00:58:46.621Z,21.9,,,0,,,
2018-01-27T00:58:56.622Z,21.9,,,0,,,
2018-01-27T00:59:06.622Z,21.9,,,0,,,
2018-01-27T00:59:16.622Z,21.9,,,0,,,36.8
2018-01-27T00:59:26.622Z,21.9,,,0,,,
2018-01-27T00:59:36.638Z,21.9,,,0,,,
2018-01-27T00:59:46.652Z,21.9,,,0,,,
2018-01-27T00:59:56.773Z,21.9,,,0,,,
2018-01-27T01:00:06.663Z,21.9,,,0,,,
2018-01-27T01:00:16.623Z,21.9,,,0,,,
2018-01-27T01:00:26.631Z,21.9,,,0,,,
2018-01-27T01:00:36.622Z,21.7,,,0,,,
2018-01-27T01:00:46.625Z,21.7,,,0,,,
2018-01-27T01:00:56.827Z,21.7,,,0,,,36.7
2018-01-27T01:01:06.624Z,21.7,,,0,,,
2018-01-27T01:01:16.623Z,21.7,,,0,,,
2018-01-27T01:01:26.624Z,21.7,,,0,,,
2018-01-27T01:01:36.622Z,21.7,,,0,,,
2018-01-27T01:01:46.637Z,21.7,,,0,,,
2018-01-27T01:01:56.826Z,21.7,,,0,,,
2018-01-27T01:02:06.622Z,21.7,,,0,,,
2018-01-27T01:02:16.622Z,21.7,,,0,,,
2018-01-27T01:02:26.622Z,21.7,,,0,,,
2018-01-27T01:02:36.623Z,21.7,,,0,,,36.6
2018-01-27T01:02:46.624Z,21.7,,,0,,,
2018-01-27T01:02:56.626Z,21.7,,,0,,,
2018-01-27T01:03:06.622Z,21.7,,,0,,,
2018-01-27T01:03:16.625Z,21.7,,,0,,,
2018-01-27T01:03:26.628Z,21.7,,,0,,,
2018-01-27T01:03:36.732Z,21.7,,,0,,,
2018-01-27T01:03:46.864Z,21.7,,,0,,,
2018-01-27T01:03:56.625Z,21.7,,,0,,,
2018-01-27T01:04:06.623Z,21.7,,,0,,,
2018-01-27T01:04:16.628Z,21.7,,,0,,,36.5
2018-01-27T01:04:26.629Z,21.6,,,0,,,
2018-01-27T01:04:36.622Z,21.6,,,0,,,
2018-01-27T01:04:46.624Z,21.6,,,0,,,
2018-01-27T01:04:56.624Z,21.6,,,0,,,
2018-01-27T01:05:06.629Z,21.6,,,0,,,
2018-01-27T01:05:16.623Z,21.6,,,0,,,
2018-01-27T01:05:26.625Z,21.6,,,0,,,
2018-01-27T01:05:36.623Z,21.6,,,0,,,
2018-01-27T01:05:46.624Z,21.6,,,0,,,
2018-01-27T01:05:56.623Z,21.6,,,0,,,
2018-01-27T01:06:06.623Z,21.6,,,0,,,36.4
2018-01-27T01:06:16.623Z,21.6,,,0,,,
2018-01-27T01:06:26.625Z,21.6,,,0,,,
2018-01-27T01:06:36.817Z,21.6,,,0,,,
2018-01-27T01:06:46.622Z,21.6,,,0,,,
2018-01-27T01:06:56.623Z,21.6,,,0,,,
2018-01-27T01:07:06.627Z,21.6,,,0,,,
2018-01-27T01:07:16.623Z,21.6,,,0,,,
2018-01-27T01:07:26.623Z,21.6,,,0,,,36.3
2018-01-27T01:07:36.625Z,21.6,,,0,,,36.4
2018-01-27T01:07:46.623Z,21.6,,,0,,,36.3
2018-01-27T01:07:56.623Z,21.6,,,0,,,
2018-01-27T01:08:06.623Z,21.5,,,0,,,
2018-01-27T01:08:16.623Z,21.6,5,0,0,0,0,36.3
2018-01-27T01:08:26.626Z,21.5,,,0,,,
2018-01-27T01:08:36.624Z,21.5,,,0,,,
2018-01-27T01:08:46.625Z,21.5,,,0,,,
2018-01-27T01:08:56.809Z,21.5,,,0,,,
2018-01-27T01:09:06.623Z,21.5,,,0,,,
2018-01-27T01:09:16.623Z,21.5,,,0,,,
2018-01-27T01:09:26.623Z,21.5,,,0,,,
2018-01-27T01:09:36.623Z,21.5,,,0,,,36.2
2018-01-27T01:09:46.627Z,21.5,,,0,,,
2018-01-27T01:09:56.631Z,21.5,,,0,,,
2018-01-27T01:10:06.624Z,21.5,,,0,,,
2018-01-27T01:10:16.628Z,21.5,,,0,,,
2018-01-27T01:10:26.624Z,21.5,,,0,,,
2018-01-27T01:10:36.625Z,21.5,,,0,,,
2018-01-27T01:10:46.631Z,21.5,,,0,,,
2018-01-27T01:10:56.623Z,21.5,,,0,,,
2018-01-27T01:11:06.623Z,21.5,,,0,,,
2018-01-27T01:11:16.625Z,21.5,,,0,,,
2018-01-27T01:11:26.623Z,21.5,,,0,,,36.1
2018-01-27T01:11:36.629Z,21.5,,,0,,,
2018-01-27T01:11:46.623Z,21.5,,,0,,,
2018-01-27T01:11:56.627Z,21.3,,,0,,,
2018-01-27T01:12:06.626Z,21.5,,,0,,,
2018-01-27T01:12:16.623Z,21.5,,,0,,,
2018-01-27T01:12:26.624Z,21.3,,,0,,,
2018-01-27T01:12:36.631Z,21.5,,,0,,,
2018-01-27T01:12:46.624Z,21.5,,,0,,,
2018-01-27T01:12:56.626Z,21.5,,,0,,,
2018-01-27T01:13:06.624Z,21.3,,,0,,,36
2018-01-27T01:13:16.624Z,21.3,,,0,,,
2018-01-27T01:13:26.624Z,21.3,,,0,,,
2018-01-27T01:13:36.647Z,21.3,,,0,,,
2018-01-27T01:13:46.624Z,21.3,,,0,,,
2018-01-27T01:13:56.624Z,21.3,,,0,,,
2018-01-27T01:14:06.809Z,21.3,,,0,,,
2018-01-27T01:14:16.624Z,21.3,,,0,,,
2018-01-27T01:14:26.642Z,21.3,,,0,,,36
2018-01-27T01:14:36.645Z,21.3,,,0,,,35.9
2018-01-27T01:14:46.647Z,21.3,,,0,,,35.9
2018-01-27T01:14:56.649Z,21.3,,,0,,,
2018-01-27T01:15:06.625Z,21.3,,,0,,,
2018-01-27T01:15:16.624Z,21.3,,,0,,,
2018-01-27T01:15:26.624Z,21.3,,,0,,,
2018-01-27T01:15:36.624Z,21.3,,,0,,,
2018-01-27T01:15:46.624Z,21.3,,,0,,,
2018-01-27T01:15:56.626Z,21.3,,,0,,,
2018-01-27T01:16:06.624Z,21.3,,,0,,,
2018-01-27T01:16:16.626Z,21.3,,,0,,,
2018-01-27T01:16:26.626Z,21.3,,,0,,,35.8
2018-01-27T01:16:36.626Z,21.3,,,0,,,
2018-01-27T01:16:46.624Z,21.3,,,0,,,
2018-01-27T01:16:56.625Z,21.3,,,0,,,
2018-01-27T01:17:06.624Z,21.3,,,0,,,
2018-01-27T01:17:16.627Z,21.2,,,0,,,
2018-01-27T01:17:26.624Z,21.3,,,0,,,
2018-01-27T01:17:36.625Z,21.2,,,0,,,
2018-01-27T01:17:46.624Z,21.2,,,0,,,
2018-01-27T01:17:56.625Z,21.2,,,0,,,
2018-01-27T01:18:06.626Z,21.2,,,0,,,
2018-01-27T01:18:16.625Z,21.2,,,0,,,
2018-01-27T01:18:26.628Z,21.2,,,0,,,35.7
2018-01-27T01:18:36.625Z,21.2,,,0,,,
2018-01-27T01:18:46.625Z,21.2,,,0,,,
2018-01-27T01:18:56.625Z,21.2,,,0,,,
2018-01-27T01:19:06.624Z,21.2,,,0,,,
2018-01-27T01:19:16.625Z,21.2,,,0,,,
2018-01-27T01:19:26.625Z,21.2,,,0,,,
2018-01-27T01:19:36.625Z,21.2,,,0,,,
2018-01-27T01:19:46.625Z,21.2,,,0,,,
2018-01-27T01:19:56.625Z,21.2,,,0,,,
2018-01-27T01:20:06.652Z,21.2,,,0,,,35.6
2018-01-27T01:20:16.625Z,21.2,,,0,,,
2018-01-27T01:20:26.625Z,21.2,,,0,,,
2018-01-27T01:20:36.634Z,21.2,,,0,,,
2018-01-27T01:20:46.626Z,21.2,,,0,,,
2018-01-27T01:20:56.637Z,21.2,,,0,,,
2018-01-27T01:21:11.645Z,21.2,,,0,,,
2018-01-27T01:21:16.639Z,21.2,,,0,,,
2018-01-27T01:21:26.651Z,21.2,,,0,,,
2018-01-27T01:21:36.625Z,21.2,,,0,,,
2018-01-27T01:21:46.790Z,21.2,,,0,,,
2018-01-27T01:21:56.625Z,21.2,,,0,,,35.5
2018-01-27T01:22:06.636Z,21.2,,,0,,,
2018-01-27T01:22:16.626Z,21.2,,,0,,,
2018-01-27T01:22:26.636Z,21.2,,,0,,,
2018-01-27T01:22:36.636Z,21.1,,,0,,,
2018-01-27T01:22:46.644Z,21.2,,,0,,,
2018-01-27T01:22:57.298Z,21.2,,,0,,,
2018-01-27T01:23:06.635Z,21.2,,,0,,,
2018-01-27T01:23:16.635Z,21.1,,,0,,,
2018-01-27T01:23:26.637Z,21.2,,,0,,,
2018-01-27T01:23:36.636Z,21.1,,,0,,,
2018-01-27T01:23:46.636Z,21.1,,,0,,,35.4
2018-01-27T01:23:56.629Z,21.1,,,0,,,
2018-01-27T01:24:06.638Z,21.1,,,0,,,
2018-01-27T01:24:16.634Z,21.1,,,0,,,
2018-01-27T01:24:26.634Z,21.1,,,0,,,
2018-01-27T01:24:36.634Z,21.1,,,0,,,
2018-01-27T01:24:46.634Z,21.1,,,0,,,
2018-01-27T01:24:56.636Z,21.1,,,0,,,
2018-01-27T01:25:06.638Z,21.1,,,0,,,
2018-01-27T01:25:16.634Z,21.1,,,0,,,
2018-01-27T01:25:26.634Z,21.1,,,0,,,
2018-01-27T01:25:36.634Z,21.1,,,0,,,
2018-01-27T01:25:46.633Z,21.1,,,0,,,35.3
2018-01-27T01:25:56.633Z,21.1,,,0,,,
2018-01-27T01:26:11.651Z,21.1,,,0,,,
2018-01-27T01:26:21.767Z,21.1,,,0,,,
2018-01-27T01:26:26.633Z,21.1,,,0,,,
