Time,PrimTSet,PrimT,HwTOutlet,ActPow,HwActive,ChActive,HwTSet
2017-11-13T01:08:06.504Z,,,23.8,,,,0
2017-11-13T01:08:16.502Z,,,23.8,,,,0
2017-11-13T01:08:26.502Z,,,23.7,,,,0
2017-11-13T01:08:36.500Z,,,23.8,,,,0
2017-11-13T01:08:46.501Z,,,23.7,,,,0
2017-11-13T01:08:56.660Z,,,23.7,,,,0
2017-11-13T01:09:06.503Z,,40.6,23.7,,,,0
2017-11-13T01:09:16.501Z,,,23.7,,,,0
2017-11-13T01:09:26.500Z,,,23.7,,,,0
2017-11-13T01:09:36.501Z,,,23.7,,,,0
2017-11-13T01:09:46.501Z,,,23.7,,,,0
2017-11-13T01:09:56.594Z,,,23.7,,,,0
2017-11-13T01:10:06.501Z,,,23.7,,,,0
2017-11-13T01:10:16.500Z,,,23.7,,,,0
2017-11-13T01:10:26.552Z,,,23.7,,,,0
2017-11-13T01:10:36.520Z,,,23.7,,,,0
2017-11-13T01:10:46.504Z,,40.5,23.7,,,,0
2017-11-13T01:10:56.624Z,,,23.6,,,,0
2017-11-13T01:11:06.508Z,,,23.6,,,,0
2017-11-13T01:11:16.506Z,,,23.6,,,,0
2017-11-13T01:11:26.501Z,,,23.6,,,,0
2017-11-13T01:11:36.500Z,5,40.5,23.6,0,0,0,0
2017-11-13T01:11:46.501Z,,,23.6,,,,0
2017-11-13T01:11:56.596Z,,,23.6,,,,0
2017-11-13T01:12:06.504Z,,40.4,23.6,,,,0
2017-11-13T01:12:16.505Z,,,23.6,,,,0
2017-11-13T01:12:26.505Z,,,23.6,,,,0
2017-11-13T01:12:36.501Z,,,23.6,,,,0
2017-11-13T01:12:46.502Z,,,23.6,,,,0
2017-11-13T01:12:56.590Z,,,23.6,,,,0
2017-11-13T01:13:06.506Z,,,23.6,,,,0
2017-11-13T01:13:16.501Z,,,23.6,,,,0
2017-11-13T01:13:26.501Z,,,23.4,,,,0
2017-11-13T01:13:36.503Z,,40.3,23.4,,,,0
2017-11-13T01:13:46.501Z,,,23.6,,,,0
2017-11-13T01:13:56.641Z,,,23.4,,,,0
2017-11-13T01:14:06.501Z,,,23.4,,,,0
2017-11-13T01:14:16.502Z,,,23.4,,,,0
2017-11-13T01:14:26.506Z,,,23.4,,,,0
2017-11-13T01:14:36.505Z,,,23.4,,,,0
2017-11-13T01:14:46.501Z,,,23.4,,,,0
2017-11-13T01:14:56.584Z,,40.2,23.4,,,,0
2017-11-13T01:15:06.501Z,,,23.4,,,,0
2017-11-13T01:15:16.501Z,,,23.4,,,,0
2017-11-13T01:15:26.544Z,,,23.4,,,,0
2017-11-13T01:15:36.506Z,,,23.4,,,,0
2017-11-13T01:15:46.501Z,,,23.4,,,,0
2017-11-13T01:15:56.592Z,,,23.4,,,,0
2017-11-13T01:16:06.505Z,,,23.4,,,,0
2017-11-13T01:16:16.504Z,,40.1,23.4,,,,0
2017-11-13T01:16:26.501Z,,,23.3,,,,0
2017-11-13T01:16:36.503Z,,,23.3,,,,0
2017-11-13T01:16:46.502Z,,,23.3,,,,0
2017-11-13T01:16:56.591Z,,,23.3,,,,0
2017-11-13T01:17:06.501Z,,,23.3,,,,0
2017-11-13T01:17:16.503Z,,,23.3,,,,0
2017-11-13T01:17:26.501Z,,,23.3,,,,0
2017-11-13T01:17:36.508Z,,,23.3,,,,0
2017-11-13T01:17:46.501Z,,,23.3,,,,0
2017-11-13T01:17:56.596Z,,40,23.3,,,,0
2017-11-13T01:18:06.502Z,,,23.3,,,,0
2017-11-13T01:18:16.502Z,,,23.3,,,,0
2017-11-13T01:18:26.502Z,,,23.3,,,,0
2017-11-13T01:18:36.501Z,,,23.3,,,,0
2017-11-13T01:18:46.507Z,,,23.3,,,,0
2017-11-13T01:18:56.582Z,,,23.2,,,,0
2017-11-13T01:19:06.501Z,,,23.3,,,,0
2017-11-13T01:19:16.502Z,,39.9,23.3,,,,0
