Time,PrimTSet,ChActive,ActPow,PrimT,HwActive,HwTSet,HwTOutlet
2017-11-05T01:14:57.764Z,,,,,,0,26.8
2017-11-05T01:15:07.768Z,,,,,,0,26.8
2017-11-05T01:15:17.766Z,,,,,,0,26.7
2017-11-05T01:15:27.769Z,,,,,,0,26.7
2017-11-05T01:15:37.768Z,,,,,,0,26.7
2017-11-05T01:15:47.766Z,,,,,,0,26.7
2017-11-05T01:15:57.764Z,,,,,,0,26.7
2017-11-05T01:16:07.766Z,,,,44.8,,0,26.7
2017-11-05T01:16:17.773Z,,,,,,0,26.6
2017-11-05T01:16:27.772Z,,,,,,0,26.6
2017-11-05T01:16:37.771Z,,,,,,0,26.6
2017-11-05T01:16:47.768Z,,,,,,0,26.6
2017-11-05T01:16:57.770Z,,,,,,0,26.6
2017-11-05T01:17:07.765Z,,,,44.7,,0,26.5
2017-11-05T01:17:17.765Z,,,,,,0,26.5
2017-11-05T01:17:27.765Z,,,,,,0,26.5
2017-11-05T01:17:37.765Z,,,,,,0,26.5
2017-11-05T01:17:47.766Z,,,,,,0,26.5
2017-11-05T01:17:57.765Z,,,,,,0,26.5
2017-11-05T01:18:07.773Z,,,,,,0,26.3
2017-11-05T01:18:17.765Z,,,,44.6,,0,26.3
2017-11-05T01:18:27.766Z,,,,,,0,26.3
2017-11-05T01:18:37.765Z,,,,,,0,26.3
2017-11-05T01:18:47.769Z,,,,,,0,26.2
2017-11-05T01:18:57.765Z,,,,,,0,26.2
2017-11-05T01:19:07.765Z,,,,,,0,26.2
2017-11-05T01:19:17.766Z,,,,,,0,26.2
2017-11-05T01:19:27.766Z,,,,44.5,,0,26.2
2017-11-05T01:19:37.765Z,,,,,,0,26.2
2017-11-05T01:19:47.765Z,,,,,,0,26.2
2017-11-05T01:19:57.769Z,,,,,,0,26.2
2017-11-05T01:20:07.764Z,,,,,,0,26.1
2017-11-05T01:20:17.765Z,,,,,,0,26.1
2017-11-05T01:20:27.766Z,,,,,,0,26.1
