Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T00:36:57.267Z,25.1,41.7,0,,,,
2018-01-30T00:37:07.268Z,25,,0,,,,
2018-01-30T00:37:17.268Z,25,,0,,,,
2018-01-30T00:37:27.268Z,25,,0,,,,
2018-01-30T00:37:37.267Z,25,,0,,,,
2018-01-30T00:37:47.359Z,25,,0,,,,
2018-01-30T00:37:57.268Z,25,,0,,,,
2018-01-30T00:38:07.268Z,25,41.6,0,,,,
2018-01-30T00:38:17.271Z,25,,0,,,,
2018-01-30T00:38:27.301Z,25,,0,,,,
2018-01-30T00:38:37.267Z,25,,0,,,,
2018-01-30T00:38:47.357Z,24.9,,0,,,,
2018-01-30T00:38:57.268Z,24.9,,0,,,,
2018-01-30T00:39:07.269Z,24.9,,0,,,,
2018-01-30T00:39:17.268Z,24.9,,0,,,,
2018-01-30T00:39:27.268Z,24.9,41.5,0,,,,
2018-01-30T00:39:37.268Z,24.9,,0,,,,
2018-01-30T00:39:47.398Z,24.9,,0,,,,
2018-01-30T00:39:57.267Z,24.9,,0,,,,
2018-01-30T00:40:07.269Z,24.9,,0,,,,
2018-01-30T00:40:17.268Z,24.8,,0,,,,
2018-01-30T00:40:27.268Z,24.8,,0,,,,
2018-01-30T00:40:37.271Z,24.8,,0,,,,
2018-01-30T00:40:47.358Z,24.8,41.4,0,,,,
2018-01-30T00:40:57.270Z,24.8,,0,,,,
2018-01-30T00:41:07.268Z,24.8,,0,,,,
2018-01-30T00:41:17.268Z,24.8,,0,,,,
2018-01-30T00:41:27.268Z,24.8,,0,,,,
2018-01-30T00:41:37.268Z,24.8,,0,,,,
2018-01-30T00:41:47.358Z,24.7,,0,,,,
2018-01-30T00:41:57.271Z,24.7,,0,,,,
2018-01-30T00:42:07.270Z,24.7,,0,,,,
2018-01-30T00:42:17.269Z,24.7,41.3,0,,,,
2018-01-30T00:42:27.268Z,24.7,,0,,,,
2018-01-30T00:42:37.269Z,24.7,,0,,,,
2018-01-30T00:42:47.361Z,24.7,,0,,,,
2018-01-30T00:42:57.464Z,24.7,,0,,,,
2018-01-30T00:43:07.268Z,24.7,,0,,,,
2018-01-30T00:43:17.268Z,24.5,,0,,,,
2018-01-30T00:43:27.268Z,24.7,,0,,,,
2018-01-30T00:43:37.270Z,24.5,41.2,0,,,,
2018-01-30T00:43:47.358Z,24.5,,0,,,,
2018-01-30T00:43:57.269Z,24.5,,0,,,,
2018-01-30T00:44:07.442Z,24.5,,0,,,,
2018-01-30T00:44:17.268Z,24.5,,0,,,,
2018-01-30T00:44:27.271Z,24.5,,0,,,,
2018-01-30T00:44:37.270Z,24.5,,0,,,,
2018-01-30T00:44:47.359Z,24.5,41.1,0,,,,
2018-01-30T00:44:57.269Z,24.5,41.2,0,,,,
2018-01-30T00:45:07.270Z,24.5,41.1,0,,,,
2018-01-30T00:45:17.270Z,24.5,,0,,,,
2018-01-30T00:45:27.270Z,24.4,,0,,,,
2018-01-30T00:45:37.269Z,24.4,,0,,,,
2018-01-30T00:45:47.359Z,24.4,,0,,,,
2018-01-30T00:45:57.269Z,24.4,,0,,,,
2018-01-30T00:46:07.281Z,24.4,,0,,,,
2018-01-30T00:46:17.277Z,24.4,,0,,,,
2018-01-30T00:46:27.270Z,24.4,41,0,,,,
2018-01-30T00:46:37.272Z,24.4,,0,,,,
2018-01-30T00:46:47.359Z,24.4,,0,,,,
2018-01-30T00:46:57.285Z,24.4,,0,,,,
2018-01-30T00:47:07.271Z,24.3,,0,,,,
2018-01-30T00:47:17.272Z,24.3,,0,,,,
2018-01-30T00:47:27.269Z,24.3,40.9,0,,,,
2018-01-30T00:47:37.269Z,24.3,40.9,0,,,,
2018-01-30T00:47:47.363Z,24.3,,0,,,,
2018-01-30T00:47:57.269Z,24.3,,0,,,,
2018-01-30T00:48:07.275Z,24.3,,0,,,,
