Time,HwTSet,ChActive,HwTOutlet,ActPow,HwActive,PrimT,PrimTSet
2017-12-14T00:39:58.468Z,0,,26.7,,,,
2017-12-14T00:40:08.463Z,0,,26.7,,,,
2017-12-14T00:40:18.463Z,0,,26.6,,,,
2017-12-14T00:40:28.463Z,0,,26.6,,,45.7,
2017-12-14T00:40:38.462Z,0,,26.6,,,,
2017-12-14T00:40:48.671Z,0,,26.5,,,,
2017-12-14T00:40:58.462Z,0,,26.5,,,,
2017-12-14T00:41:08.463Z,0,,26.5,,,,
2017-12-14T00:41:18.461Z,0,,26.3,,,,
2017-12-14T00:41:28.467Z,0,,26.3,,,45.6,
2017-12-14T00:41:38.462Z,0,,26.3,,,,
2017-12-14T00:41:48.597Z,0,,26.2,,,,
2017-12-14T00:41:58.465Z,0,,26.2,,,,
2017-12-14T00:42:08.462Z,0,,26.2,,,,
2017-12-14T00:42:18.463Z,0,,26.2,,,,
2017-12-14T00:42:28.630Z,0,,26.1,,,45.5,
2017-12-14T00:42:38.462Z,0,,26.1,,,,
2017-12-14T00:42:48.682Z,0,,26.1,,,,
2017-12-14T00:42:58.462Z,0,,26.1,,,,
2017-12-14T00:43:08.462Z,0,,26,,,,
2017-12-14T00:43:18.464Z,0,,26,,,,
2017-12-14T00:43:28.462Z,0,,25.9,,,45.4,
2017-12-14T00:43:38.468Z,0,,25.9,,,,
2017-12-14T00:43:48.552Z,0,,25.9,,,,
2017-12-14T00:43:58.464Z,0,,25.9,,,,
2017-12-14T00:44:08.465Z,0,,25.7,,,,
2017-12-14T00:44:18.462Z,0,,25.7,,,,
2017-12-14T00:44:28.462Z,0,,25.7,,,,
2017-12-14T00:44:38.463Z,0,,25.7,,,45.3,
2017-12-14T00:44:48.542Z,0,,25.6,,,,
2017-12-14T00:44:58.462Z,0,,25.6,,,,
2017-12-14T00:45:08.463Z,0,,25.6,,,,
2017-12-14T00:45:18.462Z,0,,25.6,,,,
2017-12-14T00:45:28.462Z,0,,25.6,,,,
2017-12-14T00:45:38.462Z,0,,25.5,,,,
2017-12-14T00:45:48.547Z,0,,25.5,,,45.2,
2017-12-14T00:45:58.482Z,0,,25.5,,,,
2017-12-14T00:46:08.731Z,0,,25.4,,,,
2017-12-14T00:46:18.465Z,0,,25.4,,,,
2017-12-14T00:46:28.463Z,0,,25.4,,,,
2017-12-14T00:46:38.464Z,0,,25.4,,,45.1,
2017-12-14T00:46:48.677Z,0,,25.3,,,,
2017-12-14T00:46:58.463Z,0,,25.3,,,,
2017-12-14T00:47:08.463Z,0,,25.3,,,,
2017-12-14T00:47:18.468Z,0,,25.3,,,,
2017-12-14T00:47:28.465Z,0,,25.1,,,,
2017-12-14T00:47:38.748Z,0,,25.1,,,45,
2017-12-14T00:47:48.614Z,0,,25.1,,,,
2017-12-14T00:47:58.464Z,0,,25.1,,,,
2017-12-14T00:48:08.462Z,0,,25,,,,
2017-12-14T00:48:18.465Z,0,,25,,,,
2017-12-14T00:48:28.463Z,0,,25,,,,
2017-12-14T00:48:38.487Z,0,,25,,,,
2017-12-14T00:48:48.553Z,0,,25,,,44.9,
2017-12-14T00:48:58.468Z,0,,24.9,,,,
2017-12-14T00:49:08.463Z,0,,24.9,,,,
2017-12-14T00:49:18.464Z,0,,24.9,,,,
2017-12-14T00:49:28.463Z,0,,24.9,,,,
2017-12-14T00:49:38.463Z,0,,24.8,,,44.8,
2017-12-14T00:49:48.841Z,0,,24.8,,,,
2017-12-14T00:49:58.463Z,0,,24.8,,,,
2017-12-14T00:50:08.464Z,0,,24.8,,,,
2017-12-14T00:50:18.466Z,0,,24.8,,,,
2017-12-14T00:50:28.464Z,0,,24.7,,,,
2017-12-14T00:50:38.463Z,0,,24.7,,,,
2017-12-14T00:50:48.556Z,0,,24.7,,,44.7,
2017-12-14T00:50:58.463Z,0,,24.7,,,,
2017-12-14T00:51:08.466Z,0,,24.7,,,,
2017-12-14T00:51:18.463Z,0,,24.7,,,,
2017-12-14T00:51:28.464Z,0,,24.5,,,,
2017-12-14T00:51:38.463Z,0,,24.5,,,,
2017-12-14T00:51:48.574Z,0,,24.5,,,,
2017-12-14T00:51:58.463Z,0,,24.5,,,44.6,
2017-12-14T00:52:13.651Z,0,,24.5,,,,
2017-12-14T00:52:18.474Z,0,,24.4,,,,
2017-12-14T00:52:28.465Z,0,,24.4,,,,
2017-12-14T00:52:38.463Z,0,,24.4,,,,
2017-12-14T00:52:48.706Z,0,,24.4,,,,
2017-12-14T00:52:58.464Z,,,,,,44.5,
2017-12-14T00:53:08.464Z,0,,24.3,,,,
2017-12-14T00:53:18.464Z,0,,24.3,,,,
2017-12-14T00:53:28.464Z,0,,24.3,,,,
2017-12-14T00:53:38.466Z,0,,24.3,,,,
2017-12-14T00:53:48.544Z,0,,24.3,,,,
2017-12-14T00:53:58.467Z,0,,24.2,,,44.4,
2017-12-14T00:54:08.466Z,0,,24.2,,,,
2017-12-14T00:54:18.463Z,0,,24.2,,,,
2017-12-14T00:54:28.464Z,0,,24.2,,,,
2017-12-14T00:54:38.464Z,0,,24.2,,,,
2017-12-14T00:54:58.465Z,0,,24,,,,
2017-12-14T00:55:08.464Z,0,,24,,,44.3,
2017-12-14T00:55:28.468Z,0,,24,,,,
2017-12-14T00:55:38.464Z,0,,24,,,,
2017-12-14T00:55:48.547Z,0,,24,,,,
2017-12-14T00:55:58.464Z,0,,23.9,,,,
2017-12-14T00:56:08.464Z,0,,23.9,,,,
2017-12-14T00:56:18.464Z,0,,23.9,,,44.2,
2017-12-14T00:56:28.464Z,0,,23.9,,,,
2017-12-14T00:56:48.705Z,0,,23.9,,,,
2017-12-14T00:56:58.464Z,0,,23.8,,,,
2017-12-14T00:57:08.470Z,0,,23.8,,,,
2017-12-14T00:57:18.465Z,0,,23.8,,,44.1,
2017-12-14T00:57:28.465Z,0,,23.8,,,,
2017-12-14T00:57:38.470Z,0,,23.8,,,,
2017-12-14T00:57:48.624Z,0,,23.7,,,,
2017-12-14T00:57:58.464Z,0,,23.8,,,,
2017-12-14T00:58:08.466Z,0,,23.7,,,,
2017-12-14T00:58:18.476Z,0,,23.7,,,44,
2017-12-14T00:58:28.465Z,0,,23.7,,,,
2017-12-14T00:58:38.465Z,0,,23.7,,,,
2017-12-14T00:58:58.464Z,0,,23.7,,,,
2017-12-14T00:59:08.465Z,0,,23.6,,,,
2017-12-14T00:59:18.464Z,,,,,,44,
2017-12-14T00:59:28.465Z,0,,23.6,,,43.9,
2017-12-14T00:59:38.464Z,0,,23.6,,,,
2017-12-14T00:59:48.555Z,0,0,23.6,0,0,43.9,5
2017-12-14T01:00:08.465Z,0,,23.6,,,,
2017-12-14T01:00:18.465Z,0,,23.6,,,,
2017-12-14T01:00:28.465Z,0,,23.4,,,43.8,
2017-12-14T01:00:38.466Z,0,,23.4,,,,
2017-12-14T01:00:58.510Z,0,,23.4,,,,
