Time,HwTSet,ActPow,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive
2018-01-19T00:45:28.898Z,0,,38.9,,22.6,,
2018-01-19T00:45:38.897Z,0,,38.9,,22.6,,
2018-01-19T00:45:48.898Z,0,,,,22.6,,
2018-01-19T00:45:58.898Z,0,,,,22.6,,
2018-01-19T00:46:08.897Z,0,,,,22.6,,
2018-01-19T00:46:18.897Z,0,,,,22.6,,
2018-01-19T00:46:28.897Z,0,,,,22.6,,
2018-01-19T00:46:38.897Z,0,,,,22.6,,
2018-01-19T00:46:48.897Z,0,,,,22.6,,
2018-01-19T00:46:58.898Z,0,,,,22.6,,
2018-01-19T00:47:08.899Z,0,,38.8,,22.6,,
2018-01-19T00:47:18.897Z,0,,,,22.6,,
2018-01-19T00:47:28.898Z,0,,,,22.6,,
2018-01-19T00:47:38.898Z,0,,,,22.5,,
2018-01-19T00:47:48.898Z,0,,,,22.6,,
2018-01-19T00:47:58.898Z,0,,,,22.5,,
2018-01-19T00:48:08.898Z,0,,,,22.5,,
2018-01-19T00:48:18.898Z,0,,,,22.5,,
2018-01-19T00:48:28.898Z,0,,,,22.5,,
2018-01-19T00:48:38.898Z,0,,38.7,,22.5,,
2018-01-19T00:48:48.900Z,0,,,,22.5,,
2018-01-19T00:48:58.898Z,0,,,,22.5,,
2018-01-19T00:49:08.907Z,0,,,,22.5,,
2018-01-19T00:49:18.898Z,0,,,,22.5,,
2018-01-19T00:49:28.897Z,0,,,,22.5,,
2018-01-19T00:49:38.898Z,0,,,,22.5,,
2018-01-19T00:49:48.897Z,0,,,,22.5,,
2018-01-19T00:49:58.898Z,0,,,,22.5,,
2018-01-19T00:50:08.898Z,0,,,,22.5,,
2018-01-19T00:50:18.897Z,0,,,,22.5,,
2018-01-19T00:50:28.898Z,0,,38.6,,22.5,,
2018-01-19T00:50:38.899Z,0,,,,22.5,,
2018-01-19T00:50:48.898Z,0,,,,22.4,,
2018-01-19T00:50:58.898Z,0,,,,22.5,,
2018-01-19T00:51:08.898Z,0,,,,22.4,,
2018-01-19T00:51:18.899Z,0,,,,22.4,,
2018-01-19T00:51:28.898Z,0,,,,22.4,,
2018-01-19T00:51:38.902Z,0,,,,22.4,,
2018-01-19T00:51:48.898Z,0,,,,22.4,,
2018-01-19T00:51:58.899Z,0,,38.5,,22.4,,
2018-01-19T00:52:08.900Z,0,,,,22.4,,
2018-01-19T00:52:18.898Z,0,,,,22.4,,
2018-01-19T00:52:28.901Z,0,,,,22.4,,
2018-01-19T00:52:38.898Z,0,,,,22.4,,
2018-01-19T00:52:48.899Z,0,,,,22.4,,
2018-01-19T00:52:58.898Z,0,,,,22.4,,
2018-01-19T00:53:08.899Z,0,,,,22.4,,
2018-01-19T00:53:18.899Z,0,,,,22.4,,
2018-01-19T00:53:28.898Z,0,,,,22.4,,
2018-01-19T00:53:38.899Z,0,,38.4,,22.4,,
2018-01-19T00:53:48.898Z,0,,,,22.4,,
2018-01-19T00:53:58.899Z,0,,,,22.4,,
2018-01-19T00:54:08.899Z,0,,,,22.4,,
2018-01-19T00:54:18.898Z,0,,,,22.2,,
2018-01-19T00:54:28.898Z,0,,,,22.2,,
2018-01-19T00:54:38.898Z,0,,,,22.4,,
2018-01-19T00:54:48.899Z,0,,,,22.2,,
2018-01-19T00:54:58.898Z,0,,,,22.2,,
2018-01-19T00:55:08.899Z,0,,,,22.2,,
2018-01-19T00:55:18.899Z,0,,38.3,,22.2,,
2018-01-19T00:55:28.899Z,0,,,,22.2,,
2018-01-19T00:55:38.899Z,0,,,,22.2,,
2018-01-19T00:55:48.899Z,0,0,38.3,0,22.2,5,0
