Time,HwTSet,HwActive,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet
2017-11-02T00:44:02.073Z,0,,,,48.7,,33.3
2017-11-02T00:44:12.074Z,0,0,54,2,,,33.3
2017-11-02T00:44:22.073Z,0,0,5,0,54.4,0,33.3
2017-11-02T00:44:32.074Z,0,,,,52.7,,33.2
2017-11-02T00:44:42.074Z,0,,,,50.7,,33.2
2017-11-02T00:44:52.077Z,0,,,,49.8,,33.3
2017-11-02T00:45:07.093Z,0,,,,49.2,,33.2
2017-11-02T00:45:12.074Z,0,,,,48.8,,33.2
2017-11-02T00:45:22.080Z,0,,,,48.5,,33.2
2017-11-02T00:45:32.074Z,0,,,,48.3,,33.2
2017-11-02T00:45:42.074Z,0,,,,48.1,,33.2
2017-11-02T00:45:52.073Z,0,,,,47.9,,33.2
2017-11-02T00:46:02.073Z,0,,,,47.7,,33.2
2017-11-02T00:46:12.074Z,0,,,,47.4,,33.2
2017-11-02T00:46:22.077Z,0,,,,,,33.2
2017-11-02T00:46:32.074Z,0,,,,47.3,,33.2
2017-11-02T00:46:42.074Z,0,,,,47.2,,33.2
2017-11-02T00:46:52.077Z,0,,,,46.9,,33.2
2017-11-02T00:47:02.080Z,0,,,,46.8,,33.2
2017-11-02T00:47:12.080Z,0,,,,,,33.2
2017-11-02T00:47:22.074Z,0,,,,46.7,,33.2
2017-11-02T00:47:32.074Z,0,,,,,,33.2
2017-11-02T00:47:42.074Z,0,,,,46.6,,33.1
2017-11-02T00:47:52.074Z,0,,,,,,33.2
2017-11-02T00:48:02.206Z,0,,,,46.5,,33.1
2017-11-02T00:48:12.074Z,0,0,54,2,,,33.1
2017-11-02T00:48:27.176Z,0,0,5,0,50.5,0,33.1
2017-11-02T00:48:32.084Z,0,,,,49.7,,33.1
2017-11-02T00:48:42.086Z,0,0,54,2,47.3,,33.1
2017-11-02T00:48:52.077Z,0,,,,52.1,37,33.1
2017-11-02T00:49:02.077Z,0,,,,56.2,30,33.1
2017-11-02T00:49:12.076Z,0,,,,55.1,30,33.1
2017-11-02T00:49:22.075Z,0,0,5,0,54.8,0,33.1
2017-11-02T00:49:32.077Z,0,,,,50.7,,33.1
2017-11-02T00:49:42.078Z,0,,,,47.9,,32.9
2017-11-02T00:49:52.075Z,0,,,,46.4,,32.9
2017-11-02T00:50:02.075Z,0,,,,45.6,,32.9
2017-11-02T00:50:12.079Z,0,0,54,2,45.1,,32.9
2017-11-02T00:50:22.077Z,0,,,,50.2,38,32.9
2017-11-02T00:50:32.074Z,0,,,,54.5,29,32.9
2017-11-02T00:50:42.075Z,0,0,5,0,54.3,0,32.9
2017-11-02T00:50:52.076Z,0,,,,50.9,,32.9
2017-11-02T00:51:02.074Z,0,,,,47.9,,32.9
2017-11-02T00:51:12.075Z,0,,,,47.2,,32.8
2017-11-02T00:51:22.075Z,0,0,54,2,46.9,,32.8
2017-11-02T00:51:32.075Z,0,0,5,0,51.2,0,32.8
2017-11-02T00:51:42.087Z,0,0,54,2,49.4,,32.8
2017-11-02T00:51:52.076Z,0,0,5,0,53.1,0,32.8
2017-11-02T00:52:02.075Z,0,,,,50.9,,32.8
2017-11-02T00:52:12.076Z,0,0,54,2,48.2,,32.8
2017-11-02T00:52:22.075Z,0,0,5,0,53,0,32.8
2017-11-02T00:52:32.080Z,0,0,54,2,50.6,,32.8
2017-11-02T00:52:42.091Z,0,0,,2,54.7,37,32.8
2017-11-02T00:52:52.079Z,0,0,,2,58.2,0,32.8
2017-11-02T00:53:02.077Z,0,,,,51.7,,32.7
2017-11-02T00:53:12.079Z,0,,,,48.9,,32.8
