Time,ChActive,HwTSet,HwTOutlet,PrimTSet,HwActive,ActPow,PrimT
2017-12-08T10:06:27.311Z,,0,22.4,,,,
2017-12-08T10:06:37.334Z,,0,22.4,,,,
2017-12-08T10:06:47.313Z,,0,22.4,,,,
2017-12-08T10:06:57.310Z,,0,22.4,,,,
2017-12-08T10:07:07.311Z,,0,22.4,,,,
2017-12-08T10:07:17.315Z,,0,22.2,,,,
2017-12-08T10:07:27.312Z,,0,22.2,,,,
2017-12-08T10:07:37.310Z,,0,22.2,,,,
2017-12-08T10:07:47.388Z,,0,22.2,,,,
2017-12-08T10:07:57.311Z,,0,22.2,,,,22.2
2017-12-08T10:08:07.314Z,,0,22.2,,,,
2017-12-08T10:08:17.312Z,,0,22.2,,,,22
2017-12-08T10:08:27.311Z,,0,22.2,,,,21.9
2017-12-08T10:08:37.381Z,,0,22.2,,,,21.8
2017-12-08T10:08:47.336Z,,0,22.2,,,,
2017-12-08T10:08:57.359Z,,0,22.2,,,,
2017-12-08T10:09:07.311Z,,0,22.2,,,,21.7
2017-12-08T10:09:17.312Z,,0,22.2,,,,
2017-12-08T10:09:27.312Z,,0,22.2,,,,
2017-12-08T10:09:37.314Z,,0,22.1,,,,
2017-12-08T10:09:47.320Z,,0,22.1,,,,
2017-12-08T10:09:57.327Z,,0,22.1,,,,
2017-12-08T10:10:07.320Z,,0,22.1,,,,
2017-12-08T10:10:17.330Z,,0,22.1,,,,
2017-12-08T10:10:27.325Z,,0,22.1,,,,
2017-12-08T10:10:37.335Z,,0,22.1,,,,21.6
2017-12-08T10:10:47.362Z,,0,22.1,,,,
2017-12-08T10:10:57.390Z,,0,22.1,,,,
2017-12-08T10:11:07.319Z,,0,22.1,,,,
2017-12-08T10:11:17.500Z,,0,22.1,,,,
2017-12-08T10:11:27.357Z,,0,22.1,,,,21.4
2017-12-08T10:11:37.332Z,,0,22.1,,,,
2017-12-08T10:11:47.328Z,,0,22.1,,,,
2017-12-08T10:11:57.351Z,,0,22,,,,
2017-12-08T10:12:07.333Z,,0,22,,,,
2017-12-08T10:12:17.341Z,,0,22,,,,
2017-12-08T10:12:27.319Z,,0,22,,,,
2017-12-08T10:12:37.321Z,,0,22,,,,
2017-12-08T10:12:47.344Z,,0,22,,,,
2017-12-08T10:12:57.395Z,,0,22,,,,
2017-12-08T10:13:07.326Z,,0,22,,,,
2017-12-08T10:13:17.360Z,,0,22,,,,
2017-12-08T10:13:27.315Z,,0,22,,,,
2017-12-08T10:13:37.325Z,,0,22,,,,
2017-12-08T10:13:47.376Z,,0,22,,,,21.6
2017-12-08T10:13:57.323Z,,0,22,,,,
2017-12-08T10:14:07.346Z,,0,22,,,,21.4
2017-12-08T10:14:17.321Z,,0,21.9,,,,21.6
2017-12-08T10:14:27.315Z,,0,21.9,,,,21.4
2017-12-08T10:14:37.325Z,,0,21.9,,,,
2017-12-08T10:14:47.356Z,,0,21.9,,,,
2017-12-08T10:14:57.361Z,,0,21.9,,,,
2017-12-08T10:15:07.342Z,,0,21.9,,,,
2017-12-08T10:15:17.324Z,,0,21.9,,,,
2017-12-08T10:15:27.355Z,,0,21.9,,,,
2017-12-08T10:15:37.431Z,,0,21.9,,,,
2017-12-08T10:15:47.396Z,,0,21.9,,,,
2017-12-08T10:15:57.321Z,,0,21.9,,,,
2017-12-08T10:16:07.355Z,,0,21.9,,,,21.6
2017-12-08T10:16:17.323Z,,0,21.9,,,,21.4
2017-12-08T10:16:27.340Z,,0,21.9,,,,
2017-12-08T10:16:37.316Z,,0,21.9,,,,
2017-12-08T10:16:47.339Z,,0,21.7,,,,
2017-12-08T10:16:57.330Z,,0,21.7,,,,
2017-12-08T10:17:07.322Z,,0,21.7,,,,
2017-12-08T10:17:17.323Z,,0,21.7,,,,21.6
2017-12-08T10:17:27.339Z,,0,21.7,,,,21.4
2017-12-08T10:17:37.325Z,,0,21.7,,,,21.6
2017-12-08T10:17:47.313Z,,0,21.7,,,,21.6
2017-12-08T10:17:57.319Z,,0,21.7,,,,21.3
2017-12-08T10:18:07.312Z,,0,21.7,,,,
2017-12-08T10:18:17.312Z,,0,21.7,,,,
2017-12-08T10:18:27.315Z,,0,21.7,,,,21.2
2017-12-08T10:18:37.313Z,,0,21.7,,,,21.1
2017-12-08T10:18:47.322Z,,0,21.7,,,,
2017-12-08T10:18:57.316Z,,0,21.7,,,,21
2017-12-08T10:19:07.313Z,,0,21.7,,,,
2017-12-08T10:19:17.312Z,,0,21.6,,,,
2017-12-08T10:19:27.313Z,,0,21.6,,,,
2017-12-08T10:19:37.312Z,,0,21.6,,,,
2017-12-08T10:19:47.314Z,,0,21.6,,,,
2017-12-08T10:19:57.322Z,,0,21.6,,,,
2017-12-08T10:20:07.313Z,,0,21.6,,,,
2017-12-08T10:20:17.328Z,,0,21.6,,,,21
2017-12-08T10:20:27.314Z,,0,21.6,,,,21
2017-12-08T10:20:37.328Z,,0,21.6,,,,20.8
2017-12-08T10:20:47.387Z,,0,21.6,,,,
2017-12-08T10:20:57.312Z,,0,21.6,,,,
2017-12-08T10:21:07.313Z,,0,21.6,,,,
2017-12-08T10:21:17.317Z,,0,21.6,,,,
2017-12-08T10:21:27.312Z,,0,21.6,,,,20.7
2017-12-08T10:21:37.314Z,,0,21.5,,,,
2017-12-08T10:21:47.314Z,,0,21.6,,,,
2017-12-08T10:22:02.854Z,,0,21.5,,,,
2017-12-08T10:22:07.319Z,,0,21.5,,,,
2017-12-08T10:22:17.329Z,,0,21.5,,,,
2017-12-08T10:22:27.322Z,,0,21.5,,,,
2017-12-08T10:22:37.323Z,,0,21.5,,,,
2017-12-08T10:22:47.312Z,,0,21.5,,,,
2017-12-08T10:22:57.327Z,,0,21.5,,,,
2017-12-08T10:23:07.313Z,,0,21.5,,,,
2017-12-08T10:23:17.319Z,,0,21.5,,,,
2017-12-08T10:23:27.356Z,,0,21.5,,,,
2017-12-08T10:23:37.314Z,,0,21.5,,,,
2017-12-08T10:23:47.313Z,,0,21.5,,,,
2017-12-08T10:23:57.320Z,,0,21.5,,,,
2017-12-08T10:24:07.315Z,,0,21.5,,,,
2017-12-08T10:24:17.313Z,,0,21.5,,,,
2017-12-08T10:24:27.313Z,,0,21.5,,,,
2017-12-08T10:24:37.314Z,,0,21.3,,,,
2017-12-08T10:24:47.319Z,,0,21.3,,,,
2017-12-08T10:24:57.329Z,,0,21.3,,,,
2017-12-08T10:25:07.315Z,,0,21.3,,,,
2017-12-08T10:25:17.316Z,,0,21.3,,,,
2017-12-08T10:25:27.317Z,,0,21.3,,,,
2017-12-08T10:25:37.316Z,,0,21.3,,,,20.8
2017-12-08T10:25:47.314Z,,0,21.3,,,,
2017-12-08T10:25:57.348Z,,0,21.3,,,,20.7
2017-12-08T10:26:07.314Z,,0,21.3,,,,
2017-12-08T10:26:17.313Z,,0,21.3,,,,
2017-12-08T10:26:27.317Z,,0,21.3,,,,
2017-12-08T10:26:37.331Z,,0,21.3,,,,
2017-12-08T10:26:47.509Z,,0,21.3,,,,
2017-12-08T10:26:57.316Z,,0,21.2,,,,
2017-12-08T10:27:07.313Z,,0,21.3,,,,
2017-12-08T10:27:17.318Z,,0,21.3,,,,
2017-12-08T10:27:27.314Z,,0,21.2,,,,
2017-12-08T10:27:37.315Z,,0,21.2,,,,
2017-12-08T10:27:47.316Z,,0,21.2,,,,20.8
2017-12-08T10:27:57.321Z,,0,21.2,,,,20.6
2017-12-08T10:28:07.325Z,,0,21.2,,,,
2017-12-08T10:28:17.362Z,,0,21.2,,,,
2017-12-08T10:28:27.316Z,,0,21.2,,,,20.5
2017-12-08T10:28:37.317Z,,0,21.2,,,,20.4
2017-12-08T10:28:47.317Z,,0,21.2,,,,
2017-12-08T10:28:57.314Z,,0,21.2,,,,
2017-12-08T10:29:07.320Z,,0,21.2,,,,
2017-12-08T10:29:17.321Z,,0,21.2,,,,
2017-12-08T10:29:27.322Z,,0,21.2,,,,
2017-12-08T10:29:37.317Z,,0,21.2,,,,20.2
2017-12-08T10:29:47.325Z,,0,21.2,,,,
2017-12-08T10:29:57.321Z,,0,21.2,,,,
2017-12-08T10:30:07.325Z,,0,21.1,,,,
2017-12-08T10:30:17.315Z,,0,21.1,,,,
2017-12-08T10:30:27.333Z,,0,21.1,,,,
2017-12-08T10:30:37.317Z,,0,21.1,,,,
