Time,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow
2017-11-27T01:01:56.726Z,51.7,1,30.8,,0,0,0
2017-11-27T01:02:06.726Z,48.4,,30.8,,,0,
2017-11-27T01:02:16.728Z,46.8,,30.8,,,0,
2017-11-27T01:02:26.727Z,46.1,,30.8,,,0,
2017-11-27T01:02:36.727Z,45.8,,30.8,,,0,
2017-11-27T01:02:46.726Z,,,30.8,,,0,
2017-11-27T01:02:56.725Z,45.9,,30.8,,,0,
2017-11-27T01:03:06.742Z,46,,30.8,,,0,
2017-11-27T01:03:16.726Z,46.1,,30.8,,,0,
2017-11-27T01:03:26.737Z,46.3,,30.8,,,0,
2017-11-27T01:03:36.733Z,,,30.9,,,0,
2017-11-27T01:03:46.727Z,46.1,,30.8,,,0,
2017-11-27T01:03:56.725Z,45.9,,30.9,,,0,
2017-11-27T01:04:06.726Z,45.6,,30.9,,,0,
2017-11-27T01:04:16.735Z,45.3,,30.8,,,0,
2017-11-27T01:04:26.726Z,45.1,,30.9,,,0,
2017-11-27T01:04:36.730Z,45,,30.9,,,0,
2017-11-27T01:04:46.725Z,44.9,,30.8,,,0,
2017-11-27T01:04:56.725Z,44.8,,30.8,,,0,
2017-11-27T01:05:06.726Z,44.6,,30.8,,,0,
2017-11-27T01:05:16.728Z,44.5,,30.8,,,0,
2017-11-27T01:05:26.726Z,44.2,,30.8,,,0,
2017-11-27T01:05:36.736Z,44,,30.8,,,0,
2017-11-27T01:05:46.728Z,43.8,,30.8,,,0,
2017-11-27T01:05:56.737Z,43.6,,30.8,,,0,
2017-11-27T01:06:06.725Z,43.5,,30.8,,,0,
2017-11-27T01:06:16.728Z,43.4,,30.8,,,0,
2017-11-27T01:06:26.726Z,43.2,,30.8,,,0,
2017-11-27T01:06:36.731Z,43.1,,30.8,,,0,
2017-11-27T01:06:46.726Z,43,,30.8,,,0,
2017-11-27T01:06:56.731Z,42.9,,30.8,,,0,
2017-11-27T01:07:06.738Z,42.7,,30.8,,,0,
2017-11-27T01:07:16.725Z,42.6,,30.8,,,0,
2017-11-27T01:07:26.726Z,42.3,,30.8,,,0,
