Time,HwTOutlet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTSet
2018-01-26T01:15:16.408Z,21.5,,,,,33.3,0
2018-01-26T01:15:26.406Z,21.5,,,,,,0
2018-01-26T01:15:36.408Z,21.5,,,,,,0
2018-01-26T01:15:46.497Z,21.5,,,,,,0
2018-01-26T01:15:56.409Z,21.5,,,,,,0
2018-01-26T01:16:06.407Z,21.5,,,,,,0
2018-01-26T01:16:16.408Z,21.5,,,,,,0
2018-01-26T01:16:26.409Z,21.5,,,,,,0
2018-01-26T01:16:36.415Z,21.3,,,,,,0
2018-01-26T01:16:46.496Z,21.3,,,,,,0
2018-01-26T01:16:56.407Z,21.3,,,,,,0
2018-01-26T01:17:06.406Z,21.3,,,,,,0
2018-01-26T01:17:16.411Z,21.3,,,,,33.2,0
2018-01-26T01:17:26.408Z,21.3,,,,,33.3,0
2018-01-26T01:17:36.407Z,21.3,,,,,33.2,0
2018-01-26T01:17:46.496Z,21.3,,,,,,0
2018-01-26T01:17:56.406Z,21.3,,,,,,0
2018-01-26T01:18:06.407Z,21.3,,,,,,0
2018-01-26T01:18:16.407Z,21.3,,,,,,0
2018-01-26T01:18:26.406Z,21.3,,,,,,0
2018-01-26T01:18:36.407Z,21.3,,,,,,0
2018-01-26T01:18:46.496Z,21.3,,,,,,0
2018-01-26T01:18:56.408Z,21.3,,,,,,0
2018-01-26T01:19:06.407Z,21.3,,,,,,0
2018-01-26T01:19:16.407Z,21.3,,,,,,0
2018-01-26T01:19:26.406Z,21.3,,,,,,0
2018-01-26T01:19:36.407Z,21.3,,,,,,0
2018-01-26T01:19:46.496Z,21.3,,,,,,0
2018-01-26T01:19:56.408Z,21.3,,,,,33.1,0
2018-01-26T01:20:06.407Z,21.3,,,,,,0
2018-01-26T01:20:16.407Z,21.3,,,,,,0
2018-01-26T01:20:26.407Z,21.3,,,,,,0
2018-01-26T01:20:36.408Z,21.3,,,,,,0
2018-01-26T01:20:46.497Z,21.3,,,,,,0
2018-01-26T01:20:56.407Z,21.3,,,,,,0
2018-01-26T01:21:06.651Z,21.3,,,,,,0
2018-01-26T01:21:16.407Z,21.3,,,,,,0
2018-01-26T01:21:26.407Z,21.2,,,,,,0
2018-01-26T01:21:36.408Z,21.2,,,,,,0
