Time,ChActive,HwActive,ActPow,PrimTSet,PrimT,HwTSet,HwTOutlet
2017-12-24T01:02:40.540Z,,,,,,0,23.3
2017-12-24T01:02:50.540Z,,,,,,0,23.3
2017-12-24T01:03:00.536Z,,,,,,0,23.3
2017-12-24T01:03:10.536Z,,,,,,0,23.3
2017-12-24T01:03:20.540Z,,,,,35.1,0,23.2
2017-12-24T01:03:30.537Z,,,,,,0,23.2
2017-12-24T01:03:40.541Z,,,,,,0,23.2
2017-12-24T01:03:50.538Z,,,,,,0,23.2
2017-12-24T01:04:00.536Z,,,,,,0,23.2
2017-12-24T01:04:10.537Z,,,,,,0,23.2
2017-12-24T01:04:20.540Z,,,,,,0,23.2
2017-12-24T01:04:30.537Z,,,,,,0,23.2
2017-12-24T01:04:40.536Z,,,,,,0,23.2
2017-12-24T01:04:50.536Z,,,,,,0,23.2
2017-12-24T01:05:00.536Z,,,,,,0,23.2
2017-12-24T01:05:10.536Z,,,,,34.9,0,23.2
2017-12-24T01:05:20.536Z,,,,,34.9,0,23.2
2017-12-24T01:05:30.540Z,,,,,,0,23.2
2017-12-24T01:05:40.537Z,,,,,,0,23.2
2017-12-24T01:05:55.625Z,,,,,,0,23.2
2017-12-24T01:06:00.536Z,,,,,,0,23.2
2017-12-24T01:06:10.536Z,,,,,,0,23.1
2017-12-24T01:06:20.537Z,,,,,,0,23.1
2017-12-24T01:06:30.536Z,,,,,,0,23.1
2017-12-24T01:06:40.543Z,,,,,,0,23.1
2017-12-24T01:06:50.536Z,,,,,,0,23.1
2017-12-24T01:07:00.536Z,,,,,,0,23.1
2017-12-24T01:07:10.536Z,,,,,,0,23.1
2017-12-24T01:07:20.538Z,,,,,34.8,0,23.1
2017-12-24T01:07:30.536Z,,,,,34.9,0,23.1
2017-12-24T01:07:40.536Z,,,,,34.8,0,23.1
2017-12-24T01:07:50.541Z,,,,,,0,23.1
2017-12-24T01:08:00.536Z,,,,,,0,23.1
2017-12-24T01:08:10.536Z,,,,,,0,23.1
2017-12-24T01:08:20.538Z,,,,,,0,23.1
2017-12-24T01:08:30.536Z,,,,,,0,23.1
2017-12-24T01:08:40.536Z,,,,,,0,23.1
2017-12-24T01:08:50.536Z,,,,,,0,23.1
2017-12-24T01:09:00.541Z,,,,,,0,23
2017-12-24T01:09:10.536Z,,,,,,0,23
2017-12-24T01:09:20.536Z,,,,,34.7,0,23
2017-12-24T01:09:30.537Z,,,,,,0,23
2017-12-24T01:09:40.536Z,,,,,,0,23
2017-12-24T01:09:50.537Z,,,,,,0,23
2017-12-24T01:10:00.538Z,,,,,,0,23
2017-12-24T01:10:10.543Z,,,,,,0,23
2017-12-24T01:10:20.536Z,,,,,,0,23
2017-12-24T01:10:30.538Z,,,,,,0,23
2017-12-24T01:10:40.537Z,,,,,,0,23
2017-12-24T01:10:50.536Z,,,,,,0,23
2017-12-24T01:11:00.536Z,,,,,,0,23
2017-12-24T01:11:10.705Z,,,,,,0,23
2017-12-24T01:11:20.541Z,,,,,,0,23
2017-12-24T01:11:30.538Z,,,,,,0,23
2017-12-24T01:11:40.537Z,,,,,34.6,0,23
2017-12-24T01:11:50.541Z,,,,,,0,23
2017-12-24T01:12:00.539Z,,,,,,0,23
2017-12-24T01:12:10.539Z,,,,,,0,23
2017-12-24T01:12:20.537Z,,,,,,0,22.8
2017-12-24T01:12:30.537Z,,,,,,0,22.8
2017-12-24T01:12:40.542Z,,,,,,0,22.8
2017-12-24T01:12:50.541Z,,,,,,0,23
2017-12-24T01:13:00.538Z,,,,,,0,22.8
2017-12-24T01:13:10.537Z,,,,,,0,22.8
2017-12-24T01:13:20.540Z,,,,,,0,22.8
2017-12-24T01:13:30.540Z,,,,,,0,22.8
2017-12-24T01:13:40.540Z,,,,,,0,22.8
2017-12-24T01:13:50.537Z,,,,,34.5,0,22.8
2017-12-24T01:14:00.537Z,,,,,,0,22.8
2017-12-24T01:14:10.537Z,,,,,,0,22.8
2017-12-24T01:14:20.540Z,,,,,,0,22.8
2017-12-24T01:14:30.541Z,,,,,,0,22.8
2017-12-24T01:14:40.537Z,,,,,,0,22.8
2017-12-24T01:14:50.539Z,,,,,,0,22.8
2017-12-24T01:15:00.540Z,,,,,,0,22.8
2017-12-24T01:15:10.538Z,,,,,,0,22.8
2017-12-24T01:15:20.542Z,,,,,,0,22.7
2017-12-24T01:15:30.538Z,0,0,0,5,34.5,0,22.7
2017-12-24T01:15:40.537Z,,,,,,0,22.8
2017-12-24T01:15:50.537Z,,,,,34.4,0,22.8
2017-12-24T01:16:00.538Z,,,,,34.5,0,22.7
2017-12-24T01:16:10.540Z,,,,,34.4,0,22.7
2017-12-24T01:16:20.542Z,,,,,,0,22.7
2017-12-24T01:16:30.538Z,,,,,,0,22.7
2017-12-24T01:16:40.539Z,,,,,,0,22.7
2017-12-24T01:16:50.543Z,,,,,,0,22.7
2017-12-24T01:17:00.538Z,,,,,,0,22.7
2017-12-24T01:17:10.538Z,,,,,,0,22.7
2017-12-24T01:17:20.543Z,,,,,,0,22.7
2017-12-24T01:17:30.539Z,,,,,,0,22.7
2017-12-24T01:17:40.539Z,,,,,,0,22.7
2017-12-24T01:17:50.538Z,,,,,,0,22.7
2017-12-24T01:18:00.662Z,,,,,34.3,0,22.7
2017-12-24T01:18:10.537Z,,,,,,0,22.7
2017-12-24T01:18:20.539Z,,,,,,0,22.7
2017-12-24T01:18:30.538Z,,,,,,0,22.7
2017-12-24T01:18:40.538Z,,,,,,0,22.7
2017-12-24T01:18:50.540Z,,,,,,0,22.7
2017-12-24T01:19:00.542Z,,,,,,0,22.7
2017-12-24T01:19:10.538Z,,,,,,0,22.7
2017-12-24T01:19:20.539Z,,,,,,0,22.7
2017-12-24T01:19:30.538Z,,,,,,0,22.6
2017-12-24T01:19:40.539Z,,,,,,0,22.6
2017-12-24T01:19:50.538Z,,,,,,0,22.6
2017-12-24T01:20:00.538Z,,,,,,0,22.6
2017-12-24T01:20:10.538Z,,,,,34.2,0,22.6
2017-12-24T01:20:20.538Z,,,,,,0,22.6
2017-12-24T01:20:30.538Z,,,,,,0,22.6
2017-12-24T01:20:40.538Z,,,,,,0,22.6
2017-12-24T01:20:50.541Z,,,,,,0,22.6
2017-12-24T01:21:00.543Z,,,,,,0,22.6
2017-12-24T01:21:10.538Z,,,,,,0,22.6
2017-12-24T01:21:20.542Z,,,,,,0,22.6
2017-12-24T01:21:30.538Z,,,,,,0,22.6
2017-12-24T01:21:40.539Z,,,,,,0,22.6
2017-12-24T01:21:50.539Z,,,,,,0,22.6
2017-12-24T01:22:00.538Z,,,,,,0,22.6
