Time,HwActive,PrimT,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-11-08T00:42:38.409Z,,,,0,24.2,,
2017-11-08T00:42:48.499Z,,,,0,24.2,,
2017-11-08T00:42:58.408Z,,,,0,24,,
2017-11-08T00:43:08.412Z,,40,,0,24,,
2017-11-08T00:43:18.405Z,,,,0,24,,
2017-11-08T00:43:28.496Z,,,,0,24,,
2017-11-08T00:43:38.407Z,,,,0,24,,
2017-11-08T00:43:48.406Z,,,,0,24,,
2017-11-08T00:43:58.406Z,,,,0,24,,
2017-11-08T00:44:08.411Z,,,,0,24,,
2017-11-08T00:44:18.410Z,,40,,0,24,,
2017-11-08T00:44:28.496Z,,39.9,,0,24,,
2017-11-08T00:44:38.408Z,,40,,0,24,,
2017-11-08T00:44:48.413Z,,39.9,,0,24,,
2017-11-08T00:44:58.409Z,,,,0,24,,
2017-11-08T00:45:08.571Z,,,,0,23.9,,
2017-11-08T00:45:18.411Z,,,,0,24,,
2017-11-08T00:45:28.496Z,,,,0,23.9,,
2017-11-08T00:45:38.407Z,,,,0,23.9,,
2017-11-08T00:45:48.409Z,,,,0,23.9,,
2017-11-08T00:45:58.406Z,,,,0,23.9,,
2017-11-08T00:46:08.411Z,,,,0,23.9,,
2017-11-08T00:46:18.407Z,,39.8,,0,23.9,,
2017-11-08T00:46:28.496Z,,,,0,23.9,,
2017-11-08T00:46:38.407Z,,,,0,23.9,,
2017-11-08T00:46:48.406Z,,,,0,23.9,,
2017-11-08T00:46:58.412Z,,,,0,23.9,,
2017-11-08T00:47:08.418Z,,,,0,23.9,,
2017-11-08T00:47:18.410Z,,,,0,23.9,,
2017-11-08T00:47:28.496Z,,,,0,23.8,,
2017-11-08T00:47:38.409Z,,39.7,,0,23.9,,
2017-11-08T00:47:48.407Z,,,,0,23.8,,
2017-11-08T00:47:58.406Z,,,,0,23.8,,
2017-11-08T00:48:08.418Z,,,,0,23.8,,
2017-11-08T00:48:18.411Z,,,,0,23.8,,
2017-11-08T00:48:28.781Z,,,,0,23.8,,
2017-11-08T00:48:38.407Z,,,,0,23.8,,
2017-11-08T00:48:48.414Z,,,,0,23.8,,
2017-11-08T00:48:58.406Z,,,,0,23.8,,
2017-11-08T00:49:08.407Z,,39.6,,0,23.8,,
2017-11-08T00:49:18.407Z,,,,0,23.8,,
2017-11-08T00:49:28.496Z,,,,0,23.8,,
2017-11-08T00:49:38.413Z,,,,0,23.8,,
2017-11-08T00:49:48.414Z,,,,0,23.8,,
2017-11-08T00:49:58.407Z,,,,0,23.8,,
2017-11-08T00:50:08.414Z,,,,0,23.7,,
2017-11-08T00:50:18.419Z,,,,0,23.8,,
2017-11-08T00:50:28.501Z,,,,0,23.7,,
2017-11-08T00:50:38.414Z,,,,0,23.7,,
2017-11-08T00:50:48.562Z,,39.5,,0,23.7,,
2017-11-08T00:50:58.408Z,,,,0,23.7,,
2017-11-08T00:51:08.407Z,,,,0,23.7,,
2017-11-08T00:51:18.407Z,,,,0,23.7,,
2017-11-08T00:51:28.497Z,,,,0,23.7,,
2017-11-08T00:51:38.407Z,,,,0,23.7,,
2017-11-08T00:51:48.407Z,,,,0,23.7,,
2017-11-08T00:51:58.407Z,,,,0,23.7,,
2017-11-08T00:52:08.408Z,,,,0,23.7,,
2017-11-08T00:52:18.407Z,,,,0,23.7,,
2017-11-08T00:52:28.500Z,,39.4,,0,23.7,,
2017-11-08T00:52:38.407Z,,,,0,23.7,,
2017-11-08T00:52:48.412Z,,,,0,23.7,,
2017-11-08T00:52:58.407Z,,,,0,23.7,,
2017-11-08T00:53:08.407Z,,,,0,23.6,,
2017-11-08T00:53:18.408Z,,,,0,23.6,,
2017-11-08T00:53:28.501Z,,,,0,23.6,,
2017-11-08T00:53:38.410Z,,,,0,23.6,,
2017-11-08T00:53:48.408Z,,39.3,,0,23.6,,
2017-11-08T00:53:58.410Z,,,,0,23.6,,
