Time,HwTSet,ChActive,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet
2017-11-03T00:39:32.315Z,0,,28.3,,43.7,,
2017-11-03T00:39:42.312Z,0,,28.3,,43.6,,
2017-11-03T00:39:52.317Z,0,,28.3,,43.4,,
2017-11-03T00:40:02.313Z,0,,28.3,,43.2,,
2017-11-03T00:40:12.311Z,0,,28.3,,42.9,,
2017-11-03T00:40:22.312Z,0,,28.3,,42.7,,
2017-11-03T00:40:32.314Z,0,,28.4,,42.4,,
2017-11-03T00:40:42.313Z,0,,28.4,,42.1,,
2017-11-03T00:40:52.311Z,0,,28.4,,41.9,,
2017-11-03T00:41:02.312Z,0,,28.4,,41.8,,
2017-11-03T00:41:12.421Z,0,,28.4,,41.7,,
2017-11-03T00:41:22.312Z,0,,28.4,,41.6,,
2017-11-03T00:41:32.312Z,0,,28.4,,41.5,,
2017-11-03T00:41:42.312Z,0,,28.4,,41.4,,
2017-11-03T00:41:52.320Z,0,,28.4,,41.3,,
2017-11-03T00:42:02.311Z,0,,28.4,,41.1,,
2017-11-03T00:42:12.313Z,0,,28.5,,40.9,,
2017-11-03T00:42:22.316Z,0,,28.5,,,,
2017-11-03T00:42:32.317Z,0,,28.5,,40.7,,
2017-11-03T00:42:42.322Z,0,,28.5,,40.6,,
2017-11-03T00:42:52.316Z,0,,28.5,,40.4,,
2017-11-03T00:43:02.316Z,0,,28.5,,40.3,,
2017-11-03T00:43:12.311Z,0,,28.5,,40.2,,
2017-11-03T00:43:22.314Z,0,,28.5,,40,,
2017-11-03T00:43:32.312Z,0,,28.5,,39.9,,
2017-11-03T00:43:42.314Z,0,,28.5,,39.8,,
2017-11-03T00:43:52.315Z,0,,28.5,,39.7,,
2017-11-03T00:44:02.313Z,0,,28.5,,39.6,,
2017-11-03T00:44:12.313Z,0,,28.5,,39.4,,
2017-11-03T00:44:22.317Z,0,,28.5,,39.3,,
2017-11-03T00:44:32.312Z,0,,28.5,,39.2,,
2017-11-03T00:44:42.312Z,0,,28.5,,39.1,,
2017-11-03T00:44:52.318Z,0,1,28.6,43,41,0,
2017-11-03T00:45:02.312Z,0,,28.6,33,45,,
2017-11-03T00:45:12.312Z,0,,28.6,30,45.8,,
2017-11-03T00:45:22.312Z,0,,28.6,29,46,,
2017-11-03T00:45:32.312Z,0,,28.6,,46.1,,
2017-11-03T00:45:42.319Z,0,,28.6,,46.2,,
2017-11-03T00:45:52.315Z,0,,28.6,30,,,
2017-11-03T00:46:02.316Z,0,,28.6,,,,
2017-11-03T00:46:12.312Z,0,,28.6,,46.3,,
2017-11-03T00:46:22.312Z,0,,28.6,,46.4,,
2017-11-03T00:46:32.312Z,0,,28.6,,46.5,,
2017-11-03T00:46:42.313Z,0,,28.6,,46.6,,
2017-11-03T00:46:52.312Z,0,,28.6,,47,,
2017-11-03T00:47:02.558Z,0,,28.6,29,47.1,,
2017-11-03T00:47:12.314Z,0,,28.6,30,47.3,,
2017-11-03T00:47:22.313Z,0,,28.6,30,48,,
2017-11-03T00:47:32.313Z,0,,28.6,29,48.2,,
2017-11-03T00:47:42.312Z,0,,28.7,30,48.7,,
2017-11-03T00:47:52.317Z,0,1,28.7,0,47.9,0,
2017-11-03T00:48:02.313Z,0,,28.7,,44.8,,
2017-11-03T00:48:12.315Z,0,,28.7,,43.9,,
2017-11-03T00:48:22.317Z,0,,28.7,,43.6,,
2017-11-03T00:48:32.312Z,0,,28.7,,43.5,,
2017-11-03T00:48:42.314Z,0,,28.7,,,,
2017-11-03T00:48:52.313Z,0,,28.7,,43.7,,
2017-11-03T00:49:02.316Z,0,,28.7,,43.8,,
2017-11-03T00:49:12.313Z,0,,28.7,,,,
2017-11-03T00:49:22.316Z,0,,28.7,,43.9,,
2017-11-03T00:49:32.313Z,0,,28.7,,,,
2017-11-03T00:49:42.313Z,0,,28.9,,43.8,,
2017-11-03T00:49:52.318Z,0,,28.9,,43.7,,
2017-11-03T00:50:02.313Z,0,,28.9,,43.5,,
2017-11-03T00:50:12.313Z,0,,28.9,,43.4,,
2017-11-03T00:50:22.313Z,0,,28.9,,43.2,,
2017-11-03T00:50:32.313Z,0,,28.9,,42.9,,
2017-11-03T00:50:42.320Z,0,,28.9,,42.7,,
2017-11-03T00:50:52.322Z,0,,28.9,,42.3,,
2017-11-03T00:51:02.318Z,0,,28.9,,42.2,,
2017-11-03T00:51:12.314Z,0,,28.9,,42,,
2017-11-03T00:51:22.315Z,0,,29,,41.9,,
2017-11-03T00:51:32.315Z,0,,29,,41.8,,
2017-11-03T00:51:42.323Z,0,,29,,41.7,,
2017-11-03T00:51:52.314Z,0,,29,,41.6,,
2017-11-03T00:52:02.320Z,0,,29,,41.5,,
2017-11-03T00:52:12.330Z,0,,29,,41.4,,
2017-11-03T00:52:22.314Z,0,,29,,41.3,,
2017-11-03T00:52:32.553Z,0,,29,,41.2,,
2017-11-03T00:52:42.315Z,0,,29,,41.1,,
2017-11-03T00:52:52.314Z,0,,29,,40.9,,
2017-11-03T00:53:02.321Z,0,,29,,40.8,,
2017-11-03T00:53:12.316Z,0,,29,,40.7,,
2017-11-03T00:53:22.315Z,0,,29,,40.5,,
2017-11-03T00:53:32.561Z,0,,29,,40.4,,
2017-11-03T00:53:42.314Z,0,,29,,40.3,,
2017-11-03T00:53:52.320Z,0,,29,,40.2,,
2017-11-03T00:54:02.313Z,0,,29,,40.1,,
2017-11-03T00:54:12.319Z,0,,29,,39.9,,
2017-11-03T00:54:22.315Z,0,,29,,,,
2017-11-03T00:54:32.317Z,0,,29,,39.8,,
2017-11-03T00:54:42.315Z,0,,29,,39.7,,
2017-11-03T00:54:52.314Z,0,,29,,39.6,,
2017-11-03T00:55:02.316Z,0,,29,,39.5,,
2017-11-03T00:55:12.319Z,0,,29,,39.3,,
2017-11-03T00:55:22.315Z,0,,29,,39.2,,
2017-11-03T00:55:32.316Z,0,,29,,39.1,,
2017-11-03T00:55:42.314Z,0,1,29.1,,39.1,0,
2017-11-03T00:55:52.317Z,0,,29,36,44.3,,
2017-11-03T00:56:02.316Z,0,1,29,30,45.7,0,45
2017-11-03T00:56:12.315Z,0,,29,30,46.1,,
2017-11-03T00:56:22.315Z,0,,29.1,,46.3,,
2017-11-03T00:56:32.315Z,0,,29.1,29,46.4,,
2017-11-03T00:56:42.314Z,0,,29.1,30,,,
2017-11-03T00:56:52.314Z,0,,29.1,29,,,
2017-11-03T00:57:02.317Z,0,,29,,,,
2017-11-03T00:57:12.314Z,0,,29.1,,46.5,,
2017-11-03T00:57:22.321Z,0,,29.1,,46.6,,
2017-11-03T00:57:32.314Z,0,,29.1,,46.8,,
2017-11-03T00:57:42.318Z,0,,29.1,30,47,,
2017-11-03T00:57:52.318Z,0,,29.1,29,47.2,,
2017-11-03T00:58:02.314Z,0,,29.1,30,47.3,,
2017-11-03T00:58:12.319Z,0,,29.1,,47.8,,
2017-11-03T00:58:22.316Z,0,,29.1,30,48.2,,
2017-11-03T00:58:32.323Z,0,,29.1,,48.7,,
2017-11-03T00:58:42.315Z,0,1,29.1,0,47.6,0,
2017-11-03T00:58:52.315Z,0,,29.1,,44.8,,
2017-11-03T00:59:02.541Z,0,,29.1,,43.9,,
2017-11-03T00:59:12.325Z,0,,29.1,,43.7,,
2017-11-03T00:59:22.316Z,0,,29.1,,43.5,,
2017-11-03T00:59:32.317Z,0,,29.1,,43.6,,
2017-11-03T00:59:42.318Z,0,,29.1,,43.7,,
2017-11-03T00:59:52.315Z,0,,29.1,,43.9,,
2017-11-03T01:00:02.316Z,0,,29.2,,44,,
2017-11-03T01:00:12.316Z,0,,29.2,,,,
2017-11-03T01:00:22.317Z,0,0,29.2,,,0,5
