Time,PrimTSet,PrimT,HwActive,ChActive,HwTSet,ActPow,HwTOutlet
2017-11-06T01:06:06.993Z,,,,,0,,24
2017-11-06T01:06:16.983Z,,,,,0,,24
2017-11-06T01:06:26.988Z,,,,,0,,24
2017-11-06T01:06:36.985Z,,,,,0,,24
2017-11-06T01:06:46.984Z,,,,,0,,24
2017-11-06T01:06:56.983Z,,,,,0,,24
2017-11-06T01:07:06.993Z,,40.8,,,0,,24
2017-11-06T01:07:16.988Z,,,,,0,,23.9
2017-11-06T01:07:26.984Z,,,,,0,,23.9
2017-11-06T01:07:36.984Z,,,,,0,,23.9
2017-11-06T01:07:46.984Z,,,,,0,,23.9
2017-11-06T01:07:56.987Z,,,,,0,,23.9
2017-11-06T01:08:06.987Z,,,,,0,,23.9
2017-11-06T01:08:16.984Z,,,,,0,,23.9
2017-11-06T01:08:26.988Z,,,,,0,,23.9
2017-11-06T01:08:36.988Z,,40.7,,,0,,23.9
2017-11-06T01:08:46.984Z,,,,,0,,23.9
2017-11-06T01:08:56.985Z,,,,,0,,23.9
2017-11-06T01:09:06.984Z,,,,,0,,23.9
2017-11-06T01:09:16.991Z,,,,,0,,23.9
2017-11-06T01:09:26.984Z,,,,,0,,23.8
2017-11-06T01:09:36.984Z,,,,,0,,23.8
2017-11-06T01:09:46.986Z,,,,,0,,23.8
2017-11-06T01:09:56.985Z,,,,,0,,23.8
2017-11-06T01:10:06.990Z,,40.6,,,0,,23.8
2017-11-06T01:10:16.985Z,,,,,0,,23.8
2017-11-06T01:10:26.988Z,,,,,0,,23.8
2017-11-06T01:10:36.984Z,,,,,0,,23.8
2017-11-06T01:10:46.984Z,,,,,0,,23.8
2017-11-06T01:10:56.985Z,,,,,0,,23.8
2017-11-06T01:11:06.985Z,,,,,0,,23.8
2017-11-06T01:11:16.985Z,,,,,0,,23.8
2017-11-06T01:11:27.002Z,,40.5,,,0,,23.8
2017-11-06T01:11:36.985Z,,,,,0,,23.8
2017-11-06T01:11:47.004Z,,,,,0,,23.7
2017-11-06T01:11:56.985Z,,,,,0,,23.8
2017-11-06T01:12:06.998Z,,,,,0,,23.7
2017-11-06T01:12:16.985Z,,,,,0,,23.7
2017-11-06T01:12:26.993Z,,,,,0,,23.7
2017-11-06T01:12:36.987Z,,,,,0,,23.7
2017-11-06T01:12:46.997Z,,,,,0,,23.7
2017-11-06T01:12:56.986Z,,,,,0,,23.7
2017-11-06T01:13:06.988Z,,40.4,,,0,,23.7
2017-11-06T01:13:16.985Z,,,,,0,,23.7
2017-11-06T01:13:26.990Z,,,,,0,,23.7
2017-11-06T01:13:36.985Z,,,,,0,,23.7
2017-11-06T01:13:47.001Z,,,,,0,,23.7
2017-11-06T01:13:56.987Z,,,,,0,,23.7
2017-11-06T01:14:07.002Z,,,,,0,,23.7
2017-11-06T01:14:16.986Z,,40.3,,,0,,23.7
2017-11-06T01:14:26.992Z,,,,,0,,23.6
2017-11-06T01:14:36.988Z,,,,,0,,23.6
2017-11-06T01:14:46.990Z,,,,,0,,23.6
2017-11-06T01:14:57.004Z,,,,,0,,23.6
2017-11-06T01:15:06.994Z,,,,,0,,23.6
2017-11-06T01:15:16.988Z,,,,,0,,23.6
2017-11-06T01:15:26.986Z,,,,,0,,23.6
2017-11-06T01:15:36.985Z,,,,,0,,23.6
2017-11-06T01:15:46.986Z,,,,,0,,23.6
2017-11-06T01:15:56.986Z,,40.2,,,0,,23.6
2017-11-06T01:16:06.989Z,,,,,0,,23.6
2017-11-06T01:16:16.985Z,,,,,0,,23.6
2017-11-06T01:16:26.991Z,,,,,0,,23.6
2017-11-06T01:16:36.985Z,,,,,0,,23.6
2017-11-06T01:16:46.988Z,,,,,0,,23.6
2017-11-06T01:16:56.986Z,,,,,0,,23.4
2017-11-06T01:17:06.987Z,,,,,0,,23.4
2017-11-06T01:17:16.986Z,,,,,0,,23.4
2017-11-06T01:17:26.991Z,,40.1,,,0,,23.4
2017-11-06T01:17:36.985Z,,,,,0,,23.4
2017-11-06T01:17:46.985Z,,,,,0,,23.4
2017-11-06T01:17:56.986Z,,,,,0,,23.4
2017-11-06T01:18:06.988Z,,,,,0,,23.4
2017-11-06T01:18:16.986Z,,,,,0,,23.4
2017-11-06T01:18:26.990Z,,,,,0,,23.4
2017-11-06T01:18:36.986Z,,,,,0,,23.4
2017-11-06T01:18:46.989Z,,,,,0,,23.4
2017-11-06T01:18:56.986Z,,40,,,0,,23.4
2017-11-06T01:19:07.185Z,,,,,0,,23.4
2017-11-06T01:19:16.990Z,,,,,0,,23.4
2017-11-06T01:19:26.987Z,,,,,0,,23.4
2017-11-06T01:19:37.018Z,,,,,0,,23.4
2017-11-06T01:19:46.990Z,,,,,0,,23.3
2017-11-06T01:19:56.987Z,,,,,0,,23.3
2017-11-06T01:20:06.986Z,,,,,0,,23.3
2017-11-06T01:20:16.986Z,,,,,0,,23.3
2017-11-06T01:20:26.986Z,,40,,,0,,23.3
2017-11-06T01:20:36.989Z,,39.9,,,0,,23.3
2017-11-06T01:20:46.987Z,,,,,0,,23.3
2017-11-06T01:20:56.986Z,,,,,0,,23.3
2017-11-06T01:21:06.986Z,,,,,0,,23.3
2017-11-06T01:21:16.986Z,,,,,0,,23.3
2017-11-06T01:21:26.987Z,,,,,0,,23.3
2017-11-06T01:21:37.191Z,,,,,0,,23.3
