Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T00:49:36.241Z,,,,,0,,32
2017-11-25T00:49:46.242Z,,,,,0,,32
2017-11-25T00:49:56.318Z,,,,48.6,0,,32
2017-11-25T00:50:06.238Z,,,,,0,,32
2017-11-25T00:50:16.238Z,,,,,0,,32
2017-11-25T00:50:26.238Z,,,,,0,,32
2017-11-25T00:50:36.241Z,,,,,0,,32
2017-11-25T00:50:46.238Z,,,,,0,,31.9
2017-11-25T00:50:56.319Z,,,,48.5,0,,31.9
2017-11-25T00:51:06.238Z,,,,,0,,31.9
2017-11-25T00:51:16.239Z,,,,,0,,31.9
2017-11-25T00:51:26.240Z,,,,,0,,31.9
2017-11-25T00:51:36.239Z,,,,48.4,0,,31.9
2017-11-25T00:51:46.238Z,,,,,0,,31.9
2017-11-25T00:51:56.329Z,,,,,0,,31.9
2017-11-25T00:52:06.238Z,,,,,0,,31.8
2017-11-25T00:52:16.243Z,,,,48.3,0,,31.8
2017-11-25T00:52:26.241Z,,,,,0,,31.8
2017-11-25T00:52:36.246Z,,,,,0,,31.8
2017-11-25T00:52:46.238Z,,,,,0,,31.8
2017-11-25T00:52:56.318Z,,,,,0,,31.8
2017-11-25T00:53:06.239Z,,,,48.2,0,,31.8
2017-11-25T00:53:16.238Z,,,,,0,,31.8
2017-11-25T00:53:26.246Z,,,,,0,,31.6
2017-11-25T00:53:36.239Z,,,,,0,,31.6
2017-11-25T00:53:46.239Z,,,,48.1,0,,31.6
2017-11-25T00:53:56.320Z,,,,,0,,31.6
2017-11-25T00:54:06.239Z,,,,,0,,31.6
2017-11-25T00:54:16.242Z,,,,,0,,31.6
2017-11-25T00:54:26.239Z,,,,,0,,31.6
2017-11-25T00:54:36.239Z,,,,48,0,,31.6
2017-11-25T00:54:46.239Z,,,,,0,,31.6
2017-11-25T00:54:56.321Z,,,,,0,,31.5
2017-11-25T00:55:06.239Z,,,,,0,,31.5
2017-11-25T00:55:16.239Z,,,,47.9,0,,31.5
2017-11-25T00:55:26.239Z,,,,47.9,0,,31.5
2017-11-25T00:55:36.239Z,,,,,0,,31.5
2017-11-25T00:55:46.240Z,,,,,0,,31.5
2017-11-25T00:55:56.331Z,,,,,0,,31.5
2017-11-25T00:56:06.239Z,,,,,0,,31.5
2017-11-25T00:56:16.239Z,,,,47.8,0,,31.4
2017-11-25T00:56:26.240Z,,,,,0,,31.4
2017-11-25T00:56:36.240Z,,,,,0,,31.4
2017-11-25T00:56:46.239Z,,,,,0,,31.4
2017-11-25T00:56:56.320Z,,,,,0,,31.4
2017-11-25T00:57:06.240Z,,,,47.7,0,,31.4
2017-11-25T00:57:16.239Z,,,,,0,,31.4
2017-11-25T00:57:26.241Z,,,,,0,,31.4
2017-11-25T00:57:36.246Z,,,,,0,,31.3
2017-11-25T00:57:46.239Z,,,,,0,,31.3
2017-11-25T00:57:56.337Z,,,,47.6,0,,31.3
2017-11-25T00:58:06.239Z,,,,,0,,31.3
2017-11-25T00:58:16.240Z,,,,,0,,31.3
2017-11-25T00:58:26.241Z,,,,,0,,31.3
2017-11-25T00:58:36.240Z,,,,,0,,31.2
2017-11-25T00:58:46.245Z,,,,,0,,31.2
2017-11-25T00:58:56.319Z,,,,47.4,0,,31.2
2017-11-25T00:59:06.240Z,,,,,0,,31.2
2017-11-25T00:59:16.239Z,,,,,0,,31.2
2017-11-25T00:59:26.244Z,,,,,0,,31.2
2017-11-25T00:59:36.240Z,,,,47.3,0,,31.2
2017-11-25T00:59:46.240Z,,,,,0,,31
2017-11-25T00:59:56.320Z,,,,,0,,31
2017-11-25T01:00:06.240Z,,,,,0,,31
2017-11-25T01:00:16.240Z,,,,,0,,31
2017-11-25T01:00:26.240Z,,,,,0,,31
