Time,ActPow,PrimTSet,HwTSet,HwTOutlet,ChActive,PrimT,HwActive
2017-12-29T00:42:22.556Z,,,0,14.8,,,
2017-12-29T00:42:32.556Z,,,0,14.8,,,
2017-12-29T00:42:52.556Z,,,0,14.8,,,
2017-12-29T00:43:02.556Z,,,0,14.8,,,
2017-12-29T00:43:17.646Z,,,0,14.8,,,
2017-12-29T00:43:22.556Z,,,0,14.8,,,
2017-12-29T00:43:32.556Z,,,0,14.8,,,
2017-12-29T00:43:42.556Z,,,0,14.8,,,
2017-12-29T00:43:52.557Z,,,0,14.8,,,
2017-12-29T00:44:02.560Z,,,0,14.8,,,
2017-12-29T00:44:12.556Z,,,0,14.8,,,
2017-12-29T00:44:22.557Z,,,0,14.8,,,
2017-12-29T00:44:32.557Z,,,0,14.8,,,
2017-12-29T00:44:42.557Z,,,0,14.8,,,
2017-12-29T00:44:52.556Z,,,0,14.8,,,
2017-12-29T00:45:02.561Z,,,0,14.8,,,
2017-12-29T00:45:12.556Z,,,0,14.8,,,
2017-12-29T00:45:22.556Z,,,0,14.8,,,
2017-12-29T00:45:42.557Z,,,0,14.8,,,
2017-12-29T00:45:52.556Z,,,0,14.8,,,
2017-12-29T00:46:02.556Z,,,0,14.8,,15.8,
2017-12-29T00:46:12.556Z,,,0,14.8,,15.9,
2017-12-29T00:46:22.556Z,,,0,14.8,,,
2017-12-29T00:46:32.560Z,,,0,14.8,,15.8,
2017-12-29T00:46:42.557Z,,,0,14.8,,,
2017-12-29T00:46:52.558Z,,,0,14.8,,15.9,
2017-12-29T00:47:02.557Z,,,0,14.8,,15.8,
2017-12-29T00:47:12.559Z,,,0,14.8,,,
2017-12-29T00:47:22.557Z,,,0,14.8,,15.9,
2017-12-29T00:47:32.557Z,,,0,14.8,,15.8,
2017-12-29T00:47:42.560Z,,,0,14.8,,,
2017-12-29T00:47:52.558Z,,,0,14.8,,,
2017-12-29T00:48:02.557Z,,,0,14.8,,,
2017-12-29T00:48:12.557Z,,,0,14.8,,,
2017-12-29T00:48:22.557Z,,,0,14.8,,,
2017-12-29T00:48:32.557Z,,,0,14.8,,,
2017-12-29T00:48:42.557Z,,,0,14.8,,,
2017-12-29T00:48:52.557Z,,,0,14.8,,,
2017-12-29T00:49:02.570Z,,,0,14.8,,,
2017-12-29T00:49:12.559Z,,,0,14.8,,,
2017-12-29T00:49:22.569Z,,,0,14.8,,,
2017-12-29T00:49:32.556Z,,,0,14.8,,,
2017-12-29T00:49:42.568Z,,,0,14.8,,,
2017-12-29T00:49:52.557Z,,,0,14.8,,,
2017-12-29T00:50:02.561Z,,,0,14.8,,,
