Time,HwTSet,PrimTSet,ChActive,HwActive,HwTOutlet,ActPow,PrimT
2017-11-18T00:51:57.668Z,0,,,,31.4,,46.8
2017-11-18T00:52:07.638Z,0,,,,31.4,,46.4
2017-11-18T00:52:17.643Z,0,,,,31.4,,46.2
2017-11-18T00:52:27.637Z,0,,,,31.4,,45.9
2017-11-18T00:52:37.634Z,0,,1,0,31.4,42,48.5
2017-11-18T00:52:47.645Z,0,,,,31.4,30,54
2017-11-18T00:52:57.635Z,0,,,,31.4,,55
2017-11-18T00:53:07.633Z,0,,,,31.4,29,55.2
2017-11-18T00:53:17.638Z,0,,,,31.4,30,55.6
2017-11-18T00:53:27.637Z,0,,,,31.4,29,55.7
2017-11-18T00:53:37.646Z,0,,1,0,31.4,0,54.7
2017-11-18T00:53:47.634Z,0,,,,31.4,,49.9
2017-11-18T00:53:57.650Z,0,,,,31.4,,47.9
2017-11-18T00:54:07.634Z,0,,,,31.4,,46.9
2017-11-18T00:54:17.638Z,0,,,,31.4,,46.5
2017-11-18T00:54:27.635Z,0,,,,31.4,,46.1
2017-11-18T00:54:37.639Z,0,,,,31.4,,46
2017-11-18T00:54:47.634Z,0,,,,31.4,,46.1
2017-11-18T00:54:57.637Z,0,,,,31.4,,46.4
2017-11-18T00:55:07.634Z,0,,,,31.5,,46.8
2017-11-18T00:55:17.635Z,0,,,,31.4,,47
2017-11-18T00:55:27.634Z,0,,,,31.4,,47.2
2017-11-18T00:55:37.644Z,0,,,,31.5,,47.4
2017-11-18T00:55:47.633Z,0,,,,31.5,,
2017-11-18T00:55:57.635Z,0,,,,31.5,,46.9
2017-11-18T00:56:07.634Z,0,,,,31.5,,46.6
2017-11-18T00:56:17.638Z,0,,,,31.5,,45.9
2017-11-18T00:56:27.638Z,0,,,,31.5,,45.6
2017-11-18T00:56:37.640Z,0,,,,31.5,,45.3
2017-11-18T00:56:47.634Z,0,,,,31.5,,44.9
2017-11-18T00:56:57.640Z,0,,,,31.5,,44.8
2017-11-18T00:57:07.634Z,0,,,,31.5,,44.7
2017-11-18T00:57:17.639Z,0,,,,31.5,,44.6
2017-11-18T00:57:27.634Z,0,,,,31.5,,44.5
2017-11-18T00:57:37.636Z,0,,1,0,31.5,42,47.1
2017-11-18T00:57:47.634Z,0,,,,31.5,30,52.2
2017-11-18T00:57:57.637Z,0,,,,31.5,29,53
2017-11-18T00:58:07.635Z,0,,,,31.5,,53.5
2017-11-18T00:58:17.637Z,0,,,,31.5,30,54
2017-11-18T00:58:27.635Z,0,,,,31.5,29,54.1
2017-11-18T00:58:37.634Z,0,,,,31.5,30,
2017-11-18T00:58:47.655Z,0,,,,31.5,,
2017-11-18T00:58:57.636Z,0,,,,31.5,29,54.3
2017-11-18T00:59:07.635Z,0,,,,31.5,30,54.6
2017-11-18T00:59:17.634Z,0,,,,31.5,29,54.9
2017-11-18T00:59:27.645Z,0,,,,31.5,29,55
2017-11-18T00:59:37.634Z,0,,,,31.5,30,55.2
2017-11-18T00:59:47.636Z,0,,,,31.5,29,55.5
2017-11-18T00:59:57.635Z,0,,1,0,31.5,0,53.9
2017-11-18T01:00:07.635Z,0,,,,31.5,,50.7
2017-11-18T01:00:17.635Z,0,,,,31.5,,49.9
2017-11-18T01:00:27.635Z,0,,,,31.5,,48.9
2017-11-18T01:00:37.634Z,0,,,,31.5,,48.6
2017-11-18T01:00:47.634Z,0,,,,31.5,,48.5
2017-11-18T01:00:57.634Z,0,,,,31.5,,48.6
2017-11-18T01:01:07.636Z,0,,,,31.5,,48.7
2017-11-18T01:01:17.638Z,0,,,,31.5,,48.8
2017-11-18T01:01:27.656Z,0,,,,31.5,,
2017-11-18T01:01:37.638Z,0,,,,31.5,,
2017-11-18T01:01:47.634Z,0,,,,31.5,,48.7
2017-11-18T01:01:57.634Z,0,,,,31.5,,
2017-11-18T01:02:07.635Z,0,,,,31.5,,48.4
2017-11-18T01:02:17.638Z,0,,,,31.5,,47.9
2017-11-18T01:02:27.635Z,0,,,,31.5,,47.6
2017-11-18T01:02:37.635Z,0,,,,31.5,,46.9
2017-11-18T01:02:47.635Z,0,,,,31.5,,46.7
2017-11-18T01:02:57.635Z,0,,,,31.5,,46.3
2017-11-18T01:03:07.635Z,0,,,,31.6,,45.9
2017-11-18T01:03:17.636Z,0,,1,0,31.5,40,49.6
2017-11-18T01:03:27.635Z,0,,,,31.5,31,53.2
2017-11-18T01:03:37.635Z,0,,,,31.6,30,54
2017-11-18T01:03:47.635Z,0,,,,31.6,,54.7
2017-11-18T01:03:57.638Z,0,,,,31.6,,55
2017-11-18T01:04:07.635Z,0,,,,31.6,,
2017-11-18T01:04:17.635Z,0,,,,31.6,30,55
2017-11-18T01:04:27.639Z,0,,,,31.6,29,54.9
2017-11-18T01:04:37.636Z,0,,,,31.6,29,55
2017-11-18T01:04:47.639Z,0,,,,31.6,30,55.1
2017-11-18T01:04:57.650Z,0,,,,31.6,29,
2017-11-18T01:05:07.640Z,0,,,,31.6,30,55.3
2017-11-18T01:05:17.639Z,0,,,,31.6,29,
2017-11-18T01:05:27.636Z,0,,1,0,31.6,0,56.1
2017-11-18T01:05:37.639Z,0,,,,31.6,,51.9
2017-11-18T01:05:47.638Z,0,,,,31.6,,49.9
2017-11-18T01:05:57.650Z,0,,,,31.6,,48.9
2017-11-18T01:06:07.637Z,0,,,,31.6,,48.6
2017-11-18T01:06:17.636Z,0,,,,31.6,,48.3
2017-11-18T01:06:27.636Z,0,,,,31.6,,
2017-11-18T01:06:37.635Z,0,,,,31.6,,
2017-11-18T01:06:47.638Z,0,,,,31.6,,48.4
2017-11-18T01:06:57.635Z,0,,,,31.6,,48.3
2017-11-18T01:07:07.643Z,0,,,,31.6,,48.2
2017-11-18T01:07:17.636Z,0,,,,31.6,,48.1
2017-11-18T01:07:27.637Z,0,,,,31.6,,47.9
2017-11-18T01:07:37.766Z,0,,,,31.6,,47.7
2017-11-18T01:07:47.643Z,0,,,,31.6,,46.9
2017-11-18T01:07:57.641Z,0,,,,31.6,,46.8
2017-11-18T01:08:07.639Z,0,,,,31.6,,45.9
2017-11-18T01:08:17.639Z,0,,1,0,31.8,42,48.7
2017-11-18T01:08:27.704Z,0,,,,31.8,30,53.1
2017-11-18T01:08:37.638Z,0,,,,31.8,29,53.5
2017-11-18T01:08:47.639Z,0,,,,31.8,29,54.1
2017-11-18T01:08:57.640Z,0,,,,31.8,,54.5
2017-11-18T01:09:07.639Z,0,,,,31.8,,54.6
2017-11-18T01:09:17.818Z,0,,,,31.8,,
2017-11-18T01:09:27.643Z,0,,,,31.8,,
2017-11-18T01:09:37.639Z,0,,,,31.8,,54.7
2017-11-18T01:09:47.645Z,0,,,,31.8,,55
2017-11-18T01:09:57.642Z,0,,,,31.8,30,
2017-11-18T01:10:07.646Z,0,,,,31.8,29,55.4
2017-11-18T01:10:17.637Z,0,,,,31.8,,55.5
2017-11-18T01:10:27.644Z,0,,1,0,31.8,0,54.7
2017-11-18T01:10:37.639Z,0,,,,31.8,,50.9
2017-11-18T01:10:47.653Z,0,,,,31.8,,49.8
2017-11-18T01:10:57.641Z,0,,,,31.8,,48.9
2017-11-18T01:11:07.640Z,0,,,,31.8,,48.7
2017-11-18T01:11:17.636Z,0,,,,31.8,,48.6
2017-11-18T01:11:27.642Z,0,,,,31.8,,
2017-11-18T01:11:37.637Z,0,,,,31.8,,48.7
2017-11-18T01:11:47.640Z,0,,,,31.8,,48.8
2017-11-18T01:11:57.643Z,0,,,,31.8,,48.7
2017-11-18T01:12:07.647Z,0,,,,31.8,,48.6
2017-11-18T01:12:17.645Z,0,,,,31.8,,48.5
2017-11-18T01:12:27.644Z,0,,,,31.8,,48.4
2017-11-18T01:12:37.645Z,0,,,,31.8,,47.9
2017-11-18T01:12:47.640Z,0,,,,31.8,,47.8
2017-11-18T01:12:57.640Z,0,,,,31.8,,46.9
2017-11-18T01:13:07.678Z,0,,,,31.8,,
2017-11-18T01:13:17.643Z,0,,,,31.8,,46.5
2017-11-18T01:13:27.644Z,0,,,,31.8,,46.3
2017-11-18T01:13:37.637Z,0,,,,31.8,,46.1
2017-11-18T01:13:47.649Z,0,,1,0,31.8,45,46
2017-11-18T01:13:57.652Z,0,,,,31.8,31,53
2017-11-18T01:14:07.643Z,0,,,,31.8,30,54
2017-11-18T01:14:17.637Z,0,,,,31.8,29,54.6
2017-11-18T01:14:27.663Z,0,,,,31.8,30,54.8
2017-11-18T01:14:37.644Z,0,,,,31.8,29,55
2017-11-18T01:14:47.640Z,0,,,,31.8,30,
2017-11-18T01:14:57.641Z,0,,,,31.8,,
2017-11-18T01:15:07.648Z,0,,,,31.8,29,55.1
2017-11-18T01:15:17.637Z,0,,,,31.8,30,55.3
2017-11-18T01:15:27.641Z,0,,,,31.8,29,55.5
2017-11-18T01:15:37.637Z,0,,,,31.8,,55.6
2017-11-18T01:15:47.652Z,0,,1,0,31.8,0,55.7
2017-11-18T01:15:57.644Z,0,,,,31.8,,51.8
