Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2017-11-15T00:43:16.923Z,0,26.3,46.6,,,,
2017-11-15T00:43:26.924Z,0,26.5,46.7,,,,
2017-11-15T00:43:36.923Z,0,26.5,46.6,,,,
2017-11-15T00:43:46.923Z,0,26.6,46.5,,,,
2017-11-15T00:43:56.923Z,0,26.6,46.3,,,,
2017-11-15T00:44:06.923Z,0,26.7,46.1,,,,
2017-11-15T00:44:16.923Z,0,26.7,,,,,
2017-11-15T00:44:26.924Z,0,26.8,45.8,,,,
2017-11-15T00:44:36.923Z,0,26.8,45.5,,,,
2017-11-15T00:44:46.926Z,0,26.9,45.2,,,,
2017-11-15T00:44:56.924Z,0,26.9,44.9,,,,
2017-11-15T00:45:06.924Z,0,27.1,44.8,,,,
2017-11-15T00:45:16.927Z,0,27.1,44.7,,,,
2017-11-15T00:45:26.923Z,0,27.1,44.6,,,,
2017-11-15T00:45:36.924Z,0,27.2,44.4,,,,
2017-11-15T00:45:47.067Z,0,27.2,44.3,,,,
2017-11-15T00:45:56.924Z,0,27.2,44.2,,,,
2017-11-15T00:46:06.924Z,0,27.3,44.1,,,,
2017-11-15T00:46:16.924Z,0,27.3,44,,,,
2017-11-15T00:46:26.924Z,0,27.4,43.9,,,,
2017-11-15T00:46:36.924Z,0,27.4,43.7,,,,
2017-11-15T00:46:46.924Z,0,27.4,43.6,,,,
2017-11-15T00:46:56.925Z,0,27.5,43.4,,,,
2017-11-15T00:47:06.924Z,0,27.5,43.3,,,,
2017-11-15T00:47:16.925Z,0,27.5,43.2,,,,
2017-11-15T00:47:26.927Z,0,27.7,42.9,,,,
2017-11-15T00:47:37.053Z,0,27.7,,,,,
2017-11-15T00:47:46.926Z,0,27.7,42.8,,,,
2017-11-15T00:47:56.924Z,0,27.7,42.6,,,,
2017-11-15T00:48:06.924Z,0,27.8,42.4,,,,
2017-11-15T00:48:16.929Z,0,27.8,42.3,,,,
2017-11-15T00:48:26.925Z,0,27.8,42.2,,,,
2017-11-15T00:48:36.926Z,0,27.9,42,,,,
2017-11-15T00:48:46.928Z,0,27.9,43.1,1,44,,0
2017-11-15T00:48:56.925Z,0,27.9,48,,33,,
2017-11-15T00:49:06.927Z,0,27.9,48.7,,29,,
2017-11-15T00:49:16.929Z,0,28,49,,,,
2017-11-15T00:49:26.928Z,0,28,49.1,,30,,
2017-11-15T00:49:36.924Z,0,28,49.2,,29,,
2017-11-15T00:49:46.926Z,0,28,,,,,
2017-11-15T00:49:56.925Z,0,28.1,,,,,
2017-11-15T00:50:06.926Z,0,28.1,49.3,,30,,
2017-11-15T00:50:16.925Z,0,28.1,49.4,,,,
2017-11-15T00:50:26.929Z,0,28.1,49.5,,,,
2017-11-15T00:50:36.925Z,0,28.3,49.7,,29,,
2017-11-15T00:50:46.925Z,0,28.3,50,,30,,
2017-11-15T00:50:56.930Z,0,28.3,50.3,,29,,
2017-11-15T00:51:06.925Z,0,28.4,50.5,,,,
2017-11-15T00:51:16.929Z,0,28.4,50.6,,30,,
2017-11-15T00:51:26.925Z,0,28.4,51,,30,,
2017-11-15T00:51:36.928Z,0,28.4,51.3,,29,,
2017-11-15T00:51:46.928Z,0,28.5,51.7,,30,,
2017-11-15T00:51:56.925Z,0,28.5,50.5,1,0,,0
2017-11-15T00:52:06.926Z,0,28.5,47.9,,,,
2017-11-15T00:52:16.926Z,0,28.6,46.9,,,,
2017-11-15T00:52:26.925Z,0,28.6,46.6,,,,
2017-11-15T00:52:36.929Z,0,28.6,46.4,,,,
2017-11-15T00:52:46.925Z,0,28.6,46.5,,,,
2017-11-15T00:52:56.929Z,0,28.7,46.6,,,,
2017-11-15T00:53:06.928Z,0,28.7,46.7,,,,
2017-11-15T00:53:16.925Z,0,28.7,46.8,,,,
2017-11-15T00:53:26.927Z,0,28.7,,,,,
2017-11-15T00:53:36.930Z,0,28.9,,,,,
2017-11-15T00:53:46.928Z,0,28.9,46.7,,,,
2017-11-15T00:53:57.104Z,0,28.9,46.5,,,,
2017-11-15T00:54:06.925Z,0,29,46.3,,,,
2017-11-15T00:54:16.931Z,0,29,46.2,,,,
2017-11-15T00:54:26.930Z,0,29,45.9,,,49,
2017-11-15T00:54:36.926Z,0,29,45.8,,,,
2017-11-15T00:54:46.931Z,0,29.1,45.6,,,,
2017-11-15T00:54:56.928Z,0,29.1,45.3,,,,
2017-11-15T00:55:06.926Z,0,29.1,45.1,,,,
2017-11-15T00:55:16.926Z,0,29.1,44.9,,,,
2017-11-15T00:55:26.925Z,0,29.2,44.8,,,,
2017-11-15T00:55:36.926Z,0,29.2,44.7,,,,
2017-11-15T00:55:46.932Z,0,29.2,44.6,,,,
2017-11-15T00:55:56.929Z,0,29.2,44.5,,,,
2017-11-15T00:56:06.926Z,0,29.2,44.4,,,,
2017-11-15T00:56:16.930Z,0,29.3,44.3,,,,
2017-11-15T00:56:26.930Z,0,29.3,44.1,,,,
2017-11-15T00:56:36.925Z,0,29.3,43.9,,,,
2017-11-15T00:56:47.048Z,0,29.3,,,,,
2017-11-15T00:56:57.091Z,0,29.3,43.7,,,,
2017-11-15T00:57:06.926Z,0,29.5,43.6,,,,
2017-11-15T00:57:16.926Z,0,29.5,43.5,,,,
2017-11-15T00:57:26.930Z,0,29.5,43.3,,,,
2017-11-15T00:57:36.926Z,0,29.5,43.2,,,,
2017-11-15T00:57:46.927Z,0,29.5,43.1,,,,
2017-11-15T00:57:56.927Z,0,29.5,43.1,1,45,,0
2017-11-15T00:58:06.939Z,0,29.5,48.1,,35,,
2017-11-15T00:58:16.932Z,0,29.6,49.1,,30,,
2017-11-15T00:58:26.926Z,0,29.6,49.6,,29,,
2017-11-15T00:58:36.926Z,0,29.6,49.7,,30,,
2017-11-15T00:58:47.092Z,0,29.6,49.8,,,,
2017-11-15T00:58:56.926Z,0,29.6,,,,,
2017-11-15T00:59:06.926Z,0,29.7,,,,,
2017-11-15T00:59:16.928Z,0,29.7,,,,,
2017-11-15T00:59:26.928Z,0,29.7,,,,,
2017-11-15T00:59:36.933Z,0,29.7,50,,,,
2017-11-15T00:59:46.927Z,0,29.7,,,29,,
2017-11-15T00:59:56.932Z,0,29.7,50.3,,,,
2017-11-15T01:00:06.963Z,0,29.7,50.5,,,,
2017-11-15T01:00:16.927Z,0,29.8,50.7,,30,,
2017-11-15T01:00:26.926Z,0,29.8,51,,30,,
2017-11-15T01:00:36.926Z,0,29.8,51.3,,29,,
2017-11-15T01:00:46.926Z,0,29.8,51.8,,,,
2017-11-15T01:00:56.933Z,0,29.8,52.2,,,,
2017-11-15T01:01:06.927Z,0,29.8,52.6,,,,
2017-11-15T01:01:16.927Z,0,30,52.9,1,0,,0
2017-11-15T01:01:26.927Z,0,30,49.7,,,,
2017-11-15T01:01:36.930Z,0,30,48.7,,,,
2017-11-15T01:01:46.927Z,0,30,47.4,,,,
2017-11-15T01:01:56.942Z,0,30,47.2,,,,
2017-11-15T01:02:06.927Z,0,30.1,47.1,,,,
2017-11-15T01:02:16.927Z,0,30.1,47.2,,,,
2017-11-15T01:02:26.927Z,0,30.1,47.4,,,,
2017-11-15T01:02:36.927Z,0,30.1,47.6,,,,
2017-11-15T01:02:46.927Z,0,30.1,,,,,
2017-11-15T01:02:56.928Z,0,30.2,47.7,,,,
2017-11-15T01:03:07.085Z,0,30.2,47.6,,,,
2017-11-15T01:03:16.930Z,0,30.2,47.4,,,,
2017-11-15T01:03:26.928Z,0,30.2,47.2,,,,
2017-11-15T01:03:42.018Z,0,30.2,47,,,,
2017-11-15T01:03:46.928Z,0,30.2,46.9,,,,
2017-11-15T01:03:56.926Z,0,30.3,46.7,,,,
2017-11-15T01:04:06.928Z,0,30.3,46.5,,,,
2017-11-15T01:04:16.927Z,0,30.3,46.2,,,,
2017-11-15T01:04:26.927Z,0,30.3,45.9,,,,
2017-11-15T01:04:36.927Z,0,30.3,45.8,,,,
2017-11-15T01:04:46.930Z,0,30.3,45.6,,,,
2017-11-15T01:04:56.927Z,0,30.3,45.5,,,,
2017-11-15T01:05:06.983Z,0,30.4,45.4,,,,
2017-11-15T01:05:16.928Z,0,30.4,45.3,,,,
2017-11-15T01:05:27.032Z,0,30.4,45.2,,,,
2017-11-15T01:05:36.928Z,0,30.4,45,,,,
2017-11-15T01:05:46.929Z,0,30.4,44.9,,,,
2017-11-15T01:05:56.928Z,0,30.4,44.8,,,,
2017-11-15T01:06:06.931Z,0,30.4,44.7,,,,
2017-11-15T01:06:21.977Z,0,30.4,44.5,,,,
2017-11-15T01:06:26.929Z,0,30.6,44.4,,,,
2017-11-15T01:06:36.930Z,0,30.6,44.2,,,,
2017-11-15T01:06:46.928Z,0,30.6,44.1,,,,
2017-11-15T01:06:56.928Z,0,30.6,43.9,,,,
2017-11-15T01:07:06.929Z,0,30.6,43.8,,,,
2017-11-15T01:07:16.932Z,0,30.6,43.7,,,,
2017-11-15T01:07:26.929Z,0,30.6,43.6,,,,
2017-11-15T01:07:36.929Z,0,30.6,43.4,,,,
2017-11-15T01:07:46.928Z,0,30.6,43.3,,,,
2017-11-15T01:07:56.930Z,0,30.6,43.2,,,,
2017-11-15T01:08:06.930Z,0,30.6,43.1,,,,
2017-11-15T01:08:16.930Z,0,30.7,42.9,,,,
2017-11-15T01:08:26.935Z,0,30.6,47.1,1,39,,0
2017-11-15T01:08:36.932Z,0,30.6,49.3,,29,,
2017-11-15T01:08:46.928Z,0,30.7,49.7,,30,,
2017-11-15T01:08:56.931Z,0,30.7,49.8,,,,
2017-11-15T01:09:06.948Z,0,30.7,49.9,,,,
2017-11-15T01:09:16.942Z,0,30.7,,,29,,
2017-11-15T01:09:26.953Z,0,30.7,,,,,
2017-11-15T01:09:36.943Z,0,30.7,50,,30,,
2017-11-15T01:09:46.928Z,0,30.7,,,,,
2017-11-15T01:09:56.928Z,0,30.7,50.1,,,,
2017-11-15T01:10:07.177Z,0,30.7,50.3,,29,,
2017-11-15T01:10:16.928Z,0,30.7,50.6,,,,
2017-11-15T01:10:26.928Z,0,30.7,51,,,,
2017-11-15T01:10:36.928Z,0,30.7,51.1,,30,,
2017-11-15T01:10:46.928Z,0,30.8,51.2,,29,,
2017-11-15T01:10:56.960Z,0,30.8,51.5,,,,
2017-11-15T01:11:06.929Z,0,30.8,52,,,,
