Time,ChActive,HwActive,ActPow,HwTSet,PrimT,HwTOutlet,PrimTSet
2017-12-23T01:13:30.324Z,,,,0,,21.1,
2017-12-23T01:13:40.324Z,,,,0,,21.1,
2017-12-23T01:13:50.323Z,,,,0,,21.1,
2017-12-23T01:14:00.324Z,0,0,0,0,28.7,21.1,5
2017-12-23T01:14:10.330Z,,,,0,,21.1,
2017-12-23T01:14:20.324Z,,,,0,,21.1,
2017-12-23T01:14:30.331Z,,,,0,,21.1,
2017-12-23T01:14:40.324Z,,,,0,,21.1,
2017-12-23T01:14:50.324Z,,,,0,,21.1,
2017-12-23T01:15:00.324Z,,,,0,,21.1,
2017-12-23T01:15:10.324Z,,,,0,,21.1,
2017-12-23T01:15:20.328Z,,,,0,,21.1,
2017-12-23T01:15:30.325Z,,,,0,,21.1,
2017-12-23T01:15:40.324Z,,,,0,,21.1,
2017-12-23T01:15:50.324Z,,,,0,,21.1,
2017-12-23T01:16:00.339Z,,,,0,,21.1,
2017-12-23T01:16:10.324Z,,,,0,,21.1,
2017-12-23T01:16:20.324Z,,,,0,,21.1,
2017-12-23T01:16:30.324Z,,,,0,,21.1,
2017-12-23T01:16:40.324Z,,,,0,,21.1,
2017-12-23T01:16:50.325Z,,,,0,,21.1,
2017-12-23T01:17:00.324Z,,,,0,,21.1,
2017-12-23T01:17:10.330Z,,,,0,,21.1,
2017-12-23T01:17:20.325Z,,,,0,,21.1,
2017-12-23T01:17:30.325Z,,,,0,,20.9,
2017-12-23T01:17:40.326Z,,,,0,28.6,21.1,
2017-12-23T01:17:50.334Z,,,,0,,21.1,
2017-12-23T01:18:00.325Z,,,,0,,21.1,
2017-12-23T01:18:10.324Z,,,,0,,21.1,
2017-12-23T01:18:20.326Z,,,,0,,20.9,
2017-12-23T01:18:30.326Z,,,,0,,20.9,
2017-12-23T01:18:40.331Z,,,,0,,21.1,
2017-12-23T01:18:50.337Z,,,,0,,21.1,
2017-12-23T01:19:00.324Z,,,,0,,21.1,
2017-12-23T01:19:10.327Z,,,,0,,20.9,
2017-12-23T01:19:20.327Z,,,,0,,21.1,
2017-12-23T01:19:30.328Z,,,,0,,20.9,
2017-12-23T01:19:40.325Z,,,,0,,20.9,
2017-12-23T01:19:50.331Z,,,,0,,20.9,
2017-12-23T01:20:00.325Z,,,,0,,20.9,
2017-12-23T01:20:10.325Z,,,,0,,20.9,
2017-12-23T01:20:20.327Z,,,,0,,20.9,
2017-12-23T01:20:30.329Z,,,,0,,20.9,
2017-12-23T01:20:40.331Z,,,,0,,20.9,
2017-12-23T01:20:50.325Z,,,,0,28.4,20.9,
2017-12-23T01:21:00.329Z,,,,0,28.6,20.9,
2017-12-23T01:21:10.328Z,,,,0,28.4,20.9,
2017-12-23T01:21:20.327Z,,,,0,,20.9,
2017-12-23T01:21:30.325Z,,,,0,28.6,20.9,
2017-12-23T01:21:40.328Z,,,,0,28.4,20.9,
