Time,HwActive,PrimT,PrimTSet,ActPow,HwTOutlet,ChActive,HwTSet
2018-01-21T01:08:03.333Z,,,,,24.7,,0
2018-01-21T01:08:13.333Z,,,,,24.5,,0
2018-01-21T01:08:23.337Z,,,,,24.5,,0
2018-01-21T01:08:33.333Z,,,,,24.5,,0
2018-01-21T01:08:43.333Z,,,,,24.5,,0
2018-01-21T01:08:53.338Z,,,,,24.5,,0
2018-01-21T01:09:03.333Z,,40.9,,,24.5,,0
2018-01-21T01:09:13.333Z,,,,,24.5,,0
2018-01-21T01:09:23.334Z,,,,,24.5,,0
2018-01-21T01:09:33.333Z,,,,,24.5,,0
2018-01-21T01:09:43.334Z,,,,,24.4,,0
2018-01-21T01:09:53.333Z,,,,,24.4,,0
2018-01-21T01:10:03.333Z,,,,,24.4,,0
2018-01-21T01:10:13.333Z,,40.8,,,24.4,,0
2018-01-21T01:10:23.338Z,,,,,24.4,,0
2018-01-21T01:10:33.334Z,,,,,24.4,,0
2018-01-21T01:10:43.333Z,,,,,24.4,,0
2018-01-21T01:10:53.333Z,,,,,24.4,,0
2018-01-21T01:11:03.335Z,,,,,24.3,,0
2018-01-21T01:11:13.334Z,,,,,24.3,,0
2018-01-21T01:11:23.337Z,,,,,24.3,,0
2018-01-21T01:11:33.333Z,,,,,24.3,,0
2018-01-21T01:11:43.335Z,,,,,24.3,,0
2018-01-21T01:11:53.334Z,,40.7,,,24.3,,0
2018-01-21T01:12:03.335Z,,,,,24.3,,0
2018-01-21T01:12:13.339Z,,,,,24.3,,0
2018-01-21T01:12:23.334Z,,,,,24.3,,0
2018-01-21T01:12:33.335Z,,,,,24.3,,0
2018-01-21T01:12:43.333Z,,,,,24.2,,0
2018-01-21T01:12:53.334Z,,,,,24.2,,0
2018-01-21T01:13:03.334Z,,,,,24.2,,0
2018-01-21T01:13:13.335Z,,40.6,,,24.2,,0
2018-01-21T01:13:23.336Z,,,,,24.2,,0
2018-01-21T01:13:33.334Z,,,,,24.2,,0
2018-01-21T01:13:43.334Z,,,,,24.2,,0
2018-01-21T01:13:53.334Z,,,,,24.2,,0
2018-01-21T01:14:03.334Z,,,,,24.2,,0
2018-01-21T01:14:13.353Z,,,,,24,,0
2018-01-21T01:14:28.397Z,,,,,24,,0
2018-01-21T01:14:33.335Z,,40.5,,,24,,0
2018-01-21T01:14:43.334Z,,,,,24,,0
2018-01-21T01:14:53.336Z,,,,,24,,0
2018-01-21T01:15:03.334Z,,,,,24,,0
2018-01-21T01:15:13.336Z,,,,,24,,0
2018-01-21T01:15:23.335Z,,,,,24,,0
2018-01-21T01:15:33.334Z,,,,,24,,0
2018-01-21T01:15:43.334Z,,,,,24,,0
2018-01-21T01:15:53.342Z,,,,,24,,0
2018-01-21T01:16:03.335Z,,40.4,,,23.9,,0
2018-01-21T01:16:13.335Z,,,,,23.9,,0
2018-01-21T01:16:23.334Z,,,,,23.9,,0
2018-01-21T01:16:33.334Z,,,,,23.9,,0
2018-01-21T01:16:43.334Z,,,,,23.9,,0
2018-01-21T01:16:53.336Z,,,,,23.9,,0
2018-01-21T01:17:03.336Z,,,,,23.9,,0
2018-01-21T01:17:13.334Z,,,,,23.9,,0
2018-01-21T01:17:23.335Z,,40.3,,,23.9,,0
2018-01-21T01:17:33.335Z,,,,,23.8,,0
2018-01-21T01:17:43.334Z,,,,,23.8,,0
2018-01-21T01:17:53.334Z,,,,,23.8,,0
2018-01-21T01:18:03.335Z,,,,,23.8,,0
2018-01-21T01:18:13.569Z,,,,,23.8,,0
2018-01-21T01:18:23.335Z,,,,,23.8,,0
2018-01-21T01:18:33.336Z,,,,,23.8,,0
2018-01-21T01:18:43.569Z,,40.2,,,23.8,,0
2018-01-21T01:18:53.334Z,,,,,23.8,,0
2018-01-21T01:19:03.334Z,,,,,23.8,,0
2018-01-21T01:19:13.570Z,,,,,23.7,,0
2018-01-21T01:19:23.335Z,,,,,23.7,,0
2018-01-21T01:19:33.335Z,,,,,23.7,,0
2018-01-21T01:19:43.335Z,,,,,23.7,,0
2018-01-21T01:19:53.335Z,,,,,23.7,,0
2018-01-21T01:20:03.335Z,,,,,23.7,,0
2018-01-21T01:20:13.340Z,,40.1,,,23.7,,0
2018-01-21T01:20:23.336Z,,,,,23.7,,0
2018-01-21T01:20:33.336Z,,,,,23.7,,0
2018-01-21T01:20:43.335Z,,,,,23.7,,0
2018-01-21T01:20:53.335Z,,,,,23.6,,0
2018-01-21T01:21:03.335Z,,,,,23.6,,0
2018-01-21T01:21:13.335Z,,,,,23.6,,0
2018-01-21T01:21:23.335Z,,,,,23.6,,0
