Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T00:35:46.828Z,,0,,24.5,36.4,,
2018-01-28T00:35:57.072Z,,0,,24.5,,,
2018-01-28T00:36:06.836Z,,0,,24.4,,,
2018-01-28T00:36:16.828Z,,0,,24.4,,,
2018-01-28T00:36:26.832Z,,0,,24.4,,,
2018-01-28T00:36:36.827Z,,0,,24.4,,,
2018-01-28T00:36:46.828Z,,0,,24.4,,,
2018-01-28T00:36:56.830Z,,0,,24.4,,,
2018-01-28T00:37:06.828Z,,0,,24.4,,,
2018-01-28T00:37:16.828Z,,0,,24.4,,,
2018-01-28T00:37:26.830Z,,0,,24.4,,,
2018-01-28T00:37:36.829Z,,0,,24.4,36.3,,
2018-01-28T00:37:46.828Z,,0,,24.4,,,
2018-01-28T00:37:56.828Z,,0,,24.4,,,
2018-01-28T00:38:06.829Z,,0,,24.4,,,
2018-01-28T00:38:16.828Z,,0,,24.3,,,
2018-01-28T00:38:26.925Z,,0,,24.3,,,
2018-01-28T00:38:36.828Z,,0,,24.3,,,
2018-01-28T00:38:46.828Z,,0,,24.3,,,
2018-01-28T00:38:56.829Z,,0,,24.3,,,
2018-01-28T00:39:06.828Z,,0,,24.3,,,
2018-01-28T00:39:16.828Z,,0,,24.3,,,
2018-01-28T00:39:26.828Z,,0,,24.3,,,
2018-01-28T00:39:46.829Z,,0,,24.3,36.2,,
2018-01-28T00:39:56.828Z,,0,,24.3,,,
2018-01-28T00:40:06.828Z,,0,,24.3,,,
2018-01-28T00:40:16.828Z,,0,,24.3,,,
2018-01-28T00:40:26.828Z,,0,,24.3,,,
2018-01-28T00:40:36.829Z,,0,,24.3,,,
2018-01-28T00:40:47.079Z,,0,,24.2,,,
2018-01-28T00:40:57.021Z,,0,,24.2,,,
2018-01-28T00:41:06.828Z,,0,,24.2,,,
2018-01-28T00:41:16.829Z,,0,,24.2,,,
2018-01-28T00:41:26.832Z,,0,,24.2,,,
2018-01-28T00:41:36.829Z,,0,,24.2,36.1,,
2018-01-28T00:41:46.833Z,,0,,24.2,,,
2018-01-28T00:41:56.830Z,,0,,24.2,,,
2018-01-28T00:42:06.829Z,,0,,24.2,,,
2018-01-28T00:42:16.829Z,,0,,24.2,,,
2018-01-28T00:42:26.829Z,,0,,24.2,,,
2018-01-28T00:42:36.831Z,,0,,24.2,,,
2018-01-28T00:42:46.829Z,,0,,24.2,,,
2018-01-28T00:42:56.829Z,,0,,24,,,
2018-01-28T00:43:06.829Z,,0,,24,,,
2018-01-28T00:43:16.829Z,,0,,24,,,
2018-01-28T00:43:26.828Z,,0,,24,,,
2018-01-28T00:43:36.830Z,,0,,24,36,,
2018-01-28T00:43:47.018Z,,0,,24,,,
2018-01-28T00:43:56.829Z,,0,,24,,,
2018-01-28T00:44:06.829Z,,0,,24,,,
2018-01-28T00:44:16.830Z,,0,,24,,,
2018-01-28T00:44:26.834Z,,0,,24,,,
2018-01-28T00:44:36.852Z,,0,,24,,,
2018-01-28T00:44:46.860Z,,0,,24,,,
2018-01-28T00:44:56.829Z,,0,,24,,,
2018-01-28T00:45:06.834Z,,0,,24,,,
2018-01-28T00:45:16.829Z,,0,,24,35.9,,
2018-01-28T00:45:26.833Z,,0,,23.9,35.9,,
