Time,ChActive,HwTOutlet,ActPow,HwTSet,PrimT,HwActive,PrimTSet
2017-11-26T00:36:36.481Z,,35.9,30,0,60.9,,
2017-11-26T00:36:46.476Z,,36,29,0,61.3,,
2017-11-26T00:36:56.480Z,,36,30,0,61.8,,
2017-11-26T00:37:06.476Z,,36,29,0,62,,
2017-11-26T00:37:16.478Z,,36,30,0,62.2,,
2017-11-26T00:37:26.505Z,,36,,0,62.4,,
2017-11-26T00:37:36.475Z,,36,29,0,62.5,,
2017-11-26T00:37:46.477Z,,36,,0,62.6,,
2017-11-26T00:37:56.476Z,,36,30,0,,,
2017-11-26T00:38:06.477Z,,36.1,29,0,62.7,,
2017-11-26T00:38:16.477Z,,36.1,29,0,62.8,,
2017-11-26T00:38:26.476Z,,36.1,29,0,63.1,,
2017-11-26T00:38:36.475Z,,36.1,30,0,63.2,,
2017-11-26T00:38:46.476Z,,36.1,,0,63.4,,
2017-11-26T00:38:56.480Z,,36.1,,0,63.5,,
2017-11-26T00:39:06.478Z,,36.1,,0,63.9,,
2017-11-26T00:39:16.481Z,,36.1,29,0,64.1,,
2017-11-26T00:39:26.482Z,,36.1,30,0,64.4,,
2017-11-26T00:39:36.476Z,,36.1,29,0,64.6,,
2017-11-26T00:39:46.476Z,,36.2,,0,64.8,,
2017-11-26T00:39:56.478Z,1,36.2,0,0,64.9,0,
2017-11-26T00:40:06.477Z,,36.2,,0,59.9,,
2017-11-26T00:40:16.484Z,,36.2,,0,57.8,,
2017-11-26T00:40:26.484Z,,36.2,,0,56.5,,
2017-11-26T00:40:36.476Z,,36.2,,0,55.7,,
2017-11-26T00:40:46.478Z,,36.2,,0,55.2,,
2017-11-26T00:40:56.476Z,,36.2,,0,55,,
2017-11-26T00:41:06.476Z,,36.3,,0,,,
2017-11-26T00:41:16.477Z,,36.3,,0,,,
2017-11-26T00:41:26.476Z,,36.3,,0,55.1,,
2017-11-26T00:41:36.476Z,,36.3,,0,55.2,,
2017-11-26T00:41:46.476Z,,36.3,,0,55.3,,
2017-11-26T00:41:56.480Z,,36.3,,0,,,
2017-11-26T00:42:06.476Z,,36.3,,0,55.1,,
2017-11-26T00:42:16.490Z,1,36.3,45,0,55,0,
2017-11-26T00:42:26.480Z,,36.4,32,0,61.2,,
2017-11-26T00:42:36.481Z,,36.4,30,0,62.2,,
2017-11-26T00:42:46.477Z,,36.4,,0,62.5,,
2017-11-26T00:42:56.478Z,,36.4,,0,62.7,,
2017-11-26T00:43:06.477Z,,36.4,29,0,,,
2017-11-26T00:43:16.480Z,,36.4,,0,,,
2017-11-26T00:43:26.479Z,,36.4,30,0,62.8,,
2017-11-26T00:43:36.477Z,,36.4,29,0,,,
2017-11-26T00:43:46.479Z,,36.4,30,0,62.9,,
2017-11-26T00:43:56.478Z,,36.4,30,0,62.9,,
2017-11-26T00:44:06.480Z,,36.4,29,0,63.2,,
2017-11-26T00:44:16.482Z,,36.4,,0,63.3,,62
2017-11-26T00:44:26.478Z,,36.4,30,0,64,,
