Time,HwActive,HwTSet,HwTOutlet,PrimT,ActPow,PrimTSet,ChActive
2017-12-18T00:31:39.554Z,,0,25.5,45.1,,,
2017-12-18T00:31:49.323Z,,0,25.5,,,,
2017-12-18T00:31:59.283Z,,0,25.4,,,,
2017-12-18T00:32:09.283Z,,0,25.4,,,,
2017-12-18T00:32:19.283Z,,0,25.4,,,,
2017-12-18T00:32:29.283Z,,0,25.4,,,,
2017-12-18T00:32:39.283Z,,0,25.4,,,,
2017-12-18T00:32:49.363Z,,0,25.4,45,,,
2017-12-18T00:32:59.283Z,,0,25.4,,,,
2017-12-18T00:33:09.285Z,,0,25.3,,,,
2017-12-18T00:33:19.283Z,,0,25.3,,,,
2017-12-18T00:33:29.284Z,,0,25.3,,,,
2017-12-18T00:33:39.283Z,,0,25.3,,,,
2017-12-18T00:33:49.364Z,,0,25.3,45,,,
2017-12-18T00:33:59.284Z,,0,25.3,44.9,,,
2017-12-18T00:34:09.283Z,,0,25.3,,,,
2017-12-18T00:34:19.284Z,,0,25.3,,,,
2017-12-18T00:34:29.283Z,,0,25.1,,,,
2017-12-18T00:34:39.285Z,,0,25.1,,,,
2017-12-18T00:34:49.363Z,,0,25.1,,,,
2017-12-18T00:34:59.284Z,,0,25.1,,,,
2017-12-18T00:35:09.284Z,,0,25.1,44.8,,,
2017-12-18T00:35:19.283Z,,0,25.1,,,,
2017-12-18T00:35:29.283Z,,0,25.1,,,,
2017-12-18T00:35:39.284Z,,0,25.1,,,,
2017-12-18T00:35:49.364Z,,0,25,,,,
2017-12-18T00:35:59.284Z,,0,25,,,,
2017-12-18T00:36:09.284Z,,0,25,44.7,,,
2017-12-18T00:36:19.284Z,,0,25,,,,
2017-12-18T00:36:29.283Z,,0,25,,,,
2017-12-18T00:36:39.286Z,,0,25,,,,
2017-12-18T00:36:49.364Z,,0,25,,,,
2017-12-18T00:36:59.284Z,,0,25,,,,
2017-12-18T00:37:09.284Z,,0,25,,,,
2017-12-18T00:37:19.284Z,,0,24.9,44.6,,,
2017-12-18T00:37:29.283Z,,0,24.9,,,,
2017-12-18T00:37:39.284Z,,0,24.9,,,,
2017-12-18T00:37:49.364Z,,0,24.9,,,,
2017-12-18T00:37:59.287Z,,0,24.9,,,,
2017-12-18T00:38:09.284Z,,0,24.9,,,,
2017-12-18T00:38:19.284Z,,0,24.9,,,,
2017-12-18T00:38:29.443Z,,0,24.9,,,,
2017-12-18T00:38:39.285Z,,0,24.8,44.5,,,
2017-12-18T00:38:49.364Z,,0,24.8,,,,
2017-12-18T00:38:59.285Z,,0,24.8,,,,
2017-12-18T00:39:09.284Z,,0,24.8,,,,
2017-12-18T00:39:19.284Z,,0,24.8,,,,
2017-12-18T00:39:29.284Z,,0,24.8,44.4,,,
2017-12-18T00:39:39.284Z,,0,24.8,44.5,,,
2017-12-18T00:39:49.364Z,,0,24.8,44.4,,,
2017-12-18T00:39:59.284Z,,0,24.7,,,,
2017-12-18T00:40:09.284Z,,0,24.7,,,,
2017-12-18T00:40:19.285Z,,0,24.7,,,,
2017-12-18T00:40:29.285Z,,0,24.7,,,,
2017-12-18T00:40:39.284Z,,0,24.7,,,,
2017-12-18T00:40:49.375Z,,0,24.7,44.3,,,
2017-12-18T00:40:59.284Z,,0,24.7,,,,
2017-12-18T00:41:09.284Z,,0,24.7,,,,
2017-12-18T00:41:19.285Z,,0,24.7,,,,
2017-12-18T00:41:29.285Z,,0,24.7,,,,
2017-12-18T00:41:39.285Z,,0,24.5,,,,
2017-12-18T00:41:49.364Z,,0,24.5,,,,
2017-12-18T00:41:59.285Z,,0,24.5,44.2,,,
2017-12-18T00:42:09.285Z,,0,24.5,,,,
2017-12-18T00:42:19.285Z,,0,24.5,,,,
2017-12-18T00:42:29.284Z,,0,24.5,,,,
2017-12-18T00:42:39.285Z,,0,24.5,,,,
2017-12-18T00:42:49.364Z,,0,24.5,,,,
2017-12-18T00:42:59.284Z,,0,24.4,,,,
2017-12-18T00:43:09.285Z,,0,24.4,44.1,,,
2017-12-18T00:43:19.285Z,,0,24.4,,,,
2017-12-18T00:43:29.285Z,,0,24.4,,,,
2017-12-18T00:43:39.285Z,,0,24.4,,,,
2017-12-18T00:43:49.377Z,,0,24.4,,,,
2017-12-18T00:43:59.289Z,,0,24.4,,,,
2017-12-18T00:44:09.285Z,,0,24.4,,,,
2017-12-18T00:44:19.285Z,,0,24.4,44,,,
2017-12-18T00:44:29.285Z,,0,24.3,,,,
2017-12-18T00:44:39.285Z,,0,24.3,,,,
2017-12-18T00:44:49.365Z,,0,24.3,,,,
2017-12-18T00:44:59.285Z,,0,24.3,,,,
2017-12-18T00:45:09.285Z,,0,24.3,43.9,,,
2017-12-18T00:45:19.286Z,,0,24.3,43.9,,,
2017-12-18T00:45:29.286Z,,0,24.3,,,,
2017-12-18T00:45:39.285Z,,0,24.3,,,,
2017-12-18T00:45:49.365Z,,0,24.3,,,,
2017-12-18T00:45:59.286Z,,0,24.2,,,,
2017-12-18T00:46:09.417Z,,0,24.2,,,,
2017-12-18T00:46:19.285Z,,0,24.2,,,,
2017-12-18T00:46:29.286Z,,0,24.2,,,,
2017-12-18T00:46:39.286Z,,0,24.2,43.8,,,
2017-12-18T00:46:49.365Z,,0,24.2,,,,
2017-12-18T00:46:59.286Z,,0,24.2,,,,
2017-12-18T00:47:09.285Z,,0,24.2,,,,
2017-12-18T00:47:19.285Z,,0,24.2,,,,
2017-12-18T00:47:29.299Z,,0,24,,,,
2017-12-18T00:47:39.287Z,,0,24,,,,
2017-12-18T00:47:49.365Z,,0,24,43.7,,,
2017-12-18T00:47:59.287Z,,0,24,,,,
2017-12-18T00:48:09.287Z,,0,24,,,,
2017-12-18T00:48:19.286Z,,0,24,,,,
2017-12-18T00:48:29.289Z,,0,24,,,,
2017-12-18T00:48:39.287Z,,0,24,,,,
2017-12-18T00:48:49.365Z,,0,24,,,,
2017-12-18T00:48:59.289Z,,0,24,,,,
2017-12-18T00:49:09.290Z,,0,23.9,43.6,,,
2017-12-18T00:49:19.286Z,,0,23.9,,,,
2017-12-18T00:49:29.286Z,,0,23.9,,,,
2017-12-18T00:49:39.286Z,,0,23.9,,,,
2017-12-18T00:49:49.367Z,,0,23.9,,,,
2017-12-18T00:49:59.287Z,,0,23.9,,,,
2017-12-18T00:50:09.286Z,,0,23.9,43.5,,,
2017-12-18T00:50:19.286Z,,0,23.9,,,,
