Time,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet,ChActive,HwTSet
2018-02-06T00:59:17.832Z,24.4,,,,,,0
2018-02-06T00:59:27.807Z,24.4,,44.8,,,,0
2018-02-06T00:59:37.815Z,24.4,,,,,,0
2018-02-06T00:59:47.814Z,24.3,,,,,,0
2018-02-06T00:59:57.832Z,24.3,,,,,,0
2018-02-06T01:00:07.810Z,24.3,,,,,,0
2018-02-06T01:00:17.812Z,24.3,,,,,,0
2018-02-06T01:00:27.811Z,24.3,,44.7,,,,0
2018-02-06T01:00:37.811Z,24.3,,,,,,0
2018-02-06T01:00:47.813Z,24.2,,,,,,0
2018-02-06T01:00:57.806Z,24.2,,,,,,0
2018-02-06T01:01:07.815Z,24.2,,,,,,0
2018-02-06T01:01:17.828Z,24.2,,,,,,0
2018-02-06T01:01:27.832Z,24.2,,,,,,0
2018-02-06T01:01:37.809Z,24.2,,44.6,,,,0
2018-02-06T01:01:47.813Z,24,,,,,,0
2018-02-06T01:01:57.817Z,24,,,,,,0
2018-02-06T01:02:07.811Z,24,,,,,,0
2018-02-06T01:02:17.968Z,24,,,,,,0
2018-02-06T01:02:27.964Z,24,,,,,,0
2018-02-06T01:02:37.827Z,24,,44.5,,,,0
2018-02-06T01:02:48.246Z,24,,,,,,0
2018-02-06T01:02:57.813Z,23.9,,,,,,0
2018-02-06T01:03:07.813Z,23.9,,,,,,0
2018-02-06T01:03:23.916Z,23.9,,,,,,0
2018-02-06T01:03:27.812Z,23.9,,,,,,0
2018-02-06T01:03:37.813Z,23.9,,,,,,0
2018-02-06T01:03:47.817Z,23.9,,44.4,,,,0
2018-02-06T01:03:57.851Z,23.9,,,,,,0
2018-02-06T01:04:07.810Z,23.8,,,,,,0
2018-02-06T01:04:17.809Z,23.8,,,,,,0
2018-02-06T01:04:27.809Z,23.8,,,,,,0
2018-02-06T01:04:43.118Z,23.8,,,,,,0
2018-02-06T01:04:53.275Z,23.8,,,,,,0
2018-02-06T01:04:57.811Z,23.8,,44.3,,,,0
2018-02-06T01:05:07.836Z,23.8,,,,,,0
2018-02-06T01:05:17.808Z,23.8,,,,,,0
2018-02-06T01:05:27.828Z,23.7,,,,,,0
2018-02-06T01:05:37.807Z,23.7,,,,,,0
2018-02-06T01:05:47.848Z,23.7,,,,,,0
2018-02-06T01:05:57.807Z,23.7,,44.2,,,,0
2018-02-06T01:06:07.808Z,23.7,,,,,,0
2018-02-06T01:06:17.808Z,23.7,,,,,,0
2018-02-06T01:06:27.813Z,23.6,,,,,,0
2018-02-06T01:06:37.809Z,23.6,,,,,,0
2018-02-06T01:06:47.812Z,23.6,,,,,,0
2018-02-06T01:06:57.809Z,23.6,,44.1,,,,0
2018-02-06T01:07:07.827Z,23.6,,,,,,0
2018-02-06T01:07:17.807Z,23.6,,,,,,0
2018-02-06T01:07:27.811Z,23.6,,,,,,0
2018-02-06T01:07:37.810Z,23.6,,,,,,0
