Time,HwTOutlet,ActPow,PrimTSet,HwActive,PrimT,HwTSet,ChActive
2017-12-06T01:04:25.902Z,25.3,,,,34,0,
2017-12-06T01:04:30.803Z,25.3,,,,,0,
2017-12-06T01:04:50.804Z,25.3,,,,,0,
2017-12-06T01:05:00.802Z,25.3,,,,,0,
2017-12-06T01:05:10.807Z,25.3,,,,,0,
2017-12-06T01:05:20.805Z,25.1,,,,,0,
2017-12-06T01:05:30.802Z,25.3,,,,,0,
2017-12-06T01:05:40.802Z,25.1,,,,,0,
2017-12-06T01:05:50.803Z,25.3,,,,,0,
2017-12-06T01:06:00.804Z,25.1,,,,,0,
2017-12-06T01:06:10.806Z,25.1,,,,,0,
2017-12-06T01:06:20.807Z,25.1,,,,,0,
2017-12-06T01:06:30.802Z,25.1,,,,33.9,0,
2017-12-06T01:06:40.808Z,25.1,,,,33.9,0,
2017-12-06T01:06:50.806Z,,,,,33.9,,
2017-12-06T01:07:00.808Z,25.1,,,,,0,
2017-12-06T01:07:10.805Z,25.1,,,,,0,
2017-12-06T01:07:20.802Z,25.1,,,,,0,
2017-12-06T01:07:30.804Z,25.1,,,,,0,
2017-12-06T01:07:40.806Z,25,,,,,0,
2017-12-06T01:07:50.802Z,25,,,,,0,
2017-12-06T01:08:00.802Z,25,,,,,0,
2017-12-06T01:08:10.806Z,25,,,,,0,
2017-12-06T01:08:20.805Z,25,,,,,0,
2017-12-06T01:08:30.804Z,25,,,,,0,
2017-12-06T01:08:40.808Z,25,,,,,0,
2017-12-06T01:08:50.806Z,25,,,,,0,
2017-12-06T01:09:00.802Z,25,,,,33.8,0,
2017-12-06T01:09:20.805Z,25,,,,,0,
2017-12-06T01:09:30.948Z,24.9,,,,,0,
2017-12-06T01:09:40.803Z,24.9,,,,,0,
2017-12-06T01:09:50.803Z,24.9,,,,,0,
2017-12-06T01:10:00.806Z,24.9,,,,,0,
2017-12-06T01:10:10.807Z,24.9,,,,,0,
2017-12-06T01:10:20.803Z,24.9,,,,,0,
2017-12-06T01:10:30.802Z,24.9,,,,,0,
2017-12-06T01:10:40.805Z,24.9,,,,,0,
2017-12-06T01:10:50.804Z,24.9,,,,,0,
2017-12-06T01:11:00.804Z,24.8,,,,,0,
2017-12-06T01:11:10.805Z,24.8,,,,,0,
2017-12-06T01:11:20.802Z,24.8,,,,,0,
2017-12-06T01:11:30.807Z,24.8,,,,,0,
2017-12-06T01:11:40.805Z,24.8,,,,33.7,0,
2017-12-06T01:12:00.808Z,24.8,,,,,0,
2017-12-06T01:12:10.807Z,24.8,,,,,0,
2017-12-06T01:12:20.803Z,24.8,,,,,0,
2017-12-06T01:12:30.813Z,24.8,,,,,0,
2017-12-06T01:12:40.871Z,24.8,,,,,0,
2017-12-06T01:12:50.837Z,24.8,,,,,0,
2017-12-06T01:13:00.833Z,24.8,,,,,0,
2017-12-06T01:13:10.828Z,24.7,,,,,0,
2017-12-06T01:13:20.830Z,24.7,,,,,0,
2017-12-06T01:13:30.828Z,24.7,,,,,0,
2017-12-06T01:13:40.830Z,24.7,,,,,0,
2017-12-06T01:13:50.809Z,24.7,,,,33.6,0,
2017-12-06T01:14:00.829Z,24.7,,,,33.7,0,
2017-12-06T01:14:10.833Z,24.7,,,,,0,
2017-12-06T01:14:20.840Z,24.7,,,,,0,
2017-12-06T01:14:30.838Z,24.7,,,,33.6,0,
2017-12-06T01:14:40.803Z,24.7,,,,,0,
2017-12-06T01:14:50.804Z,24.7,,,,,0,
2017-12-06T01:15:00.809Z,24.7,,,,,0,
2017-12-06T01:15:10.813Z,24.5,,,,,0,
2017-12-06T01:15:20.809Z,24.5,,,,,0,
2017-12-06T01:15:30.815Z,24.5,,,,,0,
2017-12-06T01:15:40.803Z,24.5,,,,,0,
2017-12-06T01:16:00.809Z,24.5,,,,,0,
2017-12-06T01:16:10.803Z,24.5,,,,,0,
2017-12-06T01:16:20.809Z,24.5,,,,,0,
2017-12-06T01:16:30.803Z,24.5,,,,,0,
2017-12-06T01:16:40.804Z,24.5,,,,,0,
2017-12-06T01:16:50.804Z,24.5,,,,,0,
2017-12-06T01:17:00.806Z,24.5,,,,33.5,0,
2017-12-06T01:17:10.805Z,24.4,,,,,0,
2017-12-06T01:17:20.805Z,24.4,,,,,0,
2017-12-06T01:17:30.804Z,24.4,,,,,0,
2017-12-06T01:17:40.804Z,24.4,,,,,0,
2017-12-06T01:17:50.825Z,24.4,,,,,0,
2017-12-06T01:18:00.804Z,24.4,,,,,0,
2017-12-06T01:18:10.813Z,24.4,,,,,0,
2017-12-06T01:18:20.808Z,24.4,,,,,0,
