Time,HwTSet,HwActive,HwTOutlet,PrimT,ChActive,PrimTSet,ActPow
2018-01-05T00:36:23.812Z,0,,22.1,,,,
2018-01-05T00:36:33.811Z,0,,22.1,,,,
2018-01-05T00:36:43.817Z,0,,22.1,,,,
2018-01-05T00:36:53.811Z,0,,22,,,,
2018-01-05T00:37:03.811Z,0,,22.1,,,,
2018-01-05T00:37:13.811Z,0,,22,,,,
2018-01-05T00:37:23.811Z,0,,22.1,38.1,,,
2018-01-05T00:37:34.046Z,0,,22,,,,
2018-01-05T00:37:43.811Z,0,,22,,,,
2018-01-05T00:37:53.811Z,0,,22,,,,
2018-01-05T00:38:03.814Z,0,,22,,,,
2018-01-05T00:38:13.811Z,0,,22,,,,
2018-01-05T00:38:23.811Z,0,,22,,,,
2018-01-05T00:38:33.811Z,0,,22,,,,
2018-01-05T00:38:43.811Z,0,,22,,,,
2018-01-05T00:38:53.811Z,0,,22,,,,
2018-01-05T00:39:03.813Z,0,,22,38,,,
2018-01-05T00:39:13.812Z,0,,22,,,,
2018-01-05T00:39:23.811Z,0,,22,,,,
2018-01-05T00:39:34.046Z,0,,22,,,,
2018-01-05T00:39:43.811Z,0,,22,,,,
2018-01-05T00:39:53.811Z,0,,22,,,,
2018-01-05T00:40:04.039Z,0,,22,,,,
2018-01-05T00:40:13.812Z,0,,22,,,,
2018-01-05T00:40:23.814Z,0,,22,38,,,
2018-01-05T00:40:34.037Z,0,,22,37.9,,,
2018-01-05T00:40:43.811Z,0,,22,,,,
2018-01-05T00:40:53.811Z,0,,22,,,,
2018-01-05T00:41:03.815Z,0,,22,,,,
2018-01-05T00:41:13.812Z,0,,22,,,,
2018-01-05T00:41:23.812Z,0,,21.9,,,,
2018-01-05T00:41:38.901Z,0,,21.9,,,,
2018-01-05T00:41:43.811Z,0,,21.9,,,,
2018-01-05T00:41:53.812Z,0,,21.9,,,,
2018-01-05T00:42:03.812Z,0,,21.9,,,,
2018-01-05T00:42:13.812Z,0,,21.9,37.8,,,
2018-01-05T00:42:23.811Z,0,,21.9,,,,
2018-01-05T00:42:33.811Z,0,,21.9,,,,
2018-01-05T00:42:43.813Z,0,,21.9,,,,
2018-01-05T00:42:53.812Z,0,,21.9,,,,
2018-01-05T00:43:03.812Z,0,,21.9,,,,
2018-01-05T00:43:13.812Z,0,,21.9,,,,
2018-01-05T00:43:23.812Z,0,,21.9,,,,
2018-01-05T00:43:33.812Z,0,,21.9,,,,
2018-01-05T00:43:43.811Z,0,,21.9,37.7,,,
2018-01-05T00:43:53.987Z,0,,21.9,,,,
2018-01-05T00:44:03.813Z,0,,21.9,,,,
2018-01-05T00:44:13.812Z,0,,21.9,,,,
2018-01-05T00:44:24.027Z,0,,21.9,,,,
2018-01-05T00:44:33.812Z,0,,21.7,,,,
2018-01-05T00:44:43.812Z,0,,21.7,,,,
2018-01-05T00:44:53.812Z,0,,21.7,,,,
2018-01-05T00:45:03.812Z,0,,21.9,,,,
2018-01-05T00:45:13.812Z,0,,21.9,,,,
2018-01-05T00:45:23.813Z,0,,21.7,37.6,,,
2018-01-05T00:45:33.812Z,0,,21.7,,,,
2018-01-05T00:45:43.812Z,0,,21.7,,,,
2018-01-05T00:45:53.812Z,0,,21.7,,,,
2018-01-05T00:46:03.814Z,0,,21.7,,,,
2018-01-05T00:46:13.812Z,0,,21.7,,,,
2018-01-05T00:46:23.812Z,0,,21.7,,,,
2018-01-05T00:46:33.813Z,0,,21.7,,,,
2018-01-05T00:46:43.812Z,0,,21.7,,,,
2018-01-05T00:46:53.812Z,0,,21.7,37.5,,,
2018-01-05T00:47:03.813Z,0,,21.7,37.6,,,
2018-01-05T00:47:13.812Z,0,,21.7,37.5,,,
2018-01-05T00:47:23.814Z,0,,21.7,,,,
2018-01-05T00:47:33.815Z,0,,21.7,,,,
2018-01-05T00:47:43.812Z,0,,21.7,,,,
2018-01-05T00:47:53.813Z,0,,21.7,,,,
2018-01-05T00:48:03.812Z,0,,21.7,,,,
2018-01-05T00:48:13.813Z,0,,21.7,,,,
2018-01-05T00:48:23.812Z,0,,21.6,,,,
2018-01-05T00:48:33.813Z,0,,21.7,,,,
2018-01-05T00:48:43.813Z,0,,21.7,37.4,,,
