Time,PrimT,HwTSet,PrimTSet,ChActive,HwTOutlet,ActPow,HwActive
2017-12-11T00:36:27.855Z,,0,,,24.9,,
2017-12-11T00:36:37.855Z,,0,,,24.9,,
2017-12-11T00:36:47.995Z,,0,,,24.9,,
2017-12-11T00:36:57.910Z,,0,,,24.9,,
2017-12-11T00:37:07.858Z,48,0,,,24.9,,
2017-12-11T00:37:17.855Z,,0,,,24.9,,
2017-12-11T00:37:27.857Z,,0,,,24.9,,
2017-12-11T00:37:37.854Z,,0,,,24.8,,
2017-12-11T00:37:48.096Z,,0,,,24.8,,
2017-12-11T00:37:57.855Z,,0,,,24.8,,
2017-12-11T00:38:07.858Z,47.9,0,,,24.8,,
2017-12-11T00:38:17.855Z,,0,,,24.8,,
2017-12-11T00:38:27.872Z,,0,,,24.8,,
2017-12-11T00:38:37.855Z,,0,,,24.8,,
2017-12-11T00:38:47.975Z,,0,,,24.7,,
2017-12-11T00:38:57.860Z,,0,,,24.7,,
2017-12-11T00:39:07.857Z,,0,,,24.7,,
2017-12-11T00:39:17.856Z,47.8,0,,,24.7,,
2017-12-11T00:39:27.856Z,,0,,,24.7,,
2017-12-11T00:39:37.855Z,,0,,,24.7,,
2017-12-11T00:39:48.024Z,,0,,,24.5,,
2017-12-11T00:39:57.855Z,,0,,,24.5,,
2017-12-11T00:40:07.857Z,,0,,,24.5,,
2017-12-11T00:40:17.856Z,,0,,,24.5,,
2017-12-11T00:40:27.855Z,47.7,0,,,24.5,,
2017-12-11T00:40:37.855Z,,0,,,24.5,,
2017-12-11T00:40:47.956Z,,0,,,24.5,,
2017-12-11T00:40:57.855Z,,0,,,24.5,,
2017-12-11T00:41:07.856Z,,0,,,24.4,,
2017-12-11T00:41:17.869Z,,0,,,24.4,,
2017-12-11T00:41:27.855Z,47.6,0,,,24.4,,
2017-12-11T00:41:37.855Z,,0,,,24.4,,
2017-12-11T00:41:47.937Z,,0,,,24.4,,
2017-12-11T00:41:57.855Z,,0,,,24.4,,
2017-12-11T00:42:07.856Z,,0,,,24.4,,
2017-12-11T00:42:17.855Z,47.4,0,,,24.3,,
2017-12-11T00:42:27.856Z,,0,,,24.3,,
2017-12-11T00:42:37.856Z,,0,,,24.3,,
2017-12-11T00:42:48.045Z,,0,,,24.3,,
2017-12-11T00:42:57.856Z,,0,,,24.3,,
2017-12-11T00:43:07.860Z,,0,,,24.3,,
2017-12-11T00:43:17.860Z,47.3,0,,,24.3,,
2017-12-11T00:43:27.863Z,,0,,,24.2,,
2017-12-11T00:43:37.855Z,,0,,,24.2,,
2017-12-11T00:43:47.936Z,,0,,,24.2,,
2017-12-11T00:43:57.856Z,,0,,,24.2,,
2017-12-11T00:44:07.856Z,,0,,,24.2,,
2017-12-11T00:44:17.856Z,,0,,,24.2,,
2017-12-11T00:44:27.856Z,47.2,0,,,24.2,,
2017-12-11T00:44:37.857Z,,0,,,24,,
2017-12-11T00:44:48.056Z,,0,,,24,,
2017-12-11T00:44:57.856Z,,0,,,24,,
2017-12-11T00:45:07.856Z,,0,,,24,,
2017-12-11T00:45:17.856Z,,0,,,24,,
2017-12-11T00:45:27.856Z,47.1,0,,,24,,
2017-12-11T00:45:37.856Z,,0,,,24,,
2017-12-11T00:45:48.056Z,,0,,,24,,
2017-12-11T00:45:57.859Z,,0,,,23.9,,
2017-12-11T00:46:07.856Z,,0,,,23.9,,
2017-12-11T00:46:17.855Z,47,0,,,23.9,,
2017-12-11T00:46:27.856Z,,0,,,23.9,,
2017-12-11T00:46:37.856Z,,0,,,23.9,,
2017-12-11T00:46:48.047Z,,0,,,23.9,,
2017-12-11T00:46:57.856Z,,0,,,23.9,,
2017-12-11T00:47:07.857Z,,0,,,23.9,,
2017-12-11T00:47:17.856Z,,0,,,23.8,,
2017-12-11T00:47:27.856Z,46.9,0,,,23.8,,
2017-12-11T00:47:37.857Z,,0,,,23.8,,
2017-12-11T00:47:47.939Z,,0,,,23.8,,
2017-12-11T00:47:57.856Z,,0,,,23.8,,
2017-12-11T00:48:07.858Z,,0,,,23.8,,
2017-12-11T00:48:17.856Z,,0,,,23.8,,
2017-12-11T00:48:27.857Z,,0,,,23.8,,
2017-12-11T00:48:37.861Z,46.8,0,,,23.7,,
2017-12-11T00:48:48.076Z,,0,,,23.7,,
2017-12-11T00:48:57.856Z,,0,,,23.7,,
2017-12-11T00:49:07.863Z,,0,,,23.7,,
2017-12-11T00:49:17.858Z,,0,,,23.7,,
2017-12-11T00:49:27.856Z,,0,,,23.7,,
2017-12-11T00:49:37.857Z,46.7,0,,,23.7,,
2017-12-11T00:49:47.937Z,,0,,,23.7,,
2017-12-11T00:49:57.857Z,,0,,,23.7,,
2017-12-11T00:50:07.857Z,,0,,,23.6,,
2017-12-11T00:50:17.857Z,,0,,,23.6,,
2017-12-11T00:50:27.857Z,,0,,,23.6,,
2017-12-11T00:50:37.858Z,46.6,0,,,23.6,,
2017-12-11T00:50:47.947Z,,0,,,23.6,,
2017-12-11T00:50:57.858Z,,0,,,23.6,,
2017-12-11T00:51:07.857Z,,0,,,23.6,,
2017-12-11T00:51:17.858Z,,0,,,23.4,,
2017-12-11T00:51:27.857Z,46.5,0,,,23.6,,
2017-12-11T00:51:37.859Z,,0,,,23.4,,
2017-12-11T00:51:47.948Z,,0,,,23.4,,
2017-12-11T00:51:57.857Z,,0,,,23.4,,
2017-12-11T00:52:07.857Z,,0,,,23.4,,
2017-12-11T00:52:17.857Z,,0,,,23.4,,
