Time,HwTSet,PrimT,ActPow,HwActive,PrimTSet,ChActive,HwTOutlet
2018-02-07T00:48:38.028Z,0,,,,,,21.9
2018-02-07T00:48:48.029Z,0,,,,,,21.9
2018-02-07T00:48:58.031Z,0,,,,,,21.9
2018-02-07T00:49:08.024Z,0,,,,,,21.9
2018-02-07T00:49:18.027Z,0,,,,,,21.9
2018-02-07T00:49:28.024Z,0,,,,,,21.9
2018-02-07T00:49:38.046Z,0,,,,,,21.9
2018-02-07T00:49:48.024Z,0,36.8,,,,,21.9
2018-02-07T00:49:58.047Z,0,36.9,,,,,21.9
2018-02-07T00:50:08.024Z,0,36.8,,,,,21.7
2018-02-07T00:50:18.028Z,0,,,,,,21.9
2018-02-07T00:50:28.024Z,0,,,,,,21.7
2018-02-07T00:50:38.025Z,0,,,,,,21.9
2018-02-07T00:50:48.024Z,0,,,,,,21.7
2018-02-07T00:50:58.027Z,0,,,,,,21.7
2018-02-07T00:51:08.024Z,0,,,,,,21.7
2018-02-07T00:51:18.030Z,0,,,,,,21.7
2018-02-07T00:51:28.025Z,0,,,,,,21.7
2018-02-07T00:51:38.033Z,0,36.7,,,,,21.7
2018-02-07T00:51:48.025Z,0,,,,,,21.7
2018-02-07T00:51:58.025Z,0,,,,,,21.7
2018-02-07T00:52:08.025Z,0,,,,,,21.7
2018-02-07T00:52:18.025Z,0,,,,,,21.7
2018-02-07T00:52:28.025Z,0,,,,,,21.7
2018-02-07T00:52:38.029Z,0,,,,,,21.7
2018-02-07T00:52:48.025Z,0,,,,,,21.7
2018-02-07T00:52:58.025Z,0,,,,,,21.7
2018-02-07T00:53:08.025Z,0,36.6,,,,,21.7
2018-02-07T00:53:18.025Z,0,36.7,,,,,21.7
2018-02-07T00:53:28.025Z,0,36.6,,,,,21.7
2018-02-07T00:53:38.025Z,0,,,,,,21.7
2018-02-07T00:53:48.025Z,0,,,,,,21.6
2018-02-07T00:53:58.029Z,0,,,,,,21.6
2018-02-07T00:54:08.025Z,0,,,,,,21.6
2018-02-07T00:54:18.025Z,0,,,,,,21.6
2018-02-07T00:54:28.025Z,0,,,,,,21.6
2018-02-07T00:54:38.026Z,0,,,,,,21.6
2018-02-07T00:54:48.025Z,0,,,,,,21.6
2018-02-07T00:54:58.045Z,0,36.5,,,,,21.6
2018-02-07T00:55:08.171Z,0,,,,,,21.6
2018-02-07T00:55:18.025Z,0,,,,,,21.6
2018-02-07T00:55:28.027Z,0,,,,,,21.6
2018-02-07T00:55:38.026Z,0,,,,,,21.6
2018-02-07T00:55:48.029Z,0,,,,,,21.6
2018-02-07T00:55:58.026Z,0,,,,,,21.6
2018-02-07T00:56:08.026Z,0,,,,,,21.6
2018-02-07T00:56:18.028Z,0,,,,,,21.6
2018-02-07T00:56:28.025Z,0,36.4,,,,,21.6
2018-02-07T00:56:38.026Z,0,,,,,,21.6
2018-02-07T00:56:48.026Z,0,,,,,,21.6
2018-02-07T00:56:58.026Z,0,,,,,,21.6
2018-02-07T00:57:08.025Z,0,,,,,,21.6
2018-02-07T00:57:18.026Z,0,,,,,,21.6
2018-02-07T00:57:28.028Z,0,,,,,,21.6
2018-02-07T00:57:38.025Z,0,,,,,,21.6
2018-02-07T00:57:48.026Z,0,,,,,,21.5
2018-02-07T00:57:58.031Z,0,,,,,,21.5
2018-02-07T00:58:08.025Z,0,,,,,,21.5
2018-02-07T00:58:18.035Z,0,,,,,,21.5
2018-02-07T00:58:28.026Z,0,,,,,,21.5
2018-02-07T00:58:38.026Z,0,36.3,,,,,21.5
2018-02-07T00:58:48.026Z,0,,,,,,21.5
2018-02-07T00:58:58.026Z,0,,,,,,21.5
2018-02-07T00:59:08.025Z,0,,,,,,21.5
2018-02-07T00:59:18.026Z,0,,,,,,21.5
2018-02-07T00:59:28.026Z,0,,,,,,21.5
2018-02-07T00:59:38.085Z,0,,,,,,21.5
2018-02-07T00:59:48.026Z,0,,,,,,21.5
2018-02-07T00:59:58.039Z,0,,,,,,21.5
2018-02-07T01:00:08.027Z,0,,,,,,21.5
2018-02-07T01:00:18.027Z,0,36.2,,,,,21.5
