Time,HwTOutlet,PrimTSet,PrimT,HwTSet,ActPow,ChActive,HwActive
2018-01-27T00:53:32.553Z,32.8,,,55,,,
2018-01-27T00:53:42.554Z,32.8,,40.2,55,,,
2018-01-27T00:53:52.556Z,32.8,,,55,,,
2018-01-27T00:54:02.554Z,32.8,,,55,,,
2018-01-27T00:54:12.553Z,32.8,,,55,,,
2018-01-27T00:54:22.638Z,32.8,,40.3,55,,,
2018-01-27T00:54:32.551Z,32.8,,,55,,,
2018-01-27T00:54:42.551Z,32.7,,,55,,,
2018-01-27T00:54:52.551Z,32.7,,,55,,,
2018-01-27T00:55:02.554Z,32.7,,,55,,,
2018-01-27T00:55:12.551Z,32.7,,40.5,55,,,
2018-01-27T00:55:22.629Z,32.6,,,55,,,
2018-01-27T00:55:32.556Z,32.6,,,55,,,
2018-01-27T00:55:42.551Z,32.6,,39.9,55,,,
2018-01-27T00:55:52.550Z,32.6,,37.9,55,,,
2018-01-27T00:56:02.566Z,32.6,,36.9,55,,,
2018-01-27T00:56:12.551Z,32.5,,34.9,55,,,
2018-01-27T00:56:22.630Z,32.5,,34.8,55,,,
2018-01-27T00:56:32.553Z,32.5,,34.6,55,,,
2018-01-27T00:56:42.555Z,32.5,,,55,,,
2018-01-27T00:56:52.554Z,32.5,,34.7,55,,,
2018-01-27T00:57:02.554Z,32.5,,,55,,,
2018-01-27T00:57:12.550Z,32.3,,34.6,55,,,
2018-01-27T00:57:22.640Z,32.3,,34.4,55,,,
2018-01-27T00:57:32.553Z,32.3,,,55,,,
2018-01-27T00:57:42.552Z,32.3,,34.3,55,,,
2018-01-27T00:57:52.550Z,32.3,,,55,,,
2018-01-27T00:58:02.553Z,32.2,,34.2,55,,,
2018-01-27T00:58:12.551Z,32.2,,,55,,,
2018-01-27T00:58:22.636Z,32.2,,34.1,55,,,
2018-01-27T00:58:32.552Z,32.2,,,55,,,
2018-01-27T00:58:42.553Z,32.2,,34,55,,,
2018-01-27T00:58:52.550Z,32.1,,37.6,55,79,1,0
2018-01-27T00:59:02.551Z,32.1,,43.1,55,56,,
2018-01-27T00:59:12.557Z,32.1,,43.8,55,0,1,0
2018-01-27T00:59:22.641Z,32.1,,40.6,55,,,
2018-01-27T00:59:32.555Z,32,,37.8,55,,,
2018-01-27T00:59:42.551Z,32,,36.7,55,,,
2018-01-27T00:59:52.553Z,32,,35.9,55,,,
2018-01-27T01:00:02.569Z,32,,35.3,55,,,
2018-01-27T01:00:12.553Z,32,,35.2,55,,,
2018-01-27T01:00:22.630Z,31.9,,34.9,55,,,
2018-01-27T01:00:32.549Z,31.9,,34.8,55,,,
2018-01-27T01:00:42.551Z,31.9,,34.7,55,,,
2018-01-27T01:00:52.557Z,31.9,,34.6,55,,,
2018-01-27T01:01:02.550Z,31.7,,34.4,55,,,
2018-01-27T01:01:12.549Z,31.7,,34.3,55,,,
2018-01-27T01:01:22.689Z,31.7,,,55,,,
2018-01-27T01:01:32.555Z,31.7,,34.2,55,,,
2018-01-27T01:01:42.549Z,31.7,,,55,,,
2018-01-27T01:01:52.558Z,31.7,,34.1,55,,,
2018-01-27T01:02:02.549Z,31.6,,,55,,,
2018-01-27T01:02:12.549Z,31.6,,33.8,55,,1,0
2018-01-27T01:02:22.629Z,31.6,,,55,,,
2018-01-27T01:02:32.550Z,31.6,,,55,,,
2018-01-27T01:02:42.556Z,31.6,,33.7,55,,,
2018-01-27T01:02:52.549Z,31.5,,33.6,55,,,
2018-01-27T01:03:02.550Z,31.5,,,55,,,
2018-01-27T01:03:12.549Z,31.5,,33.5,55,,,
2018-01-27T01:03:22.629Z,31.5,,,55,,,
2018-01-27T01:03:32.558Z,31.4,,33.3,55,,,
2018-01-27T01:03:42.549Z,31.4,,,55,,,
2018-01-27T01:03:52.553Z,31.4,,37,55,79,1,0
2018-01-27T01:04:02.550Z,31.4,,42.3,55,60,,
2018-01-27T01:04:12.552Z,31.4,,43.4,55,39,,
2018-01-27T01:04:22.629Z,31.4,,41.8,55,29,,
2018-01-27T01:04:32.548Z,31.2,,40.9,55,,,
2018-01-27T01:04:42.551Z,31.2,,39.8,55,,,
2018-01-27T01:04:52.548Z,31.2,,38.9,55,,,
2018-01-27T01:05:02.560Z,31.2,,38.6,55,,,
2018-01-27T01:05:12.555Z,31.2,,,55,,,
2018-01-27T01:05:22.630Z,31.1,,38.7,55,,,
2018-01-27T01:05:32.548Z,31.1,,39,55,,,
2018-01-27T01:05:42.550Z,31.1,,39.1,55,,,
2018-01-27T01:05:52.549Z,31.1,,39.3,55,,,
2018-01-27T01:06:02.559Z,31.1,,39.4,55,,,
2018-01-27T01:06:12.551Z,31.1,,39.7,55,,,
2018-01-27T01:06:22.639Z,31.1,,39.8,55,,,
2018-01-27T01:06:32.556Z,31.1,,40,55,,,
