Time,ChActive,HwTSet,ActPow,HwTOutlet,PrimT,HwActive,PrimTSet
2018-01-25T00:39:02.847Z,,55,,32.3,34,,
2018-01-25T00:39:12.784Z,1,55,,32.3,33.8,0,
2018-01-25T00:39:22.774Z,,55,,32.3,,,
2018-01-25T00:39:32.774Z,,55,,32.3,33.7,,
2018-01-25T00:39:42.774Z,,55,,32.3,,,
2018-01-25T00:39:52.774Z,,55,,32.2,33.6,,
2018-01-25T00:40:02.777Z,,55,,32.2,,,
2018-01-25T00:40:12.776Z,,55,,32.2,33.5,,
2018-01-25T00:40:27.824Z,,55,,32.2,,,
2018-01-25T00:40:32.777Z,1,55,79,32.2,34.5,0,40
2018-01-25T00:40:42.775Z,,55,74,32.1,40.4,,
2018-01-25T00:40:52.775Z,,55,49,32.1,43.1,,
2018-01-25T00:41:02.776Z,,55,29,32.1,42.9,,
2018-01-25T00:41:12.778Z,,55,,32.1,40.9,,
2018-01-25T00:41:22.777Z,,55,,32.1,39.9,,
2018-01-25T00:41:32.778Z,,55,,32.1,38.9,,
2018-01-25T00:41:42.775Z,,55,,32,38.7,,
2018-01-25T00:41:52.774Z,,55,,32,38.5,,
2018-01-25T00:42:02.782Z,,55,,32,38.6,,
2018-01-25T00:42:12.774Z,,55,,32,38.9,,
2018-01-25T00:42:22.774Z,,55,,32,39,,
2018-01-25T00:42:32.774Z,,55,,32,39.1,,
2018-01-25T00:42:42.774Z,,55,,31.9,39.3,,
2018-01-25T00:42:52.774Z,,55,,31.9,39.5,,
2018-01-25T00:43:02.774Z,,55,,31.9,39.7,,
2018-01-25T00:43:12.774Z,,55,,31.9,39.8,,
2018-01-25T00:43:22.774Z,,55,,31.9,40,,
2018-01-25T00:43:32.774Z,,55,,31.9,40.1,,
2018-01-25T00:43:42.792Z,,55,,31.9,40.2,,
2018-01-25T00:43:52.774Z,,55,,31.9,40.5,,
2018-01-25T00:44:02.774Z,,55,,31.9,40.6,,
2018-01-25T00:44:12.802Z,,55,,31.9,40.7,,
2018-01-25T00:44:22.774Z,,55,,31.9,40.8,,
2018-01-25T00:44:32.774Z,,55,,31.9,40.9,,
2018-01-25T00:44:42.774Z,,55,,31.9,41.1,,
2018-01-25T00:44:52.775Z,,55,,31.9,41.2,,
2018-01-25T00:45:02.776Z,,55,,31.9,41.4,,
2018-01-25T00:45:12.777Z,,55,,32,41.6,,
2018-01-25T00:45:22.774Z,,55,,32,41.7,,
2018-01-25T00:45:32.774Z,,55,,32,41.9,,
2018-01-25T00:45:42.774Z,,55,,32,42,,
2018-01-25T00:45:52.785Z,,55,,32.1,42.2,,
2018-01-25T00:46:02.776Z,,55,,32.1,42.3,,
2018-01-25T00:46:12.780Z,,55,,32.1,42.5,,
2018-01-25T00:46:22.776Z,,55,,32.1,42.6,,
2018-01-25T00:46:32.779Z,,55,,32.2,42.7,,
2018-01-25T00:46:42.776Z,,55,,32.2,43,,
2018-01-25T00:46:52.779Z,,55,,32.3,,,
2018-01-25T00:47:02.774Z,,55,,32.3,43.2,,
2018-01-25T00:47:12.774Z,,55,,32.5,43.3,,
2018-01-25T00:47:22.774Z,,55,,32.5,43.4,,
2018-01-25T00:47:32.773Z,,55,,32.6,43.6,,
2018-01-25T00:47:42.776Z,,55,,32.6,,,
2018-01-25T00:47:52.774Z,,55,,32.7,44.1,,
2018-01-25T00:48:02.774Z,1,55,0,32.7,42.8,0,
2018-01-25T00:48:12.774Z,,55,,32.8,40.8,,
2018-01-25T00:48:22.774Z,,55,,32.8,39.9,,
2018-01-25T00:48:32.774Z,,55,,33,39.7,,
2018-01-25T00:48:42.774Z,,55,,33.1,40,,
2018-01-25T00:48:52.774Z,,55,,33.1,40.1,,
2018-01-25T00:49:03.127Z,,55,,33.2,40.6,,
2018-01-25T00:49:12.773Z,,55,,33.2,40.8,,
2018-01-25T00:49:22.774Z,,55,,33.3,40.6,,
2018-01-25T00:49:32.774Z,,55,,33.3,40.3,,
2018-01-25T00:49:42.774Z,,55,,33.5,40.2,,
2018-01-25T00:49:52.776Z,,55,,33.5,40,,
2018-01-25T00:50:02.779Z,,55,,33.6,39.9,,
2018-01-25T00:50:12.776Z,,55,,33.6,39.8,,
2018-01-25T00:50:22.774Z,,55,,33.6,39.6,,
2018-01-25T00:50:32.773Z,,55,,33.7,,,
2018-01-25T00:50:42.826Z,,55,,33.7,39.5,,
2018-01-25T00:50:52.776Z,,55,,33.7,39.4,,
