Time,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive,ActPow,HwTSet
2017-11-26T00:37:11.063Z,,,,40.7,,,55
2017-11-26T00:37:20.066Z,58.6,,,40.7,,,55
2017-11-26T00:37:30.066Z,,,,40.7,,,55
2017-11-26T00:37:40.066Z,,,,40.6,,,55
2017-11-26T00:37:50.066Z,,,,40.6,,,55
2017-11-26T00:38:00.066Z,,,,40.6,,,55
2017-11-26T00:38:10.066Z,58.5,,,40.5,,,55
2017-11-26T00:38:20.066Z,,,,40.5,,,55
2017-11-26T00:38:30.066Z,,,,40.3,,,55
2017-11-26T00:38:40.067Z,,,,40.3,,,55
2017-11-26T00:38:50.066Z,58.4,,,40.3,,,55
2017-11-26T00:39:00.069Z,,,,40.2,,,55
2017-11-26T00:39:10.066Z,,,,40.2,,,55
2017-11-26T00:39:20.071Z,,,,40.1,,,55
2017-11-26T00:39:30.066Z,,,,40.1,,,55
2017-11-26T00:39:40.066Z,58.3,,,40.1,,,55
2017-11-26T00:39:50.067Z,,,,40,,,55
2017-11-26T00:40:01.058Z,,,,40,,,55
2017-11-26T00:40:10.066Z,,,,40,,,55
2017-11-26T00:40:20.067Z,58.2,,,39.9,,,55
2017-11-26T00:40:30.066Z,,,,39.9,,,55
2017-11-26T00:40:40.066Z,,,,39.9,,,55
2017-11-26T00:40:50.288Z,,,,39.8,,,55
2017-11-26T00:41:00.067Z,,,,39.8,,,55
2017-11-26T00:41:10.067Z,58.1,,,39.6,,,55
2017-11-26T00:41:20.068Z,,,,39.6,,,55
2017-11-26T00:41:30.068Z,,,,39.6,,,55
2017-11-26T00:41:40.072Z,,,,39.5,,,55
2017-11-26T00:41:50.072Z,,,,39.5,,,55
2017-11-26T00:42:00.070Z,58,,,39.5,,,55
2017-11-26T00:42:10.072Z,,,,39.4,,,55
2017-11-26T00:42:20.067Z,,,,39.4,,,55
2017-11-26T00:42:30.068Z,57.8,,,39.3,,,55
2017-11-26T00:42:40.070Z,,,,39.3,,,55
2017-11-26T00:42:51.061Z,,,,39.3,,,55
2017-11-26T00:43:00.067Z,,,,39.1,,,55
2017-11-26T00:43:10.067Z,,,,39.1,,,55
2017-11-26T00:43:20.069Z,57.7,,,39.1,,,55
2017-11-26T00:43:30.071Z,,,,39,,,55
2017-11-26T00:43:40.069Z,,,,39,,,55
2017-11-26T00:43:50.068Z,,,,38.9,,,55
2017-11-26T00:44:00.067Z,,,,38.9,,,55
2017-11-26T00:44:10.072Z,57.6,,,38.9,,,55
2017-11-26T00:44:20.066Z,,,,38.9,,,55
2017-11-26T00:44:30.067Z,,,,38.8,,,55
2017-11-26T00:44:40.070Z,,,,38.8,,,55
2017-11-26T00:44:50.067Z,57.5,,,38.6,,,55
2017-11-26T00:45:00.067Z,,,,38.6,,,55
2017-11-26T00:45:10.074Z,,,,38.6,,,55
2017-11-26T00:45:20.067Z,,,,38.5,,,55
2017-11-26T00:45:30.067Z,,,,38.5,,,55
2017-11-26T00:45:45.087Z,57.4,,,38.5,,,55
2017-11-26T00:45:50.070Z,,,,38.4,,,55
2017-11-26T00:46:00.067Z,,,,38.4,,,55
2017-11-26T00:46:10.067Z,,,,38.4,,,55
2017-11-26T00:46:20.068Z,57.3,,,38.3,,,55
2017-11-26T00:46:30.071Z,,,,38.3,,,55
2017-11-26T00:46:40.071Z,,,,38.1,,,55
2017-11-26T00:46:50.072Z,,,,38.1,,,55
2017-11-26T00:47:00.072Z,,,,38.1,,,55
2017-11-26T00:47:10.072Z,57.2,,,38,,,55
2017-11-26T00:47:20.067Z,,,,38,,,55
2017-11-26T00:47:30.067Z,,,,38,,,55
2017-11-26T00:47:40.067Z,,,,37.9,,,55
2017-11-26T00:47:50.067Z,57,,,37.9,,,55
2017-11-26T00:48:00.073Z,,,,37.9,,,55
2017-11-26T00:48:10.067Z,,,,37.9,,,55
2017-11-26T00:48:20.067Z,,,,37.8,,,55
2017-11-26T00:48:36.080Z,56.9,,,37.8,,,55
2017-11-26T00:48:40.067Z,,,,37.8,,,55
2017-11-26T00:48:50.067Z,,,,37.7,,,55
2017-11-26T00:49:00.068Z,,,,37.7,,,55
2017-11-26T00:49:10.068Z,,,,37.7,,,55
2017-11-26T00:49:20.067Z,,,,37.5,,,55
2017-11-26T00:49:30.068Z,56.8,,,37.5,,,55
2017-11-26T00:49:40.067Z,,,,37.4,,,55
2017-11-26T00:49:50.067Z,,,,37.4,,,55
2017-11-26T00:50:02.230Z,56.7,,,37.4,,,55
2017-11-26T00:50:10.067Z,,,,37.4,,,55
2017-11-26T00:50:20.067Z,,,,37.3,,,55
2017-11-26T00:50:30.067Z,,,,37.3,,,55
2017-11-26T00:50:40.067Z,,,,37.3,,,55
2017-11-26T00:50:50.067Z,56.6,,,37.2,,,55
2017-11-26T00:51:00.067Z,,,,37.2,,,55
2017-11-26T00:51:10.067Z,,,,37.2,,,55
2017-11-26T00:51:25.413Z,,,,37,,,55
2017-11-26T00:51:30.068Z,56.5,,,37,,,55
2017-11-26T00:51:40.068Z,,,,37,,,55
2017-11-26T00:51:50.068Z,,,,36.9,,,55
2017-11-26T00:52:00.068Z,,,,36.9,,,55
2017-11-26T00:52:10.068Z,,,,36.9,,,55
2017-11-26T00:52:20.069Z,56.4,,,36.8,,,55
2017-11-26T00:52:30.068Z,,,,36.8,,,55
2017-11-26T00:52:40.068Z,,,,36.8,,,55
2017-11-26T00:52:51.066Z,,,,36.7,,,55
2017-11-26T00:53:00.068Z,,,,36.7,,,55
2017-11-26T00:53:10.068Z,56.2,,,36.7,,,55
2017-11-26T00:53:20.068Z,,,,36.5,,,55
2017-11-26T00:53:30.068Z,,,,36.5,,,55
2017-11-26T00:53:40.073Z,,,,36.5,,,55
2017-11-26T00:53:50.068Z,56.1,,,36.4,,,55
2017-11-26T00:54:00.068Z,,,,36.4,,,55
2017-11-26T00:54:10.070Z,,0,1,38.3,0,82,55
2017-11-26T00:54:20.069Z,53.9,59,0,44,0,0,55
2017-11-26T00:54:30.073Z,52.7,,,41.8,,,55
2017-11-26T00:54:40.068Z,52.6,,,40.9,,,55
2017-11-26T00:54:50.068Z,53,,,40.3,,,55
2017-11-26T00:55:00.068Z,53.3,,,40,,,55
2017-11-26T00:55:10.068Z,53.4,,,40,,,55
2017-11-26T00:55:20.069Z,53.6,5,,40.5,,,55
2017-11-26T00:55:30.069Z,,,,41,,,55
2017-11-26T00:55:40.069Z,,,,41.5,,,55
2017-11-26T00:55:50.069Z,,,,41.8,,,55
2017-11-26T00:56:00.069Z,,,,42.2,,,55
2017-11-26T00:56:10.068Z,,,,42.4,,,55
2017-11-26T00:56:20.068Z,,,,42.5,,,55
2017-11-26T00:56:30.069Z,,,,42.7,,,55
2017-11-26T00:56:40.068Z,53.7,,,42.8,,,55
2017-11-26T00:56:50.069Z,,,,43,,,55
2017-11-26T00:57:00.069Z,,,,43,,,55
