Time,HwActive,PrimT,PrimTSet,HwTSet,ChActive,ActPow,HwTOutlet
2017-11-22T01:04:59.306Z,,52.2,,55,,,39.3
2017-11-22T01:05:09.306Z,,,,55,,,39.3
2017-11-22T01:05:19.306Z,,,,55,,,39.3
2017-11-22T01:05:29.306Z,,,,55,,,39.1
2017-11-22T01:05:39.310Z,,52.1,,55,,,39.1
2017-11-22T01:05:54.326Z,,,,55,,,39.1
2017-11-22T01:05:59.307Z,,,,55,,,39.1
2017-11-22T01:06:09.307Z,,,,55,,,39
2017-11-22T01:06:19.306Z,,,,55,,,39
2017-11-22T01:06:29.306Z,,52,,55,,,38.9
2017-11-22T01:06:39.313Z,,,,55,,,38.9
2017-11-22T01:06:49.307Z,,,,55,,,38.9
2017-11-22T01:06:59.306Z,,,,55,,,38.8
2017-11-22T01:07:09.308Z,,51.9,,55,,,38.8
2017-11-22T01:07:19.312Z,,51.9,,55,,,38.8
2017-11-22T01:07:29.307Z,,,,55,,,38.6
2017-11-22T01:07:39.306Z,,,,55,,,38.6
2017-11-22T01:07:49.307Z,,,,55,,,38.6
2017-11-22T01:07:59.307Z,,,,55,,,38.5
2017-11-22T01:08:09.307Z,,51.8,,55,,,38.5
2017-11-22T01:08:19.306Z,,,,55,,,38.5
2017-11-22T01:08:29.307Z,,,,55,,,38.4
2017-11-22T01:08:45.324Z,,,,55,,,38.4
2017-11-22T01:08:49.306Z,,,,55,,,38.4
2017-11-22T01:08:59.310Z,,,,55,,,38.3
2017-11-22T01:09:09.307Z,,51.7,,55,,,38.3
2017-11-22T01:09:19.307Z,,,,55,,,38.3
2017-11-22T01:09:29.309Z,,,,55,,,38.1
2017-11-22T01:09:39.311Z,,,,55,,,38.1
2017-11-22T01:09:49.313Z,,,,55,,,38.1
2017-11-22T01:09:59.307Z,,51.6,,55,,,38
2017-11-22T01:10:10.303Z,,,,55,,,38
2017-11-22T01:10:19.307Z,,,,55,,,38
2017-11-22T01:10:29.309Z,,,,55,,,37.9
2017-11-22T01:10:39.310Z,,,,55,,,37.9
2017-11-22T01:10:49.316Z,,51.4,,55,,,37.9
2017-11-22T01:10:59.307Z,,,,55,,,37.8
2017-11-22T01:11:09.309Z,,,,55,,,37.8
2017-11-22T01:11:19.313Z,,,,55,,,37.8
2017-11-22T01:11:29.308Z,,51.3,,55,,,37.7
2017-11-22T01:11:39.310Z,,,,55,,,37.7
2017-11-22T01:11:49.307Z,,,,55,,,37.7
2017-11-22T01:11:59.307Z,,,,55,,,37.5
2017-11-22T01:12:09.314Z,,,,55,,,37.5
2017-11-22T01:12:19.311Z,,51.2,,55,,,37.5
2017-11-22T01:12:29.307Z,,,,55,,,37.4
2017-11-22T01:12:39.307Z,,,,55,,,37.4
2017-11-22T01:12:49.307Z,,,,55,,,37.4
2017-11-22T01:13:00.307Z,,,,55,,,37.3
2017-11-22T01:13:09.312Z,,51.1,,55,,,37.3
2017-11-22T01:13:19.310Z,,,,55,,,37.3
2017-11-22T01:13:29.307Z,,,,55,,,37.2
2017-11-22T01:13:39.307Z,,,,55,,,37.2
2017-11-22T01:13:49.307Z,,,,55,,,37.2
2017-11-22T01:13:59.307Z,,51,,55,,,37
2017-11-22T01:14:09.308Z,,,,55,,,37
2017-11-22T01:14:19.307Z,,,,55,,,37
2017-11-22T01:14:29.308Z,,,,55,,,36.9
2017-11-22T01:14:39.313Z,,,,55,,,36.9
2017-11-22T01:14:49.307Z,,50.9,,55,,,36.9
2017-11-22T01:14:59.308Z,,,,55,,,36.8
2017-11-22T01:15:09.309Z,,,,55,,,36.8
2017-11-22T01:15:19.309Z,,,,55,,,36.8
2017-11-22T01:15:29.308Z,,,,55,,,36.8
2017-11-22T01:15:39.312Z,,50.8,,55,,,36.7
2017-11-22T01:15:50.304Z,,,,55,,,36.7
2017-11-22T01:15:59.308Z,,,,55,,,36.7
2017-11-22T01:16:09.308Z,,,,55,,,36.5
2017-11-22T01:16:19.309Z,,50.7,,55,,,36.5
2017-11-22T01:16:29.310Z,,,,55,,,36.5
2017-11-22T01:16:39.308Z,,,,55,,,36.4
2017-11-22T01:16:49.308Z,,,,55,,,36.4
2017-11-22T01:16:59.308Z,,,,55,,,36.4
2017-11-22T01:17:09.308Z,,,,55,,,36.4
2017-11-22T01:17:19.308Z,,50.6,,55,,,36.3
2017-11-22T01:17:29.308Z,,,,55,,,36.3
2017-11-22T01:17:39.308Z,,,,55,,,36.3
2017-11-22T01:17:49.309Z,,,,55,,,36.3
2017-11-22T01:17:59.308Z,,,,55,,,36.2
2017-11-22T01:18:09.308Z,,50.4,,55,,,36.2
2017-11-22T01:18:19.308Z,,,,55,,,36.2
2017-11-22T01:18:29.308Z,,,,55,,,36
2017-11-22T01:18:40.306Z,,,,55,,,36
2017-11-22T01:18:49.308Z,,,,55,,,36
2017-11-22T01:18:59.308Z,,50.3,,55,,,36
2017-11-22T01:19:09.309Z,,,,55,,,35.9
2017-11-22T01:19:19.308Z,,,,55,,,35.9
2017-11-22T01:19:29.309Z,,,,55,,,35.9
2017-11-22T01:19:39.309Z,,,,55,,,35.8
2017-11-22T01:19:49.308Z,,50.2,,55,,,35.8
2017-11-22T01:19:59.308Z,,,,55,,,35.8
2017-11-22T01:20:09.316Z,,,,55,,,35.8
2017-11-22T01:20:19.309Z,,,,55,,,35.7
2017-11-22T01:20:29.308Z,,,,55,,,35.7
2017-11-22T01:20:39.308Z,,,,55,,,35.7
