Time,PrimT,HwTSet,ActPow,HwTOutlet,PrimTSet,ChActive,HwActive
2017-12-03T01:03:56.280Z,51.3,55,,39.6,,,
2017-12-03T01:04:06.279Z,,55,,39.6,,,
2017-12-03T01:04:16.280Z,,55,,39.6,,,
2017-12-03T01:04:26.280Z,,55,,39.6,,,
2017-12-03T01:04:36.281Z,,55,,39.5,,,
2017-12-03T01:04:46.359Z,51.4,55,,39.5,,,
2017-12-03T01:04:56.278Z,,55,,39.5,,,
2017-12-03T01:05:06.279Z,,55,,39.5,,,
2017-12-03T01:05:16.278Z,,55,,39.5,,,
2017-12-03T01:05:26.279Z,,55,,39.4,,,
2017-12-03T01:05:36.279Z,,55,,39.4,,,
2017-12-03T01:05:46.358Z,,55,,39.4,,,
2017-12-03T01:05:56.281Z,,55,,39.3,,,
2017-12-03T01:06:06.279Z,,55,,39.3,,,
2017-12-03T01:06:16.278Z,,55,,39.3,,,
2017-12-03T01:06:31.298Z,,55,,39.3,,,
2017-12-03T01:06:36.278Z,,55,,39.1,,,
2017-12-03T01:06:46.358Z,,55,,39.1,,,
2017-12-03T01:06:56.284Z,,55,,39.1,,,
2017-12-03T01:07:06.279Z,,55,,39.1,,,
2017-12-03T01:07:16.284Z,,55,,39,,,
2017-12-03T01:07:26.282Z,,55,,39,,,
2017-12-03T01:07:36.282Z,,55,,39,,,
2017-12-03T01:07:46.359Z,,55,,38.9,,,
2017-12-03T01:07:56.279Z,,55,,38.9,,,
2017-12-03T01:08:06.279Z,,55,,38.9,,,
2017-12-03T01:08:16.280Z,,55,,38.8,,,
2017-12-03T01:08:26.279Z,,55,,38.8,,,
2017-12-03T01:08:36.282Z,,55,,38.8,,,
2017-12-03T01:08:46.359Z,,55,,38.6,,,
2017-12-03T01:08:56.279Z,,55,,38.6,,,
2017-12-03T01:09:06.279Z,,55,,38.6,,,
2017-12-03T01:09:16.279Z,,55,,38.5,,,
2017-12-03T01:09:26.281Z,,55,,38.5,,,
2017-12-03T01:09:36.279Z,,55,,38.5,,,
2017-12-03T01:09:46.359Z,51.3,55,,38.4,,,
2017-12-03T01:09:56.279Z,,55,,38.4,,,
2017-12-03T01:10:06.283Z,,55,,38.4,,,
2017-12-03T01:10:16.279Z,,55,,38.3,,,
2017-12-03T01:10:26.283Z,,55,,38.3,,,
2017-12-03T01:10:36.287Z,,55,,38.3,,,
2017-12-03T01:10:46.359Z,,55,,38.1,,,
2017-12-03T01:10:56.284Z,,55,,38.1,,,
2017-12-03T01:11:06.284Z,51.2,55,,38.1,,,
2017-12-03T01:11:16.283Z,,55,,38,,,
2017-12-03T01:11:26.283Z,,55,,38,,,
2017-12-03T01:11:36.282Z,,55,,37.9,,1,0
2017-12-03T01:11:46.359Z,55.5,55,79,37.9,,,
2017-12-03T01:11:56.279Z,59.1,55,50,37.9,,,
2017-12-03T01:12:06.282Z,56.6,55,29,37.8,,,
2017-12-03T01:12:16.285Z,51.9,55,,37.8,,,
2017-12-03T01:12:26.279Z,47.8,55,,37.8,,,
2017-12-03T01:12:36.284Z,46.9,55,,37.7,,,
2017-12-03T01:12:46.361Z,46.5,55,,37.7,,,
2017-12-03T01:12:56.279Z,47.1,55,,37.7,,,
2017-12-03T01:13:06.283Z,48.3,55,29,37.7,75,1,0
2017-12-03T01:13:16.280Z,49,55,,37.7,,,
2017-12-03T01:13:26.279Z,49.1,55,,37.5,,,
2017-12-03T01:13:36.281Z,,55,,37.5,,,
2017-12-03T01:13:46.361Z,49.2,55,,37.5,,,
2017-12-03T01:13:56.285Z,49.6,55,,37.7,,,
2017-12-03T01:14:06.284Z,50,55,,37.7,,,
2017-12-03T01:14:16.284Z,50.1,55,,37.7,,,
2017-12-03T01:14:26.280Z,50.3,55,,37.7,,,
2017-12-03T01:14:36.292Z,50.6,55,,37.7,,,
2017-12-03T01:14:46.360Z,50.8,55,,37.8,,,
2017-12-03T01:14:56.284Z,51,55,,37.8,,,
2017-12-03T01:15:06.280Z,51.1,55,,37.9,,,
2017-12-03T01:15:16.279Z,51.4,55,,37.9,,,
2017-12-03T01:15:26.279Z,51.7,55,,38,,,
2017-12-03T01:15:36.284Z,51.9,55,,38,,,
2017-12-03T01:15:46.363Z,52,55,,38.1,,,
2017-12-03T01:15:56.280Z,52.4,55,,38.1,,,
2017-12-03T01:16:06.280Z,52.6,55,,38.3,,,
2017-12-03T01:16:16.284Z,53,55,,38.4,,,
2017-12-03T01:16:31.300Z,53.1,55,,38.5,,,
2017-12-03T01:16:36.285Z,53.3,55,,38.5,,,
2017-12-03T01:16:46.372Z,53.4,55,,38.6,,,
2017-12-03T01:16:56.285Z,53.7,55,,38.8,,,
2017-12-03T01:17:06.280Z,54,55,,38.9,,,
2017-12-03T01:17:16.281Z,54.2,55,,39,,,
