Time,PrimTSet,HwActive,HwTOutlet,HwTSet,ChActive,PrimT,ActPow
2017-12-23T01:01:14.058Z,,,13.2,55,,,
2017-12-23T01:01:24.053Z,,,13.2,55,,,
2017-12-23T01:01:34.053Z,,,13.2,55,,,
2017-12-23T01:01:44.053Z,,,13.2,55,,,
2017-12-23T01:01:54.053Z,,,13.2,55,,,
2017-12-23T01:02:04.143Z,,,13.2,55,,,
2017-12-23T01:02:14.055Z,,,13.2,55,,,
2017-12-23T01:02:24.053Z,,,13.2,55,,,
2017-12-23T01:02:34.053Z,,,13.2,55,,,
2017-12-23T01:02:44.053Z,,,13.2,55,,,
2017-12-23T01:02:54.054Z,,,13.2,55,,,
2017-12-23T01:03:04.144Z,,,13.2,55,,,
2017-12-23T01:03:14.053Z,,,13.2,55,,,
2017-12-23T01:03:24.053Z,,,13.2,55,,,
2017-12-23T01:03:34.055Z,,,13.2,55,,,
2017-12-23T01:03:44.053Z,,,13.2,55,,,
2017-12-23T01:03:54.061Z,,,13.2,55,,,
2017-12-23T01:04:04.143Z,,,13,55,,,
2017-12-23T01:04:14.055Z,,,13.2,55,,,
2017-12-23T01:04:24.053Z,,,13.2,55,,,
2017-12-23T01:04:34.053Z,,,13.2,55,,,
2017-12-23T01:04:44.058Z,,,13.2,55,,,
2017-12-23T01:04:54.056Z,,,13.2,55,,,
2017-12-23T01:05:04.133Z,,,13.2,55,,,
2017-12-23T01:05:14.053Z,,,13.2,55,,,
2017-12-23T01:05:25.052Z,,,13.2,55,,,
2017-12-23T01:05:34.053Z,,,13.2,55,,,
2017-12-23T01:05:44.053Z,,,13.2,55,,,
2017-12-23T01:05:54.054Z,,,13.2,55,,,
2017-12-23T01:06:04.149Z,,,13,55,,,
2017-12-23T01:06:14.054Z,,,13.2,55,,,
2017-12-23T01:06:24.054Z,,,13.2,55,,,
2017-12-23T01:06:34.054Z,,,13.2,55,,,
2017-12-23T01:06:44.054Z,,,13.2,55,,,
2017-12-23T01:06:59.146Z,,,13.2,55,,,
2017-12-23T01:07:04.144Z,,,13.2,55,,,
2017-12-23T01:07:14.053Z,,,13.2,55,,,
2017-12-23T01:07:24.053Z,,,13.2,55,,,
2017-12-23T01:07:34.054Z,,,13.2,55,,,
2017-12-23T01:07:44.053Z,,,13.2,55,,,
2017-12-23T01:07:54.054Z,,,13.2,55,,,
2017-12-23T01:08:04.145Z,,,13.2,55,,,
2017-12-23T01:08:15.046Z,,,13.2,55,,,
2017-12-23T01:08:24.054Z,,,13.2,55,,,
2017-12-23T01:08:34.057Z,,,13.2,55,,,
2017-12-23T01:08:44.059Z,,,13.2,55,,,
2017-12-23T01:08:54.055Z,,,13.2,55,,,
2017-12-23T01:09:04.144Z,,,13.2,55,,,
2017-12-23T01:09:14.054Z,,,13.2,55,,,
2017-12-23T01:09:24.059Z,,,13,55,,,
2017-12-23T01:09:34.054Z,,,13.2,55,,,
2017-12-23T01:09:44.054Z,,,13.2,55,,,
2017-12-23T01:09:54.054Z,,,13.2,55,,,
2017-12-23T01:10:04.147Z,,,13.2,55,,,
2017-12-23T01:10:14.054Z,,,13.2,55,,,
2017-12-23T01:10:24.054Z,,,13.2,55,,,
2017-12-23T01:10:34.054Z,,,13.2,55,,,
2017-12-23T01:10:44.054Z,,,13.2,55,,,
2017-12-23T01:10:54.054Z,,,13.2,55,,,
2017-12-23T01:11:09.156Z,,,13.2,55,,,
2017-12-23T01:11:14.054Z,,,13.2,55,,,
2017-12-23T01:11:24.054Z,,,13.2,55,,,
2017-12-23T01:11:34.054Z,,,13.2,55,,,
2017-12-23T01:11:44.054Z,,,13.2,55,,,
2017-12-23T01:11:54.054Z,,,13.2,55,,,
2017-12-23T01:12:04.135Z,,,13.2,55,,,
2017-12-23T01:12:14.055Z,,,13.2,55,,,
2017-12-23T01:12:24.055Z,,,13.2,55,,,
2017-12-23T01:12:34.055Z,,,13,55,,,
2017-12-23T01:12:44.055Z,,,13.2,55,,,
2017-12-23T01:12:54.057Z,,,13.2,55,,,
2017-12-23T01:13:04.135Z,,,13.2,55,,,
2017-12-23T01:13:14.056Z,,,13.2,55,,,
2017-12-23T01:13:24.059Z,,,13.2,55,,,
2017-12-23T01:13:34.057Z,,,13.2,55,,,
2017-12-23T01:13:44.055Z,,,13.2,55,,,
2017-12-23T01:13:59.726Z,,,13,55,,,
2017-12-23T01:14:04.144Z,,,13.2,55,,,
2017-12-23T01:14:14.055Z,,,13.2,55,,,
2017-12-23T01:14:25.096Z,,,13.2,55,,,
2017-12-23T01:14:34.058Z,,,13.2,55,,,
2017-12-23T01:14:44.058Z,,,13.2,55,,,
2017-12-23T01:14:54.056Z,,,13.2,55,,,
2017-12-23T01:15:04.146Z,,,13.2,55,,,
2017-12-23T01:15:14.057Z,,,13.2,55,,,
2017-12-23T01:15:24.058Z,,,13.2,55,,,
2017-12-23T01:15:34.059Z,,,13.2,55,,,
2017-12-23T01:15:44.055Z,,,13.2,55,,,
2017-12-23T01:15:54.059Z,,,13.2,55,,,
2017-12-23T01:16:04.145Z,,,13.2,55,,,
2017-12-23T01:16:14.059Z,,,13.2,55,,,
2017-12-23T01:16:24.059Z,,,13.2,55,,,
2017-12-23T01:16:34.059Z,,,13.2,55,,,
2017-12-23T01:16:50.068Z,,,13.2,55,,,
2017-12-23T01:16:54.055Z,,,13.2,55,,,
2017-12-23T01:17:04.145Z,,,13.2,55,,,
2017-12-23T01:17:14.059Z,,,13.2,55,,,
2017-12-23T01:17:24.055Z,,,13.2,55,,,
2017-12-23T01:17:34.055Z,,,13.2,55,,,
2017-12-23T01:17:44.055Z,,,13.2,55,,,
2017-12-23T01:17:54.055Z,,,13.2,55,,,
2017-12-23T01:18:04.145Z,,,13.2,55,,,
2017-12-23T01:18:14.055Z,,,13.2,55,,,
2017-12-23T01:18:24.055Z,,,13.2,55,,,
2017-12-23T01:18:34.060Z,,,13.2,55,,,
2017-12-23T01:18:44.059Z,,,13.2,55,,,
2017-12-23T01:18:54.055Z,,,13.2,55,,,
2017-12-23T01:19:04.150Z,,,13.2,55,,,
2017-12-23T01:19:14.055Z,,,13.2,55,,,
2017-12-23T01:19:24.057Z,,,13,55,,,
2017-12-23T01:19:34.060Z,,,13.2,55,,,
2017-12-23T01:19:44.055Z,,,13,55,,,
2017-12-23T01:19:54.056Z,,,13.2,55,,,
2017-12-23T01:20:04.140Z,,,13.2,55,,,
2017-12-23T01:20:14.056Z,,,13.2,55,,,
2017-12-23T01:20:24.056Z,,,13.2,55,,,
2017-12-23T01:20:34.059Z,,,13.2,55,,,
2017-12-23T01:20:44.055Z,,,13.2,55,,,
2017-12-23T01:20:54.056Z,,,13.2,55,,,
2017-12-23T01:21:04.146Z,,,13.2,55,,,
2017-12-23T01:21:14.055Z,,,13.2,55,,,
2017-12-23T01:21:24.056Z,,,13.2,55,,,
2017-12-23T01:21:34.056Z,,,13.2,55,,,
2017-12-23T01:21:44.056Z,,,13,55,,,
2017-12-23T01:21:54.056Z,,,13.2,55,,,
2017-12-23T01:22:04.146Z,,,13.2,55,,,
2017-12-23T01:22:14.055Z,,,13,55,,,
2017-12-23T01:22:24.055Z,,,13.2,55,,,
2017-12-23T01:22:34.056Z,,,13.2,55,,,
2017-12-23T01:22:44.060Z,,,13,55,,,
2017-12-23T01:22:54.056Z,,,13.2,55,,,
2017-12-23T01:23:04.146Z,,,13.2,55,,,
2017-12-23T01:23:14.056Z,,,13.2,55,,,
2017-12-23T01:23:24.056Z,,,13.2,55,,,
2017-12-23T01:23:34.056Z,,,13.2,55,,,
2017-12-23T01:23:44.056Z,,,13.2,55,,,
2017-12-23T01:23:55.050Z,,,13.2,55,,,
2017-12-23T01:24:04.146Z,,,13.2,55,,,
2017-12-23T01:24:14.056Z,,,13.2,55,,,
2017-12-23T01:24:24.056Z,,,13.2,55,,,
