Time,ActPow,HwTOutlet,ChActive,PrimTSet,PrimT,HwTSet,HwActive
2017-12-11T00:52:11.770Z,,35.8,,,60.6,55,
2017-12-11T00:52:21.769Z,,35.7,,,,55,
2017-12-11T00:52:31.770Z,,35.7,,,,55,
2017-12-11T00:52:41.771Z,,35.7,,,,55,
2017-12-11T00:52:51.770Z,,35.6,,,60.5,55,
2017-12-11T00:53:01.850Z,,35.6,,,,55,
2017-12-11T00:53:11.770Z,,35.6,,,,55,
2017-12-11T00:53:21.770Z,,35.4,,,60.3,55,
2017-12-11T00:53:31.770Z,,35.4,,,,55,
2017-12-11T00:53:41.770Z,,35.4,,,,55,
2017-12-11T00:53:51.770Z,,35.3,,,,55,
2017-12-11T00:54:01.850Z,,35.3,,,60.2,55,
2017-12-11T00:54:11.770Z,,35.2,,,,55,
2017-12-11T00:54:21.770Z,,35.2,,,,55,
2017-12-11T00:54:31.770Z,,35.2,,,,55,
2017-12-11T00:54:41.772Z,,35.1,,,60.1,55,
2017-12-11T00:54:51.770Z,,35.1,,,,55,
2017-12-11T00:55:01.869Z,,35.1,,,,55,
2017-12-11T00:55:11.770Z,,34.9,,,,55,
2017-12-11T00:55:21.771Z,,34.9,,,60,55,
2017-12-11T00:55:31.770Z,,34.9,,,,55,
2017-12-11T00:55:41.770Z,,34.9,,,,55,
2017-12-11T00:55:51.770Z,,34.8,,,59.9,55,
2017-12-11T00:56:01.850Z,,34.8,,,,55,
2017-12-11T00:56:11.771Z,,34.8,,,,55,
2017-12-11T00:56:21.770Z,,34.7,,,,55,
2017-12-11T00:56:31.771Z,,34.7,,,59.8,55,
2017-12-11T00:56:41.771Z,,34.7,,,,55,
2017-12-11T00:56:51.771Z,,34.6,,,,55,
2017-12-11T00:57:01.851Z,,34.6,,,59.7,55,
2017-12-11T00:57:11.771Z,,34.6,,,,55,
2017-12-11T00:57:21.775Z,,34.4,,,,55,
2017-12-11T00:57:31.771Z,,34.4,,,,55,
2017-12-11T00:57:41.770Z,,34.4,,,59.5,55,
2017-12-11T00:57:51.771Z,,34.3,,,,55,
2017-12-11T00:58:01.850Z,,34.3,,,,55,
2017-12-11T00:58:11.770Z,,34.3,,,,55,
2017-12-11T00:58:21.771Z,,34.2,,,59.4,55,
2017-12-11T00:58:31.771Z,,34.2,,,,55,
2017-12-11T00:58:41.774Z,,34.2,,,,55,
2017-12-11T00:58:51.771Z,,34.1,,,,55,
