Time,ActPow,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive
2018-01-12T00:31:21.068Z,,55,45.1,,25.9,,
2018-01-12T00:31:31.067Z,,55,,,25.9,,
2018-01-12T00:31:41.068Z,,55,,,25.9,,
2018-01-12T00:31:51.069Z,,55,,,25.8,,
2018-01-12T00:32:01.068Z,,55,,,25.8,,
2018-01-12T00:32:11.068Z,,55,45,,25.8,,
2018-01-12T00:32:21.068Z,,55,,,25.8,,
2018-01-12T00:32:31.070Z,,55,,,25.8,,
2018-01-12T00:32:42.065Z,,55,,,25.8,,
2018-01-12T00:32:51.068Z,,55,,,25.8,,
2018-01-12T00:33:01.068Z,,55,44.9,,25.8,,
2018-01-12T00:33:11.068Z,,55,,,25.6,,
2018-01-12T00:33:21.068Z,,55,,,25.6,,
2018-01-12T00:33:31.068Z,,55,,,25.6,,
2018-01-12T00:33:41.068Z,,55,,,25.6,,
2018-01-12T00:33:51.068Z,,55,,,25.6,,
2018-01-12T00:34:01.070Z,,55,44.8,,25.6,,
2018-01-12T00:34:11.068Z,,55,,,25.6,,
2018-01-12T00:34:21.077Z,,55,,,25.6,,
2018-01-12T00:34:31.070Z,,55,,,25.5,,
2018-01-12T00:34:41.069Z,,55,,,25.5,,
2018-01-12T00:34:51.072Z,,55,,,25.5,,
2018-01-12T00:35:01.068Z,,55,,,25.5,,
2018-01-12T00:35:11.069Z,0,55,44.7,0,25.5,5,0
2018-01-12T00:35:21.068Z,,55,,,25.5,,
2018-01-12T00:35:31.068Z,,55,,,25.5,,
2018-01-12T00:35:41.068Z,,55,,,25.5,,
2018-01-12T00:35:51.068Z,,55,,,25.5,,
2018-01-12T00:36:01.069Z,,55,44.5,,25.4,,
2018-01-12T00:36:11.068Z,,55,,,25.4,,
2018-01-12T00:36:21.068Z,,55,,,25.4,,
2018-01-12T00:36:31.068Z,,55,,,25.4,,
2018-01-12T00:36:41.070Z,,55,,,25.4,,
2018-01-12T00:36:51.069Z,,55,,,25.4,,
2018-01-12T00:37:01.068Z,,55,44.4,,25.4,,
2018-01-12T00:37:11.069Z,,55,,,25.4,,
2018-01-12T00:37:21.070Z,,55,,,25.2,,
2018-01-12T00:37:31.069Z,,55,,,25.2,,
2018-01-12T00:37:41.069Z,,55,,,25.2,,
2018-01-12T00:37:51.068Z,,55,,,25.2,,
2018-01-12T00:38:02.063Z,,55,44.3,,25.2,,
2018-01-12T00:38:11.068Z,,55,,,25.2,,
2018-01-12T00:38:21.072Z,,55,,,25.2,,
2018-01-12T00:38:31.069Z,,55,,,25.2,,
2018-01-12T00:38:41.068Z,,55,,,25.1,,
2018-01-12T00:38:51.069Z,,55,44.2,,25.1,,
2018-01-12T00:39:01.069Z,,55,,,25.1,,
2018-01-12T00:39:11.072Z,,55,,,25.1,,
2018-01-12T00:39:21.069Z,,55,,,25.1,,
2018-01-12T00:39:31.069Z,,55,,,25.1,,
2018-01-12T00:39:41.069Z,,55,,,25.1,,
2018-01-12T00:39:51.069Z,,55,,,25.1,,
2018-01-12T00:40:01.071Z,,55,44.1,,24.9,,
2018-01-12T00:40:11.072Z,,55,,,24.9,,
2018-01-12T00:40:21.069Z,,55,,,24.9,,
2018-01-12T00:40:32.111Z,,55,,,24.9,,
2018-01-12T00:40:42.066Z,,55,,,24.9,,
2018-01-12T00:40:56.089Z,,55,44,,24.9,,
2018-01-12T00:41:01.069Z,,55,,,24.9,,
2018-01-12T00:41:11.069Z,,55,,,24.9,,
2018-01-12T00:41:21.070Z,,55,,,24.8,,
2018-01-12T00:41:31.070Z,,55,,,24.8,,
2018-01-12T00:41:41.069Z,,55,43.9,,24.8,,
2018-01-12T00:41:51.069Z,,55,43.9,,24.8,,
2018-01-12T00:42:01.069Z,,55,,,24.8,,
2018-01-12T00:42:11.069Z,,55,,,24.8,,
