Time,HwActive,PrimTSet,ChActive,HwTOutlet,ActPow,HwTSet,PrimT
2017-11-25T00:58:49.883Z,,,,35.9,,55,
2017-11-25T00:58:59.883Z,,,,35.9,,55,
2017-11-25T00:59:09.879Z,,,,35.9,,55,
2017-11-25T00:59:19.880Z,,,,35.8,,55,
2017-11-25T00:59:29.879Z,,,,35.8,,55,
2017-11-25T00:59:39.880Z,,,,35.8,,55,50.1
2017-11-25T00:59:49.880Z,,,,35.8,,55,
2017-11-25T00:59:59.889Z,,,,35.7,,55,
2017-11-25T01:00:09.884Z,,,,35.7,,55,
2017-11-25T01:00:19.880Z,,,,35.7,,55,
2017-11-25T01:00:29.879Z,,,,35.7,,55,
2017-11-25T01:00:40.878Z,,,,35.6,,55,
2017-11-25T01:00:49.880Z,,,,35.6,,55,50
2017-11-25T01:00:59.883Z,,,,35.6,,55,
2017-11-25T01:01:09.879Z,,,,35.6,,55,
2017-11-25T01:01:19.880Z,,,,35.4,,55,
2017-11-25T01:01:29.880Z,,,,35.4,,55,
2017-11-25T01:01:39.879Z,,,,35.4,,55,49.9
2017-11-25T01:01:49.879Z,,,,35.3,,55,
2017-11-25T01:01:59.880Z,,,,35.3,,55,
2017-11-25T01:02:09.880Z,,,,35.3,,55,
2017-11-25T01:02:19.879Z,,,,35.3,,55,
2017-11-25T01:02:29.880Z,,,,35.3,,55,
2017-11-25T01:02:39.884Z,,,,35.2,,55,
2017-11-25T01:02:49.880Z,,,,35.2,,55,49.8
2017-11-25T01:02:59.879Z,,,,35.2,,55,
2017-11-25T01:03:09.880Z,,,,35.2,,55,
2017-11-25T01:03:19.880Z,,,,35.1,,55,
2017-11-25T01:03:34.900Z,,,,35.1,,55,
2017-11-25T01:03:39.880Z,,,,35.1,,55,
2017-11-25T01:03:49.880Z,,,,35.1,,55,49.7
2017-11-25T01:03:59.885Z,,,,35.1,,55,
2017-11-25T01:04:09.879Z,,,,34.9,,55,
2017-11-25T01:04:19.880Z,,,,34.9,,55,
2017-11-25T01:04:29.880Z,,,,34.9,,55,
2017-11-25T01:04:39.880Z,,,,34.9,,55,
2017-11-25T01:04:49.880Z,,,,34.9,,55,49.5
2017-11-25T01:05:00.980Z,,,,34.8,,55,
2017-11-25T01:05:09.880Z,,,,34.8,,55,
2017-11-25T01:05:19.881Z,,,,34.8,,55,
2017-11-25T01:05:29.881Z,,,,34.8,,55,
2017-11-25T01:05:39.883Z,,,,34.7,,55,
2017-11-25T01:05:49.880Z,,,,34.7,,55,49.4
2017-11-25T01:05:59.882Z,,,,34.7,,55,
2017-11-25T01:06:09.880Z,,,,34.7,,55,
2017-11-25T01:06:25.012Z,,,,34.6,,55,
2017-11-25T01:06:29.880Z,,,,34.6,,55,
2017-11-25T01:06:39.880Z,,,,34.6,,55,
2017-11-25T01:06:49.884Z,,,,34.6,,55,49.3
2017-11-25T01:06:59.880Z,,,,34.6,,55,
2017-11-25T01:07:09.883Z,,,,34.4,,55,
2017-11-25T01:07:19.880Z,,,,34.4,,55,
2017-11-25T01:07:29.880Z,,,,34.4,,55,
2017-11-25T01:07:39.880Z,,,,34.3,,55,
2017-11-25T01:07:50.881Z,,,,34.3,,55,
2017-11-25T01:07:59.880Z,,,,34.3,,55,49.2
2017-11-25T01:08:09.881Z,,,,34.3,,55,
2017-11-25T01:08:19.881Z,,,,34.3,,55,
2017-11-25T01:08:29.882Z,,,,34.2,,55,
2017-11-25T01:08:39.881Z,,,,34.2,,55,
2017-11-25T01:08:49.881Z,,,,34.2,,55,49.1
2017-11-25T01:08:59.880Z,,,,34.2,,55,
2017-11-25T01:09:09.880Z,,,,34.1,,55,
2017-11-25T01:09:19.880Z,,,,34.1,,55,
2017-11-25T01:09:29.884Z,,,,34.1,,55,
2017-11-25T01:09:39.884Z,,,,34.1,,55,
2017-11-25T01:09:49.880Z,,,,34.1,,55,49
2017-11-25T01:09:59.881Z,,,,34,,55,
2017-11-25T01:10:09.881Z,,,,34,,55,
2017-11-25T01:10:19.881Z,,,,34,,55,
2017-11-25T01:10:29.882Z,,,,34,,55,
2017-11-25T01:10:40.872Z,,,,34,,55,
2017-11-25T01:10:49.881Z,,,,33.8,,55,48.9
2017-11-25T01:10:59.883Z,,,,33.8,,55,
2017-11-25T01:11:09.885Z,,,,33.8,,55,
2017-11-25T01:11:19.881Z,,,,33.8,,55,
2017-11-25T01:11:29.886Z,,,,33.7,,55,
2017-11-25T01:11:39.880Z,,,,33.7,,55,
2017-11-25T01:11:49.885Z,,,,33.7,,55,
2017-11-25T01:11:59.885Z,,,,33.7,,55,48.7
2017-11-25T01:12:09.885Z,,,,33.7,,55,
2017-11-25T01:12:19.884Z,,,,33.7,,55,
2017-11-25T01:12:29.881Z,,,,33.6,,55,
2017-11-25T01:12:39.881Z,,,,33.6,,55,
2017-11-25T01:12:49.886Z,,,,33.6,,55,
2017-11-25T01:12:59.881Z,,,,33.6,,55,48.6
2017-11-25T01:13:09.885Z,,,,33.5,,55,
2017-11-25T01:13:19.885Z,,,,33.5,,55,
2017-11-25T01:13:30.878Z,,,,33.5,,55,
2017-11-25T01:13:39.881Z,,,,33.5,,55,
2017-11-25T01:13:49.886Z,,,,33.5,,55,
2017-11-25T01:13:59.881Z,,,,33.3,,55,48.5
2017-11-25T01:14:09.881Z,,,,33.3,,55,
2017-11-25T01:14:19.886Z,,,,33.3,,55,
2017-11-25T01:14:29.882Z,,,,33.3,,55,
2017-11-25T01:14:39.884Z,,,,33.2,,55,
2017-11-25T01:14:49.881Z,,,,33.2,,55,
2017-11-25T01:14:59.886Z,,,,33.2,,55,48.4
2017-11-25T01:15:09.886Z,,,,33.2,,55,
2017-11-25T01:15:19.882Z,,,,33.2,,55,
