Time,PrimTSet,ActPow,ChActive,HwTOutlet,HwTSet,HwActive,PrimT
2017-12-21T00:51:23.652Z,,,,14.7,55,,17.2
2017-12-21T00:51:33.653Z,,,,14.7,55,,17
2017-12-21T00:51:43.654Z,,,,14.7,55,,
2017-12-21T00:51:53.653Z,,,,14.7,55,,
2017-12-21T00:52:03.653Z,,,,14.7,55,,
2017-12-21T00:52:13.653Z,,,,14.7,55,,
2017-12-21T00:52:23.653Z,,,,14.7,55,,
2017-12-21T00:52:33.655Z,,,,14.7,55,,
2017-12-21T00:52:43.653Z,,,,14.7,55,,
2017-12-21T00:52:53.653Z,,,,14.7,55,,
2017-12-21T00:53:03.653Z,,,,14.7,55,,
2017-12-21T00:53:13.653Z,,,,14.7,55,,
2017-12-21T00:53:23.654Z,,,,14.7,55,,
2017-12-21T00:53:38.948Z,,,,14.7,55,,
2017-12-21T00:53:43.653Z,,,,14.7,55,,
2017-12-21T00:53:53.656Z,,,,14.7,55,,
2017-12-21T00:54:03.654Z,,,,14.7,55,,
2017-12-21T00:54:13.653Z,,,,14.7,55,,
2017-12-21T00:54:23.653Z,,,,14.7,55,,
2017-12-21T00:54:33.653Z,,,,14.7,55,,
2017-12-21T00:54:43.653Z,,,,14.7,55,,
2017-12-21T00:54:53.653Z,,,,14.7,55,,
2017-12-21T00:55:04.645Z,,,,14.7,55,,
2017-12-21T00:55:13.655Z,,,,14.7,55,,
2017-12-21T00:55:23.654Z,,,,14.7,55,,
2017-12-21T00:55:33.654Z,,,,14.7,55,,
2017-12-21T00:55:43.653Z,,,,14.7,55,,
2017-12-21T00:55:53.653Z,,,,14.7,55,,
2017-12-21T00:56:03.653Z,,,,14.7,55,,
2017-12-21T00:56:13.653Z,,,,14.7,55,,
2017-12-21T00:56:23.653Z,,,,14.7,55,,
2017-12-21T00:56:33.654Z,,,,14.7,55,,
2017-12-21T00:56:43.653Z,,,,14.7,55,,
2017-12-21T00:56:53.654Z,,,,14.7,55,,
2017-12-21T00:57:03.664Z,,,,14.7,55,,
2017-12-21T00:57:13.654Z,,,,14.7,55,,
2017-12-21T00:57:23.654Z,,,,14.7,55,,
2017-12-21T00:57:33.654Z,,,,14.7,55,,
2017-12-21T00:57:43.654Z,,,,14.7,55,,
2017-12-21T00:57:55.010Z,,,,14.7,55,,
2017-12-21T00:58:03.654Z,,,,14.7,55,,
2017-12-21T00:58:13.653Z,,,,14.7,55,,
2017-12-21T00:58:23.654Z,,,,14.7,55,,
2017-12-21T00:58:33.654Z,,,,14.7,55,,
2017-12-21T00:58:43.654Z,,,,14.7,55,,
2017-12-21T00:58:53.654Z,,,,14.7,55,,
2017-12-21T00:59:03.654Z,,,,14.7,55,,
2017-12-21T00:59:13.655Z,,,,14.7,55,,
2017-12-21T00:59:23.654Z,,,,14.7,55,,
2017-12-21T00:59:33.654Z,,,,14.7,55,,
2017-12-21T00:59:43.654Z,,,,14.7,55,,
2017-12-21T00:59:53.654Z,,,,14.7,55,,
2017-12-21T01:00:03.654Z,,,,14.7,55,,
2017-12-21T01:00:13.654Z,,,,14.7,55,,
2017-12-21T01:00:23.654Z,,,,14.7,55,,
2017-12-21T01:00:33.657Z,,,,14.7,55,,
2017-12-21T01:00:44.653Z,,,,14.7,55,,
2017-12-21T01:00:53.654Z,,,,14.7,55,,
2017-12-21T01:01:03.654Z,,,,14.7,55,,
2017-12-21T01:01:13.654Z,,,,14.7,55,,
2017-12-21T01:01:23.654Z,,,,14.7,55,,
2017-12-21T01:01:33.654Z,,,,14.7,55,,
2017-12-21T01:01:43.654Z,,,,14.7,55,,
2017-12-21T01:01:53.654Z,,,,14.7,55,,
2017-12-21T01:02:03.654Z,,,,14.7,55,,
2017-12-21T01:02:13.654Z,,,,14.7,55,,
2017-12-21T01:02:23.656Z,,,,14.7,55,,
2017-12-21T01:02:33.654Z,,,,14.7,55,,
2017-12-21T01:02:43.655Z,,,,14.7,55,,
2017-12-21T01:02:53.654Z,,,,14.7,55,,
2017-12-21T01:03:03.654Z,,,,14.7,55,,
2017-12-21T01:03:13.654Z,,,,14.7,55,,
2017-12-21T01:03:23.654Z,,,,14.7,55,,
2017-12-21T01:03:34.647Z,,,,14.7,55,,
2017-12-21T01:03:43.654Z,,,,14.7,55,,
2017-12-21T01:03:53.654Z,,,,14.7,55,,
2017-12-21T01:04:03.654Z,,,,14.7,55,,
2017-12-21T01:04:13.654Z,,,,14.7,55,,
2017-12-21T01:04:23.656Z,,,,14.7,55,,
2017-12-21T01:04:33.655Z,,,,14.7,55,,
2017-12-21T01:04:43.656Z,,,,14.7,55,,
2017-12-21T01:04:53.655Z,,,,14.7,55,,
2017-12-21T01:05:03.654Z,,,,14.7,55,,
2017-12-21T01:05:13.655Z,,,,14.7,55,,
2017-12-21T01:05:23.655Z,,,,14.7,55,,
2017-12-21T01:05:33.655Z,,,,14.7,55,,
2017-12-21T01:05:43.655Z,,,,14.7,55,,
2017-12-21T01:05:53.661Z,,,,14.7,55,,17
2017-12-21T01:06:03.655Z,,,,14.7,55,,17
2017-12-21T01:06:13.654Z,,,,14.7,55,,
2017-12-21T01:06:24.651Z,,,,14.7,55,,
2017-12-21T01:06:33.655Z,,,,14.7,55,,
2017-12-21T01:06:43.655Z,,,,14.7,55,,16.8
2017-12-21T01:06:53.655Z,,,,14.7,55,,17
2017-12-21T01:07:03.655Z,,,,14.7,55,,17
2017-12-21T01:07:13.655Z,,,,14.6,55,,17
2017-12-21T01:07:23.657Z,,,,14.7,55,,16.8
2017-12-21T01:07:33.656Z,,,,14.6,55,,17
2017-12-21T01:07:43.655Z,,,,14.7,55,,17
2017-12-21T01:07:53.655Z,,,,14.7,55,,16.8
2017-12-21T01:08:03.655Z,,,,14.7,55,,16.8
2017-12-21T01:08:13.655Z,,,,14.6,55,,16.8
2017-12-21T01:08:23.655Z,,,,14.7,55,,17
2017-12-21T01:08:33.655Z,,,,14.6,55,,16.8
2017-12-21T01:08:43.655Z,,,,14.7,55,,16.8
2017-12-21T01:08:53.655Z,,,,14.7,55,,
2017-12-21T01:09:03.655Z,,,,14.7,55,,16.8
2017-12-21T01:09:18.675Z,,,,14.7,55,,16.8
2017-12-21T01:09:23.655Z,,,,14.6,55,,
2017-12-21T01:09:33.656Z,,,,14.7,55,,16.8
2017-12-21T01:09:43.655Z,,,,14.7,55,,17
2017-12-21T01:09:53.655Z,,,,14.7,55,,16.8
2017-12-21T01:10:03.655Z,,,,14.7,55,,
2017-12-21T01:10:13.655Z,,,,14.7,55,,
2017-12-21T01:10:23.655Z,,,,14.7,55,,
2017-12-21T01:10:33.656Z,,,,14.7,55,,16.8
2017-12-21T01:10:43.655Z,,,,14.7,55,,
2017-12-21T01:10:53.655Z,,,,14.7,55,,
2017-12-21T01:11:03.655Z,,,,14.7,55,,
2017-12-21T01:11:13.655Z,,,,14.6,55,,17
2017-12-21T01:11:23.656Z,,,,14.7,55,,16.8
2017-12-21T01:11:33.656Z,,,,14.7,55,,
2017-12-21T01:11:43.655Z,,,,14.6,55,,
2017-12-21T01:11:53.655Z,,,,14.7,55,,
2017-12-21T01:12:03.662Z,,,,14.6,55,,
2017-12-21T01:12:13.657Z,,,,14.7,55,,
2017-12-21T01:12:23.657Z,,,,14.7,55,,
2017-12-21T01:12:33.656Z,,,,14.7,55,,
2017-12-21T01:12:43.656Z,,,,14.7,55,,
2017-12-21T01:12:53.656Z,,,,14.7,55,,
2017-12-21T01:13:03.656Z,,,,14.7,55,,
2017-12-21T01:13:13.656Z,,,,14.6,55,,
2017-12-21T01:13:23.656Z,,,,14.6,55,,
2017-12-21T01:13:33.659Z,,,,14.7,55,,
2017-12-21T01:13:43.656Z,,,,14.7,55,,
2017-12-21T01:13:53.656Z,,,,14.6,55,,
2017-12-21T01:14:03.656Z,,,,14.7,55,,
2017-12-21T01:14:13.656Z,,,,14.7,55,,
2017-12-21T01:14:23.656Z,,,,14.6,55,,
2017-12-21T01:14:34.700Z,,,,14.6,55,,
2017-12-21T01:14:43.656Z,,,,14.6,55,,
2017-12-21T01:14:59.674Z,,,,14.7,55,,
2017-12-21T01:15:03.656Z,,,,14.7,55,,
2017-12-21T01:15:13.658Z,,,,14.6,55,,
2017-12-21T01:15:23.656Z,,,,14.6,55,,
2017-12-21T01:15:33.656Z,,,,14.6,55,,
2017-12-21T01:15:43.656Z,,,,14.6,55,,
2017-12-21T01:15:53.656Z,,,,14.7,55,,
2017-12-21T01:16:03.657Z,,,,14.6,55,,
2017-12-21T01:16:13.656Z,,,,14.7,55,,
2017-12-21T01:16:24.656Z,,,,14.6,55,,
2017-12-21T01:16:33.656Z,,,,14.6,55,,
2017-12-21T01:16:43.656Z,,,,14.7,55,,
2017-12-21T01:16:53.656Z,,,,14.7,55,,
2017-12-21T01:17:03.657Z,,,,14.7,55,,
2017-12-21T01:17:13.657Z,,,,14.7,55,,
2017-12-21T01:17:23.670Z,,,,14.6,55,,
2017-12-21T01:17:33.656Z,,,,14.6,55,,
2017-12-21T01:17:43.657Z,,,,14.6,55,,
2017-12-21T01:17:53.656Z,,,,14.6,55,,
2017-12-21T01:18:03.656Z,,,,14.6,55,,
2017-12-21T01:18:13.656Z,,,,14.6,55,,
2017-12-21T01:18:23.656Z,,,,14.6,55,,
2017-12-21T01:18:33.657Z,,,,14.6,55,,
2017-12-21T01:18:43.658Z,,,,14.6,55,,
2017-12-21T01:18:53.657Z,,,,14.6,55,,
2017-12-21T01:19:03.656Z,,,,14.7,55,,
2017-12-21T01:19:13.656Z,,,,14.6,55,,
2017-12-21T01:19:23.656Z,,,,14.6,55,,
2017-12-21T01:19:33.657Z,,,,14.6,55,,
2017-12-21T01:19:43.657Z,,,,14.6,55,,
2017-12-21T01:19:53.657Z,,,,14.6,55,,
2017-12-21T01:20:03.657Z,,,,14.6,55,,
2017-12-21T01:20:18.676Z,,,,14.6,55,,
2017-12-21T01:20:23.657Z,,,,14.6,55,,
2017-12-21T01:20:33.657Z,,,,14.6,55,,
