Time,PrimT,ChActive,PrimTSet,ActPow,HwTSet,HwTOutlet,HwActive
2018-01-17T01:06:25.032Z,70.2,,,51,55,58.3,
2018-01-17T01:06:35.037Z,70.9,,,29,55,58.2,
2018-01-17T01:06:45.032Z,68.8,,,,55,58.1,
2018-01-17T01:06:55.032Z,67.8,,,,55,58,
2018-01-17T01:07:05.032Z,66.8,,,,55,57.8,
2018-01-17T01:07:15.032Z,65.9,,,,55,57.7,
2018-01-17T01:07:25.032Z,66,,,,55,57.6,
2018-01-17T01:07:35.031Z,66.3,,,,55,57.5,
2018-01-17T01:07:45.032Z,66.4,,,,55,57.5,
2018-01-17T01:07:55.036Z,,,,,55,57.4,
2018-01-17T01:08:05.032Z,66.3,,,,55,57.3,
2018-01-17T01:08:15.036Z,66.4,,,,55,57.3,
2018-01-17T01:08:25.032Z,,,,,55,57.2,
2018-01-17T01:08:35.032Z,,,,,55,57.2,
2018-01-17T01:08:45.033Z,,,,,55,57.2,
2018-01-17T01:08:55.032Z,,,,,55,57,
2018-01-17T01:09:05.038Z,,,,,55,57,
2018-01-17T01:09:15.032Z,,,,,55,57,
2018-01-17T01:09:30.116Z,66.5,,,,55,56.9,
2018-01-17T01:09:35.032Z,,,,,55,56.9,
2018-01-17T01:09:45.032Z,66.7,,,,55,56.9,
2018-01-17T01:09:55.032Z,,,,,55,56.9,
2018-01-17T01:10:05.032Z,66.8,,,,55,56.9,
2018-01-17T01:10:15.037Z,,,,,55,56.8,
2018-01-17T01:10:25.032Z,,,,,55,56.8,
2018-01-17T01:10:35.032Z,67.1,,,,55,56.8,
2018-01-17T01:10:45.032Z,,,,,55,56.8,
2018-01-17T01:10:55.032Z,,,,,55,56.8,
2018-01-17T01:11:05.032Z,,,,,55,56.8,
2018-01-17T01:11:15.033Z,67.2,,,,55,56.8,
2018-01-17T01:11:25.035Z,67.3,,,,55,56.8,
2018-01-17T01:11:35.033Z,,,,,55,56.8,
2018-01-17T01:11:45.032Z,,,,,55,56.8,
2018-01-17T01:11:55.033Z,67.4,,,,55,56.8,
2018-01-17T01:12:05.032Z,,,,,55,56.8,
2018-01-17T01:12:15.032Z,67.6,,,,55,56.8,
2018-01-17T01:12:25.032Z,67.4,,,,55,56.8,
2018-01-17T01:12:35.033Z,67.6,,,,55,56.8,
2018-01-17T01:12:45.033Z,,,,,55,56.8,
2018-01-17T01:12:55.033Z,,,,,55,56.8,
2018-01-17T01:13:05.032Z,67.7,,,,55,56.8,
2018-01-17T01:13:15.037Z,,,,,55,56.8,
2018-01-17T01:13:25.032Z,67.8,,,,55,56.8,
2018-01-17T01:13:35.033Z,,,,,55,56.8,
2018-01-17T01:13:45.033Z,,,,,55,56.8,
2018-01-17T01:13:55.033Z,,,,,55,56.8,
2018-01-17T01:14:05.033Z,,,,,55,56.8,
2018-01-17T01:14:15.033Z,,,,,55,56.8,
2018-01-17T01:14:25.032Z,67.9,,,,55,56.8,
2018-01-17T01:14:35.033Z,,,,,55,56.8,
2018-01-17T01:14:45.033Z,68.1,1,,0,55,56.8,0
2018-01-17T01:14:55.033Z,67.9,,,,55,56.9,
2018-01-17T01:15:05.033Z,67,,,,55,56.9,
2018-01-17T01:15:15.038Z,64.9,,,,55,56.8,
2018-01-17T01:15:25.033Z,,,,,55,56.9,
2018-01-17T01:15:35.033Z,64.4,,,,55,56.9,
2018-01-17T01:15:45.033Z,,,,,55,56.9,
2018-01-17T01:15:55.034Z,64.6,,,,55,56.9,
2018-01-17T01:16:05.033Z,64.4,,,,55,56.9,
2018-01-17T01:16:15.033Z,63.8,,,,55,56.9,
2018-01-17T01:16:25.033Z,63.7,,,,55,56.8,
2018-01-17T01:16:35.033Z,63.4,,,,55,56.8,
2018-01-17T01:16:45.033Z,62.9,,,,55,56.7,
2018-01-17T01:16:55.033Z,62.8,,,,55,56.7,
2018-01-17T01:17:05.033Z,62.4,,,,55,56.6,
2018-01-17T01:17:15.035Z,62.2,,,,55,56.6,
2018-01-17T01:17:25.033Z,61.9,,,,55,56.5,
2018-01-17T01:17:35.033Z,61.7,,,,55,56.4,
2018-01-17T01:17:45.122Z,61.4,,,,55,56.4,
2018-01-17T01:17:55.033Z,64.2,1,,79,55,56.2,0
2018-01-17T01:18:05.034Z,71.2,,,52,55,56.1,
2018-01-17T01:18:15.033Z,72.8,,,29,55,56,
2018-01-17T01:18:25.033Z,69.7,,,,55,55.9,
2018-01-17T01:18:35.033Z,67.8,,,,55,55.9,
2018-01-17T01:18:45.034Z,65.7,,,,55,55.8,
2018-01-17T01:18:55.033Z,64.7,,,,55,55.7,
2018-01-17T01:19:15.034Z,65,,,,55,55.6,
2018-01-17T01:19:28.144Z,65.1,,,,55,55.5,
2018-01-17T01:19:35.033Z,65.3,,,,55,55.5,
2018-01-17T01:19:45.034Z,65.4,,,,55,55.3,
2018-01-17T01:19:55.035Z,65.3,,,,55,55.3,
2018-01-17T01:20:05.033Z,65.4,,,,55,55.3,
2018-01-17T01:20:15.034Z,65.5,,,,55,55.3,
