Time,HwActive,ChActive,ActPow,PrimT,PrimTSet,HwTOutlet,HwTSet
2018-01-10T01:18:12.689Z,,,,,,36.9,55
2018-01-10T01:18:22.689Z,,,,,,36.8,55
2018-01-10T01:18:32.689Z,,,,50.9,,36.8,55
2018-01-10T01:18:42.689Z,,,,,,36.8,55
2018-01-10T01:18:52.692Z,,,,,,36.7,55
2018-01-10T01:19:02.689Z,,,,,,36.7,55
2018-01-10T01:19:12.689Z,,,,,,36.5,55
2018-01-10T01:19:22.689Z,,,,50.8,,36.5,55
2018-01-10T01:19:32.689Z,,,,,,36.5,55
2018-01-10T01:19:42.691Z,,,,,,36.4,55
2018-01-10T01:19:52.689Z,,,,,,36.4,55
2018-01-10T01:20:02.689Z,,,,50.7,,36.4,55
2018-01-10T01:20:12.689Z,,,,,,36.3,55
2018-01-10T01:20:22.689Z,,,,,,36.3,55
