Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTSet,HwTOutlet
2017-12-25T00:57:53.462Z,,,,,,55,12.6
2017-12-25T00:58:03.461Z,,,,,,55,12.8
2017-12-25T00:58:13.460Z,12.3,,,,,55,12.6
2017-12-25T00:58:23.461Z,12.3,0,0,5,0,55,12.6
2017-12-25T00:58:33.460Z,,,,,,55,12.6
2017-12-25T00:58:44.456Z,12.5,,,,,55,12.8
2017-12-25T00:58:53.460Z,,,,,,55,12.6
2017-12-25T00:59:03.461Z,12.3,,,,,55,12.8
2017-12-25T00:59:13.462Z,12.5,,,,,55,12.8
2017-12-25T00:59:23.462Z,12.3,,,,,55,12.8
2017-12-25T00:59:33.469Z,,,,,,55,12.6
2017-12-25T00:59:43.461Z,12.5,,,,,55,12.8
2017-12-25T00:59:53.461Z,12.3,,,,,55,12.8
2017-12-25T01:00:03.461Z,12.5,,,,,55,12.6
2017-12-25T01:00:13.460Z,,,,,,55,12.6
2017-12-25T01:00:23.464Z,,,,,,55,12.6
2017-12-25T01:00:33.461Z,,,,,,55,12.6
2017-12-25T01:00:43.461Z,,,,,,55,12.8
2017-12-25T01:00:53.461Z,,,,,,55,12.8
2017-12-25T01:01:03.461Z,12.3,,,,,55,12.6
2017-12-25T01:01:13.465Z,,,,,,55,12.6
2017-12-25T01:01:23.461Z,,,,,,55,12.8
2017-12-25T01:01:34.461Z,12.5,,,,,55,12.8
2017-12-25T01:01:43.468Z,12.3,,,,,55,12.6
2017-12-25T01:01:53.461Z,12.5,,,,,55,12.6
2017-12-25T01:02:03.461Z,,,,,,55,12.8
2017-12-25T01:02:13.465Z,12.3,,,,,55,12.8
2017-12-25T01:02:23.462Z,12.5,,,,,55,12.6
2017-12-25T01:02:33.462Z,,,,,,55,12.8
2017-12-25T01:02:43.462Z,,,,,,55,12.6
2017-12-25T01:02:53.461Z,,,,,,55,12.6
2017-12-25T01:03:03.467Z,,,,,,55,12.6
2017-12-25T01:03:13.467Z,,,,,,55,12.8
2017-12-25T01:03:23.471Z,,,,,,55,12.8
2017-12-25T01:03:33.461Z,12.3,,,,,55,12.6
2017-12-25T01:03:43.477Z,12.5,,,,,55,12.6
2017-12-25T01:03:53.472Z,12.3,,,,,55,12.8
2017-12-25T01:04:03.462Z,12.5,,,,,55,12.8
2017-12-25T01:04:13.467Z,12.3,,,,,55,12.6
2017-12-25T01:04:24.460Z,12.5,,,,,55,12.6
2017-12-25T01:04:33.466Z,12.3,,,,,55,12.8
2017-12-25T01:04:43.466Z,12.5,,,,,55,12.8
2017-12-25T01:04:53.461Z,12.3,,,,,55,12.6
2017-12-25T01:05:03.462Z,12.5,,,,,55,12.8
2017-12-25T01:05:13.462Z,,,,,,55,12.8
2017-12-25T01:05:23.463Z,,,,,,55,12.6
2017-12-25T01:05:33.462Z,12.3,,,,,55,12.6
2017-12-25T01:05:43.467Z,12.5,,,,,55,12.6
2017-12-25T01:05:53.767Z,,,,,,55,12.8
2017-12-25T01:06:03.467Z,,,,,,55,12.8
2017-12-25T01:06:13.461Z,,,,,,55,12.6
2017-12-25T01:06:23.467Z,,,,,,55,12.6
2017-12-25T01:06:33.462Z,,,,,,55,12.6
2017-12-25T01:06:43.461Z,,,,,,55,12.6
2017-12-25T01:06:53.462Z,12.3,,,,,55,12.6
2017-12-25T01:07:03.462Z,12.5,,,,,55,12.6
2017-12-25T01:07:13.465Z,,,,,,55,12.6
2017-12-25T01:07:23.466Z,12.3,,,,,55,12.6
2017-12-25T01:07:33.461Z,,,,,,55,12.6
2017-12-25T01:07:43.461Z,12.5,,,,,55,12.6
2017-12-25T01:07:53.462Z,,,,,,55,12.8
2017-12-25T01:08:03.462Z,,,,,,55,12.6
2017-12-25T01:08:13.461Z,,,,,,55,12.8
2017-12-25T01:08:23.462Z,12.3,,,,,55,12.6
2017-12-25T01:08:33.476Z,12.5,,,,,55,12.6
2017-12-25T01:08:44.460Z,,,,,,55,12.8
2017-12-25T01:08:53.467Z,,,,,,55,12.6
2017-12-25T01:09:03.463Z,,,,,,55,12.6
2017-12-25T01:09:13.462Z,,,,,,55,12.8
2017-12-25T01:09:23.462Z,12.3,,,,,55,12.6
2017-12-25T01:09:33.463Z,12.5,,,,,55,12.8
2017-12-25T01:09:43.462Z,12.3,,,,,55,12.6
2017-12-25T01:09:53.464Z,12.5,,,,,55,12.8
2017-12-25T01:10:03.462Z,12.3,,,,,55,12.8
2017-12-25T01:10:13.463Z,,,,,,55,12.8
2017-12-25T01:10:23.463Z,12.5,,,,,55,12.8
2017-12-25T01:10:33.463Z,12.3,,,,,55,12.6
2017-12-25T01:10:43.465Z,,,,,,55,12.8
2017-12-25T01:10:53.463Z,12.5,,,,,55,12.6
2017-12-25T01:11:03.463Z,,,,,,55,12.6
2017-12-25T01:11:13.462Z,,,,,,55,12.6
2017-12-25T01:11:23.462Z,,,,,,55,12.8
2017-12-25T01:11:34.460Z,,,,,,55,12.6
2017-12-25T01:11:43.464Z,,,,,,55,12.8
2017-12-25T01:11:53.467Z,,,,,,55,12.6
2017-12-25T01:12:03.463Z,,,,,,55,12.8
2017-12-25T01:12:13.463Z,12.3,,,,,55,12.6
2017-12-25T01:12:23.466Z,12.5,,,,,55,12.6
2017-12-25T01:12:33.466Z,12.3,,,,,55,12.8
2017-12-25T01:12:43.464Z,12.5,,,,,55,12.8
