Time,ActPow,PrimT,HwTOutlet,HwActive,ChActive,PrimTSet,HwTSet
2017-11-19T00:49:11.743Z,,,35.7,,,,55
2017-11-19T00:49:21.743Z,,53,35.7,,,,55
2017-11-19T00:49:31.834Z,,,35.6,,,,55
2017-11-19T00:49:41.744Z,,,35.6,,,,55
2017-11-19T00:49:51.743Z,,,35.6,,,,55
2017-11-19T00:50:01.743Z,,52.9,35.6,,,,55
2017-11-19T00:50:11.743Z,,,35.4,,,,55
2017-11-19T00:50:21.744Z,,,35.4,,,,55
2017-11-19T00:50:31.834Z,,,35.4,,,,55
2017-11-19T00:50:41.743Z,,,35.3,,,,55
2017-11-19T00:50:51.855Z,,,35.3,,,,55
2017-11-19T00:51:07.765Z,,52.8,35.3,,,,55
2017-11-19T00:51:11.744Z,,,35.3,,,,55
2017-11-19T00:51:21.743Z,,,35.2,,,,55
2017-11-19T00:51:31.830Z,,,35.2,,,,55
2017-11-19T00:51:41.744Z,,,35.2,,,,55
2017-11-19T00:51:51.744Z,,52.7,35.2,,,,55
2017-11-19T00:52:01.743Z,,,35.1,,,,55
2017-11-19T00:52:11.744Z,,,35.1,,,,55
2017-11-19T00:52:21.744Z,,,35.1,,,,55
2017-11-19T00:52:31.836Z,,,35.1,,,,55
2017-11-19T00:52:41.746Z,,52.6,34.9,,,,55
2017-11-19T00:52:51.744Z,,,34.9,,,,55
2017-11-19T00:53:01.744Z,,,34.9,,,,55
2017-11-19T00:53:11.744Z,,,34.9,,,,55
2017-11-19T00:53:21.744Z,,,34.8,,,,55
2017-11-19T00:53:31.896Z,,52.4,34.8,,,,55
2017-11-19T00:53:41.748Z,,,34.8,,,,55
2017-11-19T00:53:51.744Z,,,34.8,,,,55
2017-11-19T00:54:01.748Z,,,34.7,,,,55
2017-11-19T00:54:11.744Z,,52.3,34.7,,,,55
2017-11-19T00:54:21.744Z,,,34.7,,,,55
2017-11-19T00:54:31.834Z,,,34.7,,,,55
2017-11-19T00:54:41.744Z,,,34.6,,,,55
2017-11-19T00:54:51.747Z,,,34.6,,,,55
2017-11-19T00:55:01.744Z,,52.2,34.6,,,,55
2017-11-19T00:55:11.744Z,,,34.6,,,,55
2017-11-19T00:55:22.741Z,,,34.4,,,,55
2017-11-19T00:55:31.835Z,,,34.4,,,,55
2017-11-19T00:55:41.744Z,,,34.4,,,,55
2017-11-19T00:55:51.744Z,,52.1,34.4,,,,55
2017-11-19T00:56:01.744Z,,,34.3,,,,55
2017-11-19T00:56:11.745Z,,,34.3,,,,55
2017-11-19T00:56:21.744Z,,,34.3,,,,55
2017-11-19T00:56:31.824Z,,,34.3,,,,55
2017-11-19T00:56:41.744Z,,52,34.2,,,,55
2017-11-19T00:56:51.745Z,,,34.2,,,,55
2017-11-19T00:57:01.746Z,,,34.2,,,,55
2017-11-19T00:57:11.749Z,,,34.2,,,,55
2017-11-19T00:57:21.744Z,,,34.1,,,,55
2017-11-19T00:57:31.824Z,,51.9,34.1,,,,55
2017-11-19T00:57:41.744Z,,,34.1,,,,55
2017-11-19T00:57:51.746Z,,,34.1,,,,55
2017-11-19T00:58:01.745Z,,,34.1,,,,55
2017-11-19T00:58:12.740Z,,,34,,,,55
2017-11-19T00:58:21.747Z,,51.8,34,,,,55
2017-11-19T00:58:31.835Z,,,34,,,,55
2017-11-19T00:58:41.745Z,,,34,,,,55
2017-11-19T00:58:51.767Z,,,33.8,,,,55
2017-11-19T00:59:01.746Z,,,33.8,,,,55
2017-11-19T00:59:11.748Z,,,33.8,,,,55
2017-11-19T00:59:21.748Z,,51.7,33.8,,,,55
2017-11-19T00:59:31.835Z,,,33.7,,,,55
2017-11-19T00:59:41.745Z,,,33.7,,,,55
2017-11-19T00:59:51.750Z,,,33.7,,,,55
2017-11-19T01:00:01.744Z,,51.6,33.7,,,,55
2017-11-19T01:00:11.748Z,,,33.6,,,,55
2017-11-19T01:00:21.749Z,,,33.6,,,,55
2017-11-19T01:00:31.825Z,,,33.6,,,,55
2017-11-19T01:00:41.745Z,,,33.6,,,,55
2017-11-19T01:00:51.744Z,,,33.5,,,,55
2017-11-19T01:01:01.796Z,,51.4,33.5,,,,55
2017-11-19T01:01:11.745Z,,,33.5,,,,55
2017-11-19T01:01:21.746Z,,,33.5,,,,55
2017-11-19T01:01:31.825Z,,,33.5,,,,55
2017-11-19T01:01:41.745Z,,51.3,33.3,,,,55
2017-11-19T01:01:51.745Z,,,33.3,,,,55
2017-11-19T01:02:01.745Z,,,33.3,,,,55
2017-11-19T01:02:11.745Z,,,33.3,,,,55
2017-11-19T01:02:21.750Z,,,33.2,,,,55
2017-11-19T01:02:31.839Z,,51.2,33.2,,,,55
2017-11-19T01:02:41.745Z,,,33.2,,,,55
2017-11-19T01:02:51.747Z,,,33.2,,,,55
2017-11-19T01:03:01.749Z,,,33.1,,,,55
2017-11-19T01:03:11.745Z,,,33.1,,,,55
2017-11-19T01:03:21.749Z,,,33.1,,,,55
2017-11-19T01:03:31.825Z,,51.1,33.1,,,,55
2017-11-19T01:03:41.745Z,,,33.1,,,,55
2017-11-19T01:03:56.765Z,,,33,,,,55
2017-11-19T01:04:01.745Z,,,33,,,,55
2017-11-19T01:04:11.747Z,,51,33,,,,55
2017-11-19T01:04:21.748Z,,,33,,,,55
2017-11-19T01:04:31.825Z,,,33,,,,55
2017-11-19T01:04:41.748Z,,,32.8,,,,55
2017-11-19T01:04:51.745Z,,,32.8,,,,55
2017-11-19T01:05:01.749Z,,,32.8,,,,55
2017-11-19T01:05:11.745Z,,50.9,32.8,,,,55
2017-11-19T01:05:21.748Z,,,32.7,,,,55
2017-11-19T01:05:31.840Z,,,32.7,,,,55
2017-11-19T01:05:41.745Z,,,32.7,,,,55
2017-11-19T01:05:51.749Z,,,32.7,,,,55
2017-11-19T01:06:01.745Z,,50.8,32.7,,,,55
2017-11-19T01:06:11.745Z,,,32.6,,,,55
2017-11-19T01:06:21.745Z,,,32.6,,,,55
2017-11-19T01:06:31.842Z,,,32.6,,,,55
2017-11-19T01:06:46.830Z,,,32.6,,,,55
2017-11-19T01:06:51.748Z,,50.7,32.6,,,,55
2017-11-19T01:07:01.749Z,,,32.5,,,,55
2017-11-19T01:07:11.750Z,,,32.5,,,,55
2017-11-19T01:07:21.745Z,,,32.5,,,,55
2017-11-19T01:07:31.841Z,,,32.5,,,,55
2017-11-19T01:07:41.746Z,,50.6,32.3,,,,55
2017-11-19T01:07:51.748Z,,,32.3,,,,55
2017-11-19T01:08:01.749Z,,,32.3,,,,55
2017-11-19T01:08:11.745Z,,,32.3,,,,55
2017-11-19T01:08:21.748Z,,,32.3,,,,55
2017-11-19T01:08:31.828Z,,50.4,32.2,,,,55
2017-11-19T01:08:41.750Z,,,32.2,,,,55
2017-11-19T01:08:51.745Z,,,32.2,,,,55
2017-11-19T01:09:01.749Z,,,32.2,,,,55
2017-11-19T01:09:11.750Z,,,32.2,,,,55
2017-11-19T01:09:21.746Z,,,32.1,,,,55
2017-11-19T01:09:31.829Z,,50.3,32.1,,,,55
2017-11-19T01:09:41.750Z,,,32.1,,,,55
2017-11-19T01:09:51.750Z,,,32.1,,,,55
2017-11-19T01:10:01.746Z,,,32.1,,,,55
2017-11-19T01:10:11.746Z,,,32,,,,55
2017-11-19T01:10:21.748Z,,50.2,32,,,,55
2017-11-19T01:10:31.829Z,,,32,,,,55
2017-11-19T01:10:41.746Z,,,32,,,,55
2017-11-19T01:10:51.754Z,,,31.9,,,,55
2017-11-19T01:11:02.743Z,,,31.9,,,,55
2017-11-19T01:11:11.750Z,,50.1,31.9,,,,55
2017-11-19T01:11:21.746Z,,,31.9,,,,55
2017-11-19T01:11:31.846Z,,,31.9,,,,55
2017-11-19T01:11:41.746Z,,,31.9,,,,55
2017-11-19T01:11:51.746Z,,,31.7,,,,55
2017-11-19T01:12:01.751Z,,50,31.7,,,,55
2017-11-19T01:12:11.746Z,,,31.7,,,,55
2017-11-19T01:12:21.751Z,,,31.7,,,,55
2017-11-19T01:12:31.827Z,,,31.7,,,,55
2017-11-19T01:12:41.751Z,,,31.6,,,,55
2017-11-19T01:12:51.751Z,,49.9,31.6,,,,55
