Time,PrimTSet,HwTOutlet,PrimT,HwActive,HwTSet,ActPow,ChActive
2018-02-12T01:07:46.023Z,,25.4,,,55,,
2018-02-12T01:07:55.024Z,,25.4,,,55,,
2018-02-12T01:08:05.024Z,,25.4,,,55,,
2018-02-12T01:08:15.023Z,,25.4,,,55,,
2018-02-12T01:08:25.024Z,,25.4,46.9,,55,,
2018-02-12T01:08:35.023Z,,25.4,,,55,,
2018-02-12T01:08:45.023Z,,25.4,,,55,,
2018-02-12T01:08:55.023Z,,25.2,,,55,,
2018-02-12T01:09:06.014Z,,25.2,,,55,,
2018-02-12T01:09:15.023Z,,25.2,46.8,,55,,
2018-02-12T01:09:25.023Z,,25.2,,,55,,
2018-02-12T01:09:35.023Z,,25.2,,,55,,
2018-02-12T01:09:45.025Z,,25.2,,,55,,
2018-02-12T01:09:55.026Z,,25.1,46.7,,55,,
2018-02-12T01:10:05.023Z,,25.1,,,55,,
2018-02-12T01:10:15.023Z,,25.1,,,55,,
2018-02-12T01:10:25.023Z,,25.1,,,55,,
2018-02-12T01:10:40.043Z,,25.1,,,55,,
2018-02-12T01:10:45.026Z,,25.1,46.6,,55,,
2018-02-12T01:10:55.024Z,,24.9,,,55,,
2018-02-12T01:11:05.028Z,,24.9,,,55,,
2018-02-12T01:11:15.023Z,,24.9,,,55,,
2018-02-12T01:11:25.023Z,,24.9,,,55,,
2018-02-12T01:11:35.032Z,,24.9,,,55,,
2018-02-12T01:11:45.024Z,,24.9,46.5,,55,,
2018-02-12T01:11:55.024Z,,24.9,,,55,,
2018-02-12T01:12:05.023Z,,24.9,,,55,,
2018-02-12T01:12:15.025Z,,24.8,,,55,,
2018-02-12T01:12:25.024Z,,24.8,,,55,,
2018-02-12T01:12:35.025Z,,24.8,46.4,,55,,
2018-02-12T01:12:45.023Z,,24.8,,,55,,
2018-02-12T01:12:55.024Z,,24.8,,,55,,
2018-02-12T01:13:05.024Z,,24.8,,,55,,
2018-02-12T01:13:15.024Z,,24.8,,,55,,
2018-02-12T01:13:30.044Z,,24.6,46.2,,55,,
2018-02-12T01:13:35.024Z,,24.6,,,55,,
2018-02-12T01:13:45.027Z,,24.6,,,55,,
2018-02-12T01:13:55.024Z,,24.6,,,55,,
2018-02-12T01:14:05.023Z,,24.6,,,55,,
2018-02-12T01:14:15.024Z,,24.6,46.1,,55,,
2018-02-12T01:14:25.024Z,,24.6,,,55,,
2018-02-12T01:14:35.024Z,,24.5,,,55,,
2018-02-12T01:14:45.027Z,,24.5,,,55,,
2018-02-12T01:14:56.026Z,,24.5,,,55,,
2018-02-12T01:15:05.025Z,,24.5,46,,55,,
2018-02-12T01:15:15.024Z,,24.5,,,55,,
2018-02-12T01:15:25.027Z,,24.5,,,55,,
2018-02-12T01:15:35.024Z,,24.5,,,55,,
2018-02-12T01:15:45.026Z,,24.4,45.9,,55,,
