Time,ActPow,HwActive,PrimT,PrimTSet,HwTOutlet,HwTSet,ChActive
2017-12-20T00:49:33.463Z,,,53.3,,44,55,
2017-12-20T00:49:43.464Z,,,53.5,,44.1,55,
2017-12-20T00:49:53.465Z,,,53.6,,44.1,55,
2017-12-20T00:50:03.463Z,,,53.9,,44.1,55,
2017-12-20T00:50:13.463Z,,,54,,44.1,55,
2017-12-20T00:50:23.463Z,,,54.2,,44.1,55,
2017-12-20T00:50:33.463Z,,,54.4,,44.1,55,
2017-12-20T00:50:43.463Z,,,54.5,,44.1,55,
2017-12-20T00:50:53.463Z,,,54.8,,44.1,55,
2017-12-20T00:51:03.464Z,,,54.9,,44.2,55,
2017-12-20T00:51:13.463Z,,,55,,44.2,55,
2017-12-20T00:51:23.464Z,,,55.2,,44.2,55,
2017-12-20T00:51:33.463Z,,,55.3,,44.2,55,
2017-12-20T00:51:44.456Z,,,55.5,,44.3,55,
2017-12-20T00:51:53.463Z,,,55.7,,44.3,55,
2017-12-20T00:52:03.463Z,,,55.8,,44.4,55,
2017-12-20T00:52:13.464Z,,,55.9,,44.4,55,
2017-12-20T00:52:23.466Z,,,56.2,,44.4,55,
2017-12-20T00:52:33.463Z,,,56.3,,44.5,55,
2017-12-20T00:52:43.465Z,,,56.4,,44.5,55,
2017-12-20T00:52:53.464Z,,,56.5,,,,
2017-12-20T00:53:03.463Z,,,56.7,,44.7,55,
2017-12-20T00:53:13.463Z,,,56.9,,44.8,55,
2017-12-20T00:53:23.464Z,,,57,,44.8,55,
2017-12-20T00:53:33.463Z,,,57.1,,44.9,55,
2017-12-20T00:53:43.463Z,,,57.2,,44.9,55,
2017-12-20T00:53:53.464Z,,,57.4,,,,
2017-12-20T00:54:03.464Z,0,0,57.7,,45.1,55,2
2017-12-20T00:54:13.464Z,,,56.6,,,,
2017-12-20T00:54:23.464Z,,,55,,45.2,55,
2017-12-20T00:54:33.464Z,,,53.9,,45.2,55,
2017-12-20T00:54:43.463Z,,,53.4,,45.3,55,
2017-12-20T00:54:53.464Z,,,53.6,,45.3,55,
2017-12-20T00:55:03.463Z,,,53.9,,45.5,55,
