Time,PrimT,HwTSet,PrimTSet,HwActive,ChActive,HwTOutlet,ActPow
2018-02-15T00:37:59.676Z,64.4,54,,,,23.7,30
2018-02-15T00:38:09.702Z,,54,,,,23.6,29
2018-02-15T00:38:19.963Z,,54,,,,23.6,
2018-02-15T00:38:29.672Z,,54,,,,23.6,
2018-02-15T00:38:39.673Z,,54,,,,23.6,
2018-02-15T00:38:49.677Z,,54,,,,23.4,
2018-02-15T00:38:59.674Z,,54,,,,23.6,
2018-02-15T00:39:09.811Z,,54,,,,23.8,
2018-02-15T00:39:19.727Z,,54,,,,23.8,
2018-02-15T00:39:29.680Z,,54,,,,23.8,
2018-02-15T00:39:39.715Z,64.5,54,,,,23.8,
2018-02-15T00:39:49.692Z,,54,,,,23.7,
2018-02-15T00:39:59.672Z,,54,,,,23.7,
2018-02-15T00:40:09.676Z,,54,,,,23.7,
2018-02-15T00:40:19.674Z,,54,,,,23.8,
2018-02-15T00:40:29.674Z,,54,,,,23.7,30
2018-02-15T00:40:39.680Z,,54,,,,23.7,29
2018-02-15T00:40:49.695Z,,54,,,,23.7,
2018-02-15T00:40:59.685Z,,54,,,,23.7,
2018-02-15T00:41:09.722Z,,54,,,,23.7,
2018-02-15T00:41:19.676Z,,54,,,,23.7,
2018-02-15T00:41:29.716Z,,54,,,,23.8,
2018-02-15T00:41:39.726Z,,54,,,,23.9,
2018-02-15T00:41:49.866Z,,54,,,,23.8,
2018-02-15T00:41:59.707Z,,54,,,,23.7,
2018-02-15T00:42:09.740Z,,54,,,,23.8,30
2018-02-15T00:42:19.677Z,,54,,,,23.7,29
2018-02-15T00:42:29.673Z,,54,,,,23.9,
2018-02-15T00:42:39.713Z,,54,,,,23.9,30
2018-02-15T00:42:54.854Z,,54,,,,23.8,29
2018-02-15T00:42:59.752Z,,54,,,,23.7,
2018-02-15T00:43:09.712Z,,54,,,,23.8,
2018-02-15T00:43:19.768Z,,54,,,,23.7,
2018-02-15T00:43:29.761Z,,54,,,,23.8,
2018-02-15T00:43:39.772Z,,54,,,,23.8,
2018-02-15T00:43:49.786Z,,54,,,,23.8,
2018-02-15T00:43:59.842Z,,54,,,,23.7,
2018-02-15T00:44:09.740Z,,54,,,,23.8,
2018-02-15T00:44:19.679Z,64.4,54,,,,23.7,
2018-02-15T00:44:29.676Z,64.5,54,,,,23.7,30
2018-02-15T00:44:39.780Z,64.4,54,,,,23.7,29
2018-02-15T00:44:49.818Z,,54,,,,23.6,30
2018-02-15T00:45:00.816Z,,54,,,,23.6,29
2018-02-15T00:45:09.728Z,,54,,,,23.7,
2018-02-15T00:45:19.677Z,,54,,,,23.7,30
2018-02-15T00:45:29.765Z,,54,,,,23.7,29
2018-02-15T00:45:39.686Z,,54,,,,23.6,
2018-02-15T00:45:49.682Z,,54,,,,23.7,
2018-02-15T00:45:59.722Z,,54,,,,23.8,
2018-02-15T00:46:14.878Z,,54,,,,23.8,
2018-02-15T00:46:19.698Z,64.2,54,,,,23.8,
2018-02-15T00:46:29.729Z,64.4,54,,,,23.8,
2018-02-15T00:46:39.769Z,,54,,,,23.7,
2018-02-15T00:46:50.069Z,,54,,,,23.9,
2018-02-15T00:47:04.965Z,64.2,54,,,,23.7,
2018-02-15T00:47:09.770Z,,54,,,,23.7,
2018-02-15T00:47:19.770Z,,54,,,,23.7,
2018-02-15T00:47:29.718Z,,54,,,,23.7,
2018-02-15T00:47:39.707Z,,54,,,,23.8,
2018-02-15T00:47:49.743Z,,54,,,,23.7,
2018-02-15T00:47:59.684Z,,54,,,,23.8,
2018-02-15T00:48:09.796Z,,54,,,,23.7,
2018-02-15T00:48:19.824Z,,54,,,,23.7,
2018-02-15T00:48:29.686Z,,54,,,,23.8,30
2018-02-15T00:48:39.679Z,,54,,,,23.7,29
2018-02-15T00:48:49.679Z,,54,,,,23.7,
2018-02-15T00:48:59.730Z,,54,,,,23.7,30
2018-02-15T00:49:09.684Z,,54,,,,23.6,
2018-02-15T00:49:19.726Z,,54,,,,23.7,29
2018-02-15T00:49:29.756Z,,54,,,,23.8,
2018-02-15T00:49:39.683Z,,54,,,,23.7,
2018-02-15T00:49:49.723Z,,54,,,,23.6,30
2018-02-15T00:49:59.714Z,,54,,,,23.8,29
2018-02-15T00:50:09.683Z,,54,,,,23.7,
2018-02-15T00:50:19.735Z,,54,,,,23.8,
2018-02-15T00:50:29.720Z,,54,,,,23.7,
2018-02-15T00:50:39.894Z,,54,,,,23.6,
2018-02-15T00:50:49.895Z,,54,,,,23.6,
2018-02-15T00:50:59.771Z,,54,,,,23.4,
2018-02-15T00:51:09.802Z,,54,,,,23.7,
2018-02-15T00:51:19.728Z,,54,,,,23.7,
2018-02-15T00:51:29.716Z,,54,,,,23.8,
2018-02-15T00:51:39.744Z,,54,,,,23.7,
2018-02-15T00:51:49.682Z,,54,,,,23.6,
2018-02-15T00:51:59.736Z,,54,,,,23.7,30
2018-02-15T00:52:09.683Z,64.4,54,,,,23.6,29
2018-02-15T00:52:19.900Z,,54,,,,23.6,
2018-02-15T00:52:29.819Z,,54,,,,23.6,
2018-02-15T00:52:39.801Z,,54,,,,23.6,
2018-02-15T00:52:49.689Z,,54,,,,23.7,
2018-02-15T00:52:59.720Z,,54,,,,23.7,
2018-02-15T00:53:09.937Z,,54,,,,23.7,30
2018-02-15T00:53:19.744Z,,54,,,,23.8,
2018-02-15T00:53:29.693Z,,54,,,,23.8,29
2018-02-15T00:53:39.696Z,,54,,,,23.7,
2018-02-15T00:53:49.690Z,,54,,,,23.7,
2018-02-15T00:53:59.736Z,,54,,,,23.7,
2018-02-15T00:54:09.706Z,,54,,,,23.7,
2018-02-15T00:54:19.682Z,,54,,,,23.7,
2018-02-15T00:54:29.731Z,,54,,,,23.6,
2018-02-15T00:54:39.704Z,64.5,54,,,,23.7,30
2018-02-15T00:54:49.682Z,,54,,,,23.7,29
2018-02-15T00:54:59.722Z,,54,,,,23.6,
2018-02-15T00:55:09.705Z,,54,,,,23.7,
2018-02-15T00:55:19.817Z,,54,,,,23.9,30
2018-02-15T00:55:29.833Z,,54,,,,23.9,29
2018-02-15T00:55:39.698Z,,54,,,,23.9,
2018-02-15T00:55:49.723Z,,54,,,,23.9,
2018-02-15T00:55:59.691Z,64.6,54,,,,23.9,
2018-02-15T00:56:09.720Z,,54,,,,23.7,
2018-02-15T00:56:19.723Z,,54,,,,23.7,30
2018-02-15T00:56:29.901Z,,54,,,,23.8,29
2018-02-15T00:56:39.719Z,,54,,,,23.7,
2018-02-15T00:56:49.693Z,,54,,,,23.7,
2018-02-15T00:56:59.783Z,,54,,,,23.7,
2018-02-15T00:57:10.048Z,64.7,54,,,,23.8,
2018-02-15T00:57:19.685Z,,54,,,,23.7,
2018-02-15T00:57:29.687Z,,54,,,,23.7,
2018-02-15T00:57:39.685Z,,54,,,,23.8,
2018-02-15T00:57:49.752Z,,54,,,,23.9,
2018-02-15T00:57:59.738Z,,54,,,,23.8,
2018-02-15T00:58:09.706Z,,54,,,,23.8,
2018-02-15T00:58:20.060Z,,54,,,,23.7,
2018-02-15T00:58:29.971Z,,54,,,,23.7,
2018-02-15T00:58:39.791Z,64.8,54,,,,23.9,
2018-02-15T00:58:50.178Z,,54,,,,23.9,
2018-02-15T00:58:59.698Z,,54,,,,23.8,
2018-02-15T00:59:09.853Z,,54,,,,23.8,
2018-02-15T00:59:19.744Z,,54,,,,24,
2018-02-15T00:59:29.725Z,,54,,,,23.8,
2018-02-15T00:59:39.856Z,,54,,,,23.8,
2018-02-15T00:59:54.860Z,,54,,,,23.8,
2018-02-15T00:59:59.714Z,64.9,54,,,,23.8,
2018-02-15T01:00:09.937Z,,54,,,,23.8,30
2018-02-15T01:00:19.828Z,,54,,,,23.9,29
2018-02-15T01:00:29.688Z,,54,,,,23.9,
2018-02-15T01:00:39.823Z,,54,,,,23.8,
2018-02-15T01:00:49.719Z,,54,,,,23.8,30
2018-02-15T01:00:59.690Z,,54,,,,23.9,29
2018-02-15T01:01:09.792Z,,54,,,,23.9,
2018-02-15T01:01:19.750Z,,54,,,,23.9,
2018-02-15T01:01:29.688Z,62.9,54,,0,2,23.8,0
2018-02-15T01:01:44.925Z,61.6,54,,,,23.9,
2018-02-15T01:01:50.020Z,60.7,54,,,,24,
2018-02-15T01:01:59.690Z,59.5,54,,,,23.7,
2018-02-15T01:02:09.703Z,58.6,54,,,,23.6,
2018-02-15T01:02:19.811Z,57.8,54,,,,23.4,
2018-02-15T01:02:29.688Z,56.9,54,,,,23.3,
2018-02-15T01:02:39.700Z,56.6,54,,,,23.3,
2018-02-15T01:02:49.766Z,55.9,54,,,,23.1,
2018-02-15T01:02:59.692Z,55.5,54,,,,22.8,
2018-02-15T01:03:09.744Z,55.2,54,,,,22.8,
2018-02-15T01:03:19.802Z,56.1,54,,0,2,22.7,44
2018-02-15T01:03:29.772Z,58.5,54,,,,22.5,36
2018-02-15T01:03:44.842Z,58.7,54,,,,22.4,29
2018-02-15T01:03:49.712Z,59.5,54,,,,22.5,
2018-02-15T01:04:04.867Z,60.1,54,,,,22.4,
2018-02-15T01:04:09.762Z,60.6,54,,,,22.5,30
2018-02-15T01:04:19.751Z,61.1,54,,,,22.6,29
2018-02-15T01:04:29.699Z,61.4,54,,,,22.7,
2018-02-15T01:04:39.787Z,61.6,54,,,,22.7,
2018-02-15T01:04:49.833Z,62,54,,,,22.7,
2018-02-15T01:04:59.784Z,62.1,54,,,,22.7,30
2018-02-15T01:05:09.707Z,62.4,54,,,,22.8,29
2018-02-15T01:05:20.115Z,62.5,54,,,,22.8,30
2018-02-15T01:05:29.844Z,62.6,54,,,,23,29
2018-02-15T01:05:39.844Z,62.7,54,,,,23.1,
2018-02-15T01:05:49.871Z,,54,,,,23,
2018-02-15T01:05:59.743Z,62.8,54,,,,23,
2018-02-15T01:06:09.691Z,62.9,54,,,,23.1,
2018-02-15T01:06:19.851Z,63.1,54,,,,23.2,
2018-02-15T01:06:29.707Z,,54,,,,23.2,
2018-02-15T01:06:44.935Z,63.2,54,,,,23.1,30
2018-02-15T01:06:49.756Z,,54,,,,23.2,29
2018-02-15T01:06:59.707Z,63.3,54,,,,23.1,
2018-02-15T01:07:09.699Z,,54,,,,23.1,
2018-02-15T01:07:19.708Z,,54,,,,23.2,
2018-02-15T01:07:29.726Z,,54,,,,23.2,30
2018-02-15T01:07:39.729Z,63.4,54,,,,23.2,29
2018-02-15T01:07:49.691Z,,54,,,,23.4,
2018-02-15T01:07:59.761Z,,54,,,,23.3,
2018-02-15T01:08:09.691Z,,54,,,,23.4,
2018-02-15T01:08:19.734Z,,54,,,,23.3,
2018-02-15T01:08:29.734Z,,54,,,,23.1,
2018-02-15T01:08:39.801Z,,54,,,,23.3,
2018-02-15T01:08:49.690Z,,54,,,,23.4,
2018-02-15T01:08:59.691Z,63.5,54,,,,23.6,
2018-02-15T01:09:09.816Z,,54,,,,23.4,
2018-02-15T01:09:19.861Z,,54,,,,23.3,30
2018-02-15T01:09:29.716Z,,54,,,,23.4,
2018-02-15T01:09:39.697Z,,54,,,,23.3,29
2018-02-15T01:09:49.737Z,,54,,,,23.3,
2018-02-15T01:09:59.711Z,63.6,54,,,,23.4,
2018-02-15T01:10:09.699Z,,54,,,,23.3,
2018-02-15T01:10:19.692Z,,54,,,,23.3,
2018-02-15T01:10:29.800Z,,54,,,,23.4,
2018-02-15T01:10:39.747Z,,54,,,,23.3,
2018-02-15T01:10:50.052Z,63.8,54,,,,23.3,
2018-02-15T01:10:59.818Z,,54,,,,23.6,
2018-02-15T01:11:09.772Z,,54,,,,23.7,
2018-02-15T01:11:19.786Z,,54,,,,23.3,
2018-02-15T01:11:29.696Z,,54,,,,23.3,
2018-02-15T01:11:39.727Z,63.9,54,,,,23.4,
2018-02-15T01:11:50.018Z,,54,,,,23.4,
2018-02-15T01:11:59.806Z,,54,,,,23.4,30
2018-02-15T01:12:09.699Z,,54,,,,23.6,29
2018-02-15T01:12:19.811Z,,54,,,,23.6,30
2018-02-15T01:12:29.847Z,63.9,54,,,,23.4,30
2018-02-15T01:12:39.798Z,64,54,,,,23.3,29
2018-02-15T01:12:49.715Z,,54,,,,23.4,
2018-02-15T01:12:59.792Z,,54,,,,23.4,
2018-02-15T01:13:09.706Z,,54,,,,23.6,30
2018-02-15T01:13:19.696Z,,54,,,,23.6,
2018-02-15T01:13:29.773Z,64.1,54,,,,23.7,29
2018-02-15T01:13:39.696Z,,54,,,,23.7,
2018-02-15T01:13:54.895Z,,54,,,,23.7,
2018-02-15T01:14:00.029Z,,54,,,,23.6,
2018-02-15T01:14:09.707Z,,54,,,,23.6,30
2018-02-15T01:14:19.719Z,64.2,54,,,,23.6,29
2018-02-15T01:14:29.702Z,,54,,,,23.7,30
2018-02-15T01:14:39.715Z,,54,,,,23.7,29
2018-02-15T01:14:49.697Z,,54,,,,23.7,
2018-02-15T01:14:59.762Z,,54,,,,23.6,
2018-02-15T01:15:09.699Z,,54,,,,23.6,
2018-02-15T01:15:19.725Z,64.4,54,,,,23.7,30
2018-02-15T01:15:29.905Z,,54,,,,23.8,
2018-02-15T01:15:39.794Z,,54,,,,23.6,29
2018-02-15T01:15:49.865Z,,54,,,,23.8,
2018-02-15T01:15:59.756Z,,54,,,,23.7,
2018-02-15T01:16:09.716Z,,54,,,,23.7,
2018-02-15T01:16:19.816Z,,54,,,,23.8,
2018-02-15T01:16:29.747Z,,54,,,,23.6,
2018-02-15T01:16:44.828Z,64.5,54,,,,23.7,
