Time,ChActive,HwActive,HwTSet,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-21T00:50:08.752Z,,,54,23.4,,25.8,
2017-12-21T00:50:18.650Z,,,54,23.3,,25.7,
2017-12-21T00:50:28.649Z,,,54,23.3,,25.5,
2017-12-21T00:50:38.649Z,,,54,23.3,,25.4,
2017-12-21T00:50:48.648Z,,,54,23.3,,,
2017-12-21T00:50:58.651Z,,,54,23.3,,25.3,
2017-12-21T00:51:08.750Z,,,54,23.3,,25.2,
2017-12-21T00:51:18.650Z,,,54,23.3,,,
2017-12-21T00:51:28.651Z,,,54,23.3,,25.1,
2017-12-21T00:51:38.651Z,,,54,23.2,,,
2017-12-21T00:51:48.651Z,,,54,23.2,,,
2017-12-21T00:51:58.650Z,,,54,23.2,,24.9,
2017-12-21T00:52:08.757Z,,,54,23.2,,,
2017-12-21T00:52:18.655Z,,,54,23.2,,,
2017-12-21T00:52:28.651Z,,,54,23.1,,,
2017-12-21T00:52:38.652Z,,,54,23.1,,24.8,
2017-12-21T00:52:48.652Z,,,54,23.1,,,
2017-12-21T00:52:58.653Z,,,54,23.1,,,
2017-12-21T00:53:08.753Z,,,54,23.1,,,
2017-12-21T00:53:18.649Z,,,54,23.1,,,
2017-12-21T00:53:28.650Z,,,54,23.1,,,
2017-12-21T00:53:38.650Z,,,54,23.1,,,
2017-12-21T00:53:48.661Z,,,54,23.1,,,
2017-12-21T00:53:58.650Z,,,54,23,,,
2017-12-21T00:54:08.773Z,,,54,23,,,
2017-12-21T00:54:18.657Z,,,54,23,,,
2017-12-21T00:54:28.653Z,,,54,23,,,
2017-12-21T00:54:38.653Z,,,54,22.8,,,
2017-12-21T00:54:48.653Z,,,54,22.8,,,
2017-12-21T00:54:58.651Z,,,54,22.8,,,
2017-12-21T00:55:08.755Z,,,54,22.8,,,
2017-12-21T00:55:18.658Z,,,54,22.7,,,
2017-12-21T00:55:28.655Z,,,54,22.7,,,
2017-12-21T00:55:38.651Z,,,54,22.7,,,
2017-12-21T00:55:48.656Z,,,54,22.7,,,
2017-12-21T00:55:58.656Z,,,54,22.7,,,
2017-12-21T00:56:08.756Z,,,54,22.7,,,
2017-12-21T00:56:18.652Z,,,54,22.6,,,
2017-12-21T00:56:28.651Z,,,54,22.6,,,
2017-12-21T00:56:38.656Z,,,54,22.6,,,
2017-12-21T00:56:48.657Z,,,54,22.6,,,
2017-12-21T00:56:58.653Z,,,54,22.6,,,
2017-12-21T00:57:08.743Z,,,54,22.6,,,
