Time,PrimTSet,HwTOutlet,HwActive,HwTSet,ActPow,PrimT,ChActive
2017-12-15T00:42:03.855Z,,24.3,,54,,44.1,
2017-12-15T00:42:13.749Z,,24.4,,54,,44.2,
2017-12-15T00:42:23.754Z,,24.5,,54,,44.3,
2017-12-15T00:42:33.743Z,,24.5,,54,,44.4,
2017-12-15T00:42:43.746Z,,24.7,,54,,,
2017-12-15T00:42:53.748Z,,24.8,,54,,44.5,
2017-12-15T00:43:03.858Z,,25,,54,,44.6,
2017-12-15T00:43:13.746Z,,25,,54,,44.7,
2017-12-15T00:43:23.744Z,,25,,54,,44.8,
2017-12-15T00:43:33.748Z,,25,,54,30,44.9,
2017-12-15T00:43:43.744Z,,25.1,,54,29,45,
2017-12-15T00:43:53.745Z,,25.3,,54,,45.1,
2017-12-15T00:44:03.907Z,,25.4,,54,,45.2,
2017-12-15T00:44:13.749Z,,25.5,,54,,45.3,
2017-12-15T00:44:23.745Z,,25.6,,54,,,
2017-12-15T00:44:33.755Z,,25.6,,54,,45.4,
2017-12-15T00:44:43.745Z,,25.6,,54,,45.6,
2017-12-15T00:44:53.745Z,,25.6,,54,30,,
2017-12-15T00:45:03.888Z,,25.7,,54,29,45.7,
2017-12-15T00:45:18.846Z,,25.9,,54,,45.8,
2017-12-15T00:45:23.746Z,,26,,54,,45.9,
2017-12-15T00:45:33.746Z,,26,,54,,46,
2017-12-15T00:45:43.751Z,,26,,54,,,
2017-12-15T00:45:53.750Z,,26,,54,,46.1,
2017-12-15T00:46:03.860Z,,26,,54,30,46.2,
2017-12-15T00:46:13.750Z,,26.1,0,54,0,45.1,2
2017-12-15T00:46:23.759Z,,26.2,,54,,43.3,
2017-12-15T00:46:33.754Z,,26.2,,54,,42.6,
2017-12-15T00:46:43.745Z,,26,,54,,41.8,
2017-12-15T00:46:53.745Z,,25.7,,54,,41.2,
2017-12-15T00:47:03.856Z,,25.6,,54,,40.8,
2017-12-15T00:47:13.753Z,,25.5,,54,,40.4,
2017-12-15T00:47:23.748Z,,25.5,,54,,39.9,
2017-12-15T00:47:33.749Z,,25.4,,54,,39.6,
2017-12-15T00:47:43.752Z,,25.1,,54,,39.3,
2017-12-15T00:47:53.749Z,,24.9,,54,,38.9,
2017-12-15T00:48:03.848Z,,24.9,,54,,38.7,
2017-12-15T00:48:13.804Z,,24.8,,54,,38.5,
2017-12-15T00:48:23.752Z,,24.7,,54,,38.3,
2017-12-15T00:48:33.750Z,,24.7,,54,,38.1,
