Time,HwTOutlet,HwActive,PrimT,HwTSet,ChActive,PrimTSet,ActPow
2017-12-20T00:36:37.821Z,26.1,,37.6,54,,,
2017-12-20T00:36:47.824Z,26.2,,37.7,54,,,
2017-12-20T00:36:57.824Z,26.2,,37.8,54,,,
2017-12-20T00:37:07.927Z,26.3,,38,54,,,
2017-12-20T00:37:17.827Z,26.5,,38.1,54,,,30
2017-12-20T00:37:27.837Z,26.5,,38.2,54,,,29
2017-12-20T00:37:37.828Z,26.6,,38.4,54,,,
2017-12-20T00:37:47.829Z,26.6,,38.6,54,,,
2017-12-20T00:37:57.829Z,26.7,,38.7,54,,,
2017-12-20T00:38:07.929Z,26.8,,38.9,54,,,30
2017-12-20T00:38:17.829Z,26.8,,39.1,54,,,29
2017-12-20T00:38:27.830Z,26.8,,39.3,54,,,
2017-12-20T00:38:37.822Z,26.9,,39.4,54,,,
2017-12-20T00:38:47.829Z,27.1,,39.5,54,,,
2017-12-20T00:38:57.830Z,27.2,0,38.8,54,1,,0
2017-12-20T00:39:07.924Z,27.2,,36.9,54,,,
2017-12-20T00:39:17.831Z,27.3,,35.9,54,,,
2017-12-20T00:39:27.830Z,27.4,,35.3,54,,,
2017-12-20T00:39:37.825Z,27.4,,34.5,54,,,
2017-12-20T00:39:47.827Z,27.5,,33.9,54,,,
2017-12-20T00:39:57.831Z,27.5,,33.6,54,,,
2017-12-20T00:40:07.931Z,27.5,,33.2,54,,,
2017-12-20T00:40:17.829Z,27.5,,32.8,54,,,
2017-12-20T00:40:27.829Z,27.5,,32.5,54,,,
2017-12-20T00:40:37.825Z,27.7,,32.2,54,,,
2017-12-20T00:40:47.831Z,27.5,,31.9,54,,,
2017-12-20T00:40:57.832Z,27.5,,31.8,54,,,
2017-12-20T00:41:07.929Z,27.5,,31.6,54,,,
2017-12-20T00:41:17.828Z,27.5,,31.4,54,,,
2017-12-20T00:41:27.828Z,27.5,,31.3,54,,,
2017-12-20T00:41:37.832Z,27.5,0,32.3,54,1,,44
2017-12-20T00:41:47.829Z,27.5,,38,54,,,32
2017-12-20T00:41:57.825Z,27.5,,37.9,54,,,30
2017-12-20T00:42:07.916Z,27.5,,37.1,54,,,29
2017-12-20T00:42:17.831Z,27.5,0,36.9,54,1,,0
2017-12-20T00:42:27.827Z,27.5,,34.7,54,,,
2017-12-20T00:42:37.824Z,27.5,,34.2,54,,,
2017-12-20T00:42:47.828Z,27.7,,33.8,54,,,
2017-12-20T00:42:57.829Z,27.7,,32.9,54,,,
2017-12-20T00:43:07.930Z,27.7,,32.7,54,,,
2017-12-20T00:43:17.830Z,27.8,,32.4,54,,,
2017-12-20T00:43:27.826Z,27.9,,32.1,54,,,
2017-12-20T00:43:37.832Z,27.9,,32,54,,,
2017-12-20T00:43:47.831Z,27.9,,31.9,54,,,
2017-12-20T00:43:57.831Z,27.9,,31.6,54,,,
2017-12-20T00:44:07.956Z,27.9,,31.5,54,,,
2017-12-20T00:44:17.825Z,27.9,,31.3,54,,,
2017-12-20T00:44:27.832Z,27.9,,31.2,54,,,
2017-12-20T00:44:37.836Z,27.9,,30.9,54,,,
2017-12-20T00:44:47.831Z,27.9,,30.8,54,,,
2017-12-20T00:44:57.826Z,27.9,,30.7,54,,,
2017-12-20T00:45:07.927Z,27.9,,30.6,54,,,
2017-12-20T00:45:17.834Z,27.9,,30.5,54,,,
2017-12-20T00:45:27.832Z,27.8,,30.4,54,,,
2017-12-20T00:45:37.827Z,27.8,,,54,,,
2017-12-20T00:45:47.827Z,27.7,,30.3,54,,,
2017-12-20T00:45:57.827Z,27.7,,,54,,,
2017-12-20T00:46:07.917Z,27.5,,30.2,54,,,
2017-12-20T00:46:17.827Z,27.5,,30.1,54,,,
2017-12-20T00:46:27.830Z,27.5,,,54,,,
2017-12-20T00:46:37.829Z,27.4,,30,54,,,
2017-12-20T00:46:47.828Z,27.4,,30,54,,,
2017-12-20T00:46:57.828Z,27.4,,29.9,54,,,
2017-12-20T00:47:07.929Z,27.3,,,54,,,
2017-12-20T00:47:17.827Z,27.3,,29.8,54,,,
2017-12-20T00:47:27.829Z,27.3,,29.6,54,,,
2017-12-20T00:47:37.833Z,27.2,,29.5,54,,,
2017-12-20T00:47:52.929Z,27.2,,,54,,,
2017-12-20T00:47:57.829Z,27.2,,29.4,54,,,
2017-12-20T00:48:07.919Z,27.2,,,54,,,
2017-12-20T00:48:17.829Z,27.2,,,54,,,
2017-12-20T00:48:27.842Z,27.1,,,54,,,
2017-12-20T00:48:37.832Z,27.1,,,54,,,
2017-12-20T00:48:47.834Z,27.1,,,54,,,
2017-12-20T00:48:57.832Z,27.1,0,30,54,1,,45
2017-12-20T00:49:07.931Z,27.1,,36.2,54,,,32
2017-12-20T00:49:17.835Z,27.1,,35.9,54,,,29
2017-12-20T00:49:27.835Z,27.1,,36.1,54,,,30
2017-12-20T00:49:37.831Z,27.1,,36.6,54,,,29
2017-12-20T00:49:47.831Z,27.2,,37.2,54,,,
2017-12-20T00:49:57.832Z,27.2,,37.6,54,,,30
2017-12-20T00:50:07.932Z,27.3,,38,54,,,29
2017-12-20T00:50:17.832Z,27.4,,38.2,54,,,
2017-12-20T00:50:27.829Z,27.5,,38.4,54,,,
2017-12-20T00:50:37.831Z,27.7,,38.6,54,,,
2017-12-20T00:50:47.832Z,27.9,,38.8,54,,,
2017-12-20T00:50:57.831Z,28,,39.1,54,,,
2017-12-20T00:51:07.922Z,28.1,,39.2,54,,,
2017-12-20T00:51:17.828Z,28.3,,39.3,54,,,
2017-12-20T00:51:27.834Z,28.4,,39.5,54,,,
2017-12-20T00:51:37.838Z,28.5,,39.6,54,,,
2017-12-20T00:51:47.833Z,28.5,,39.7,54,,,
2017-12-20T00:51:57.832Z,28.6,,40,54,,,
2017-12-20T00:52:07.934Z,28.6,,,54,,,
2017-12-20T00:52:17.833Z,28.7,,40.2,54,,,
2017-12-20T00:52:27.833Z,28.7,,40.4,54,,,30
2017-12-20T00:52:37.833Z,28.7,,40.5,54,,,
2017-12-20T00:52:47.830Z,28.7,,40.7,54,,,29
2017-12-20T00:52:57.834Z,28.9,,40.8,54,,,30
2017-12-20T00:53:07.943Z,28.9,,41,54,,,29
2017-12-20T00:53:17.840Z,29,,41.1,54,,,
2017-12-20T00:53:27.842Z,29,,41.2,54,,,
2017-12-20T00:53:37.836Z,29,,41.3,54,,,
2017-12-20T00:53:47.835Z,29.1,,41.5,54,,,
2017-12-20T00:53:57.837Z,29.2,,41.6,54,,,
2017-12-20T00:54:07.922Z,29.2,,41.7,54,,,
2017-12-20T00:54:17.838Z,29.3,,41.8,54,,,
2017-12-20T00:54:27.844Z,29.3,,42,54,,,29
2017-12-20T00:54:37.836Z,29.5,,,54,,,
2017-12-20T00:54:47.836Z,29.6,,42.2,54,,,
2017-12-20T00:54:57.832Z,29.6,,42.3,54,,,
2017-12-20T00:55:07.939Z,29.7,0,40.8,54,1,,0
2017-12-20T00:55:17.837Z,29.8,,38.9,54,,,
2017-12-20T00:55:27.836Z,30,,38.4,54,,,
2017-12-20T00:55:37.832Z,30,,37.7,54,,,
2017-12-20T00:55:47.840Z,30.1,,36.9,54,,,
2017-12-20T00:55:57.838Z,30.1,,36.4,54,,,
2017-12-20T00:56:07.930Z,30.1,,35.9,54,,,
2017-12-20T00:56:17.838Z,30.2,,35.6,54,,,
2017-12-20T00:56:27.833Z,30.1,,35.3,54,,,
2017-12-20T00:56:37.834Z,30.2,,34.9,54,,,
2017-12-20T00:56:47.834Z,30.2,,34.6,54,,,
2017-12-20T00:56:57.834Z,30.2,,34.3,54,,,
2017-12-20T00:57:07.940Z,30.1,,34.1,54,,,
2017-12-20T00:57:17.836Z,30.1,,33.9,54,,,
2017-12-20T00:57:27.840Z,30.1,,33.8,54,,,
2017-12-20T00:57:37.838Z,30.1,,33.6,54,,,
2017-12-20T00:57:47.837Z,30.1,,33.5,54,,,
2017-12-20T00:57:57.836Z,30.1,,33.3,54,,,
2017-12-20T00:58:07.939Z,30,,33.2,54,,,
2017-12-20T00:58:17.839Z,30,,,54,,,
2017-12-20T00:58:27.846Z,30,,,54,,,
2017-12-20T00:58:37.840Z,30,,,54,,,
2017-12-20T00:58:47.836Z,30,,,54,,,
2017-12-20T00:58:57.835Z,30,,,54,,,
2017-12-20T00:59:07.939Z,30,,,54,,,
2017-12-20T00:59:17.835Z,30,,33.1,54,,,
2017-12-20T00:59:27.835Z,30,,,54,,,
2017-12-20T00:59:37.841Z,30,,,54,,,
2017-12-20T00:59:47.835Z,29.8,,,54,,,
2017-12-20T00:59:57.837Z,29.8,,,54,,,
2017-12-20T01:00:07.938Z,29.8,,,54,,,
2017-12-20T01:00:17.836Z,29.7,,,54,,,
2017-12-20T01:00:27.838Z,29.7,,,54,,,
2017-12-20T01:00:37.839Z,29.6,,,54,,,
2017-12-20T01:00:47.840Z,29.6,,33.2,54,,,
2017-12-20T01:00:57.841Z,29.5,,,54,,,
2017-12-20T01:01:07.938Z,29.5,,,54,,,
2017-12-20T01:01:17.843Z,29.3,,,54,,,
2017-12-20T01:01:27.841Z,29.3,,,54,,,
2017-12-20T01:01:37.843Z,29.2,,,54,,,
2017-12-20T01:01:47.843Z,29.1,,33.3,54,,,
2017-12-20T01:01:57.836Z,29.1,,,54,,,
2017-12-20T01:02:07.934Z,29,,,54,,,
2017-12-20T01:02:17.838Z,28.9,,33.4,54,,,
2017-12-20T01:02:27.837Z,28.9,,,54,,,
2017-12-20T01:02:37.839Z,28.7,,,54,,,
2017-12-20T01:02:47.838Z,28.6,,,54,,,
2017-12-20T01:02:57.843Z,28.6,,33.5,54,,,
2017-12-20T01:03:07.939Z,28.5,,,54,,,
2017-12-20T01:03:17.840Z,28.4,,,54,,,
2017-12-20T01:03:27.850Z,28.4,,,54,,,
2017-12-20T01:03:37.841Z,28.3,,,54,,,
2017-12-20T01:03:47.838Z,28.1,,33.6,54,,,
2017-12-20T01:03:57.843Z,28.1,,,54,,,
2017-12-20T01:04:07.967Z,28,,,54,,,
2017-12-20T01:04:17.840Z,27.9,,,54,,,
2017-12-20T01:04:27.845Z,27.9,,,54,,,
2017-12-20T01:04:37.846Z,27.8,,,54,,,
2017-12-20T01:04:47.844Z,27.8,,,54,,,
2017-12-20T01:04:57.838Z,27.7,,,54,,,
2017-12-20T01:05:07.938Z,27.5,,,54,,,
2017-12-20T01:05:17.842Z,27.5,,,54,,,
2017-12-20T01:05:27.843Z,27.4,,,54,,,
2017-12-20T01:05:37.841Z,27.4,,,54,,,
2017-12-20T01:05:47.838Z,27.3,,,54,,,
2017-12-20T01:05:57.838Z,27.3,,,54,,,
2017-12-20T01:06:07.941Z,27.2,,,54,,,
2017-12-20T01:06:17.838Z,27.1,0,33.6,54,1,61,0
2017-12-20T01:06:27.848Z,27.1,,,54,,,
2017-12-20T01:06:37.844Z,26.9,,,54,,,
2017-12-20T01:06:47.845Z,26.9,,,54,,,
2017-12-20T01:06:57.839Z,26.8,,33.5,54,,,
2017-12-20T01:07:07.931Z,26.8,,,54,,,
2017-12-20T01:07:17.843Z,26.7,,,54,,,
2017-12-20T01:07:27.843Z,26.7,,,54,,,
2017-12-20T01:07:37.847Z,26.6,,,54,,,
2017-12-20T01:07:47.843Z,26.6,,,54,,,
2017-12-20T01:07:57.849Z,26.5,,,54,,,
2017-12-20T01:08:07.940Z,26.5,,,54,,,
2017-12-20T01:08:17.845Z,26.5,,,54,,,
2017-12-20T01:08:27.846Z,26.3,,33.4,54,,,
2017-12-20T01:08:37.840Z,26.3,,,54,,,
2017-12-20T01:08:47.844Z,26.2,,,54,,,
2017-12-20T01:08:57.841Z,26.2,,,54,,,
2017-12-20T01:09:07.943Z,26.1,,,54,,,
2017-12-20T01:09:17.842Z,26.1,,,54,,,
2017-12-20T01:09:27.843Z,26.1,,,54,,,
2017-12-20T01:09:37.841Z,26,,,54,,,
2017-12-20T01:09:47.845Z,26,,33.3,54,,,
2017-12-20T01:09:57.840Z,25.9,,,54,,,
2017-12-20T01:10:07.932Z,25.9,,,54,,,
2017-12-20T01:10:17.843Z,25.7,,,54,,,
2017-12-20T01:10:27.843Z,25.7,,,54,,,
2017-12-20T01:10:37.841Z,25.7,,,54,,,
2017-12-20T01:10:47.848Z,25.6,,,54,,,
2017-12-20T01:10:57.841Z,25.6,,33.2,54,,,
2017-12-20T01:11:07.945Z,25.6,0,34.6,54,1,,43
2017-12-20T01:11:17.851Z,25.5,,39.2,54,,,31
