Time,HwTOutlet,PrimTSet,PrimT,ChActive,HwTSet,HwActive,ActPow
2018-01-05T01:08:08.007Z,28.7,,,,54,,
2018-01-05T01:08:18.003Z,28.7,,,,54,,
2018-01-05T01:08:28.007Z,28.6,,,,54,,
2018-01-05T01:08:38.011Z,28.7,,,,54,,
2018-01-05T01:08:48.008Z,28.7,,,,54,,
2018-01-05T01:08:58.004Z,28.7,,,,54,,
2018-01-05T01:09:08.007Z,28.7,,,,54,,
2018-01-05T01:09:18.000Z,28.7,,,,54,,
2018-01-05T01:09:28.001Z,28.7,,,,54,,
2018-01-05T01:09:38.005Z,28.7,,,,54,,
2018-01-05T01:09:48.001Z,28.7,,36.2,,54,,
2018-01-05T01:09:58.014Z,28.7,,,,54,,
2018-01-05T01:10:08.010Z,28.7,,,,54,,
2018-01-05T01:10:18.004Z,28.7,,36.3,,54,,
2018-01-05T01:10:28.005Z,28.7,,,,54,,
2018-01-05T01:10:38.007Z,28.7,,,,54,,
2018-01-05T01:10:48.001Z,28.6,,,,54,,
2018-01-05T01:10:58.007Z,28.6,,36.4,,54,,
2018-01-05T01:11:08.006Z,28.6,,,,54,,
2018-01-05T01:11:18.007Z,28.6,,,,54,,
2018-01-05T01:11:28.002Z,28.6,,,,54,,
2018-01-05T01:11:38.007Z,28.7,,36.5,,54,,
2018-01-05T01:11:48.007Z,28.6,,,,54,,
2018-01-05T01:11:58.005Z,28.6,,,,54,,
2018-01-05T01:12:08.015Z,28.6,,,,54,,
2018-01-05T01:12:18.003Z,28.6,,,,54,,
2018-01-05T01:12:28.009Z,28.6,,,,54,,
2018-01-05T01:12:38.012Z,28.6,,,,54,,
2018-01-05T01:12:48.011Z,28.6,,,,54,,
2018-01-05T01:12:58.011Z,28.6,,,,54,,
2018-01-05T01:13:08.006Z,28.6,,36.6,,54,,
2018-01-05T01:13:18.004Z,28.6,,36.5,,54,,
2018-01-05T01:13:28.023Z,28.6,,,,54,,
2018-01-05T01:13:38.008Z,28.6,,,,54,,
2018-01-05T01:13:48.005Z,28.6,,,,54,,
2018-01-05T01:13:58.002Z,28.6,,,,54,,
2018-01-05T01:14:08.004Z,28.6,,,,54,,
2018-01-05T01:14:18.005Z,28.6,,,,54,,
2018-01-05T01:14:28.004Z,28.6,,,,54,,
2018-01-05T01:14:38.007Z,28.6,,,,54,,
2018-01-05T01:14:48.004Z,28.6,,,,54,,
2018-01-05T01:14:58.006Z,28.6,,,,54,,
2018-01-05T01:15:08.011Z,28.6,,,,54,,
2018-01-05T01:15:18.026Z,28.6,,,,54,,
2018-01-05T01:15:28.005Z,28.5,,,,54,,
2018-01-05T01:15:38.013Z,28.5,,,,54,,
2018-01-05T01:15:48.012Z,28.5,,36.4,1,54,0,
2018-01-05T01:15:58.011Z,28.5,,41.2,,54,,36
2018-01-05T01:16:08.007Z,28.5,,40.9,,54,,30
2018-01-05T01:16:18.014Z,28.5,,40.2,,54,,29
2018-01-05T01:16:28.007Z,28.5,,41.2,,54,,
2018-01-05T01:16:38.014Z,28.5,,41.5,,54,,
2018-01-05T01:16:48.007Z,28.5,,41.6,,54,,
2018-01-05T01:16:58.009Z,28.5,,,,54,,
2018-01-05T01:17:08.010Z,28.5,,41.7,,54,,
2018-01-05T01:17:18.008Z,28.5,,,,54,,
2018-01-05T01:17:28.008Z,28.5,,41.8,,54,,
2018-01-05T01:17:38.006Z,28.5,,42,,54,,
2018-01-05T01:17:48.011Z,28.5,,,,54,,
2018-01-05T01:17:58.009Z,28.5,,42.1,,54,,
2018-01-05T01:18:08.007Z,28.5,,42.2,,54,,
2018-01-05T01:18:18.010Z,28.5,,,,54,,30
2018-01-05T01:18:28.009Z,28.5,,,,54,,29
2018-01-05T01:18:38.009Z,28.4,,,,54,,
