Time,PrimTSet,HwTOutlet,HwTSet,PrimT,HwActive,ActPow,ChActive
2017-12-28T00:42:56.406Z,,29,54,34,,,
2017-12-28T00:43:06.408Z,,28.9,54,34,,,
2017-12-28T00:43:16.403Z,,28.9,54,,,,
2017-12-28T00:43:26.414Z,,28.7,54,,,,
2017-12-28T00:43:36.415Z,,28.6,54,37.5,0,40,1
2017-12-28T00:43:46.433Z,,28.6,54,39.9,,29,
2017-12-28T00:43:56.416Z,,28.5,54,38.7,,,
2017-12-28T00:44:06.407Z,,28.4,54,38.1,,,
2017-12-28T00:44:16.407Z,,28.4,54,39.1,,30,
2017-12-28T00:44:26.405Z,,28.4,54,39.4,,29,
2017-12-28T00:44:36.404Z,,28.4,54,39.6,,,
2017-12-28T00:44:46.403Z,,28.5,54,39.7,,,
2017-12-28T00:44:56.403Z,,28.5,54,39.8,,,
2017-12-28T00:45:06.410Z,,28.6,54,40,,,
2017-12-28T00:45:16.413Z,,28.7,54,,,30,
2017-12-28T00:45:26.406Z,,29,54,40.1,,29,
2017-12-28T00:45:36.410Z,,29.1,54,40.3,,,
2017-12-28T00:45:46.404Z,,29.2,54,40.4,,,
2017-12-28T00:45:56.404Z,,29.3,54,,,,
2017-12-28T00:46:06.404Z,,29.3,54,40.5,,,
2017-12-28T00:46:16.403Z,,29.5,54,,,30,
2017-12-28T00:46:26.406Z,,29.6,54,,,29,
2017-12-28T00:46:36.407Z,,29.6,54,,,,
2017-12-28T00:46:46.412Z,,29.6,54,,,,
2017-12-28T00:46:56.404Z,,29.7,54,40.6,,,
2017-12-28T00:47:06.409Z,,29.7,54,40.7,,,
2017-12-28T00:47:16.413Z,,29.8,54,40.8,,,
2017-12-28T00:47:26.407Z,,29.8,54,41,,,
2017-12-28T00:47:36.411Z,,30,54,,,,
2017-12-28T00:47:46.411Z,,30,54,41.1,,,
2017-12-28T00:47:56.411Z,,30,54,41.2,,,
2017-12-28T00:48:06.413Z,,30.1,54,41.4,,30,
2017-12-28T00:48:16.415Z,,30.1,54,41.5,,29,
2017-12-28T00:48:26.413Z,,30.2,54,41.6,,,
2017-12-28T00:48:36.536Z,,30.2,54,41.7,,,
2017-12-28T00:48:46.418Z,,30.3,54,41.8,,,
2017-12-28T00:48:56.409Z,,30.3,54,41.8,0,0,1
2017-12-28T00:49:06.407Z,,30.4,54,39.8,,,
2017-12-28T00:49:16.418Z,,30.6,54,38.9,,,
2017-12-28T00:49:26.405Z,,30.6,54,37.9,,,
2017-12-28T00:49:36.413Z,,30.7,54,36.9,,,
2017-12-28T00:49:46.413Z,,30.7,54,36.8,,,
2017-12-28T00:49:56.405Z,,30.8,54,36.3,,,
2017-12-28T00:50:06.407Z,,30.8,54,35.9,,,
2017-12-28T00:50:16.408Z,,30.8,54,35.5,,,
2017-12-28T00:50:26.407Z,,30.8,54,34.9,,,
2017-12-28T00:50:36.406Z,,30.8,54,34.8,,,
2017-12-28T00:50:46.406Z,,30.8,54,34.5,,,
2017-12-28T00:50:56.411Z,,30.8,54,34.3,,,
2017-12-28T00:51:06.411Z,,30.8,54,33.9,,,
2017-12-28T00:51:16.407Z,,30.8,54,33.8,,,
2017-12-28T00:51:26.407Z,,30.8,54,37.3,0,40,1
2017-12-28T00:51:36.412Z,,30.8,54,40.1,,34,
2017-12-28T00:51:46.408Z,,30.7,54,39.9,,29,
2017-12-28T00:51:56.406Z,,30.7,54,40,,,
2017-12-28T00:52:06.407Z,,30.7,54,40.5,,,
2017-12-28T00:52:16.417Z,,30.7,54,41,,29,
2017-12-28T00:52:26.408Z,,30.7,54,41.2,,,
2017-12-28T00:52:36.414Z,,30.7,54,41.6,,,
2017-12-28T00:52:46.409Z,,30.7,54,42,,30,
2017-12-28T00:52:56.408Z,,30.8,54,42.1,,29,
2017-12-28T00:53:06.409Z,,30.9,54,42.4,,,
2017-12-28T00:53:16.408Z,,31,54,42.7,,,
2017-12-28T00:53:26.409Z,,31.2,54,42.8,,,
2017-12-28T00:53:36.424Z,,31.2,54,43,,30,
2017-12-28T00:53:46.415Z,,31.3,54,42.9,,29,
2017-12-28T00:53:56.409Z,,31.4,54,43,,,
2017-12-28T00:54:06.413Z,,31.5,54,43.1,,,
2017-12-28T00:54:16.414Z,,31.6,54,43.2,,,
2017-12-28T00:54:26.420Z,,31.8,54,,,,
2017-12-28T00:54:36.429Z,,31.8,54,43.3,,,
2017-12-28T00:54:46.415Z,,31.9,54,43.4,,,
