Time,HwTOutlet,HwActive,PrimT,ActPow,ChActive,PrimTSet,HwTSet
2017-12-10T00:50:45.645Z,32.8,,60.9,29,,,54
2017-12-10T00:50:55.645Z,32.8,,60.9,29,,,54
2017-12-10T00:51:05.640Z,32.8,,60.9,30,,,54
2017-12-10T00:51:15.652Z,32.8,,61.1,29,,,54
2017-12-10T00:51:25.655Z,32.8,,61.1,29,,,54
2017-12-10T00:51:35.649Z,32.8,,,,,,54
2017-12-10T00:51:45.646Z,32.8,,,,,,54
2017-12-10T00:51:55.642Z,32.9,,,30,,,54
2017-12-10T00:52:05.655Z,32.9,,61.2,,,,54
2017-12-10T00:52:15.660Z,33.1,,,,,,54
2017-12-10T00:52:25.648Z,33.1,,,29,,,54
2017-12-10T00:52:35.643Z,33.1,,,30,,,54
2017-12-10T00:52:45.647Z,33.1,,61.3,29,,,54
2017-12-10T00:52:55.644Z,33.1,,,,,,54
2017-12-10T00:53:05.661Z,33.1,,,,,,54
2017-12-10T00:53:15.650Z,33.1,,,,,,54
2017-12-10T00:53:25.657Z,33.2,,,,,,54
2017-12-10T00:53:35.677Z,33.3,,61.4,,,,54
2017-12-10T00:53:45.655Z,33.3,,,,,,54
2017-12-10T00:53:55.644Z,33.2,,,,,,54
2017-12-10T00:54:05.643Z,33.3,,61.5,,,,54
2017-12-10T00:54:15.645Z,33.2,,,30,,,54
2017-12-10T00:54:25.649Z,33.3,,,29,,,54
2017-12-10T00:54:35.642Z,33.3,,,30,,,54
2017-12-10T00:54:45.648Z,33.4,,,29,,,54
2017-12-10T00:54:55.644Z,33.4,,61.6,,,,54
2017-12-10T00:55:05.649Z,33.5,,,,,,54
2017-12-10T00:55:15.650Z,33.5,,,,,,54
2017-12-10T00:55:25.643Z,33.4,,,,,,54
2017-12-10T00:55:35.651Z,33.5,,61.8,,,,54
2017-12-10T00:55:45.644Z,33.5,,,30,,,54
2017-12-10T00:55:55.647Z,33.5,,,,,,54
2017-12-10T00:56:05.650Z,33.4,,,29,,,54
2017-12-10T00:56:15.647Z,33.5,,,,,,54
2017-12-10T00:56:25.649Z,33.5,,61.9,,,,54
2017-12-10T00:56:35.644Z,33.5,,,30,,,54
2017-12-10T00:56:45.647Z,33.3,,,29,,,54
2017-12-10T00:56:55.657Z,33.3,,,,,,54
2017-12-10T00:57:05.652Z,33.2,,61.9,,,,54
2017-12-10T00:57:15.649Z,33.2,,62,,,,54
2017-12-10T00:57:25.646Z,33.4,,,30,,,54
2017-12-10T00:57:35.646Z,33.4,,,29,,,54
2017-12-10T00:57:45.649Z,33.6,,,,,,54
2017-12-10T00:57:55.647Z,33.6,,,,,,54
2017-12-10T00:58:05.647Z,33.6,,,,,,54
2017-12-10T00:58:15.649Z,33.6,,62.1,,,,54
2017-12-10T00:58:25.650Z,33.6,,,,,,54
2017-12-10T00:58:35.646Z,33.5,,,,,,54
2017-12-10T00:58:45.646Z,33.3,,62.2,,,,54
2017-12-10T00:58:55.647Z,33.4,,,,,,54
2017-12-10T00:59:05.651Z,33.4,,,,,,54
2017-12-10T00:59:15.648Z,33.3,,,30,,,54
2017-12-10T00:59:25.647Z,33.4,,,,,,54
2017-12-10T00:59:35.653Z,33.4,,,29,,,54
2017-12-10T00:59:45.648Z,33.3,,,,,,54
2017-12-10T00:59:55.647Z,33.2,,,30,,,54
2017-12-10T01:00:05.652Z,33.1,,62.4,29,,,54
2017-12-10T01:00:15.648Z,33.1,,,,,,54
2017-12-10T01:00:25.646Z,33.3,,,,,,54
2017-12-10T01:00:35.647Z,33.3,,,,,,54
2017-12-10T01:00:45.649Z,33.3,,,,,,54
2017-12-10T01:00:55.653Z,33.2,,62.5,30,,,54
2017-12-10T01:01:05.659Z,33.1,,,,,,54
2017-12-10T01:01:15.647Z,33.2,,,29,,,54
2017-12-10T01:01:25.650Z,33.2,,,,,,54
2017-12-10T01:01:35.651Z,33.2,,,,,,54
2017-12-10T01:01:45.647Z,33.2,,,,,,54
2017-12-10T01:01:55.647Z,33.2,,62.6,30,,,54
2017-12-10T01:02:05.653Z,33.3,,,29,,,54
2017-12-10T01:02:15.647Z,33.2,,,,,,54
2017-12-10T01:02:25.649Z,33.2,,,,,,54
2017-12-10T01:02:35.650Z,32.9,,,,,,54
2017-12-10T01:02:45.649Z,33.4,,,,,,54
2017-12-10T01:02:55.653Z,33.4,,,30,,,54
2017-12-10T01:03:05.653Z,33.4,,62.7,29,,,54
2017-12-10T01:03:15.653Z,33.4,,,,,,54
