Time,HwTSet,HwTOutlet,PrimTSet,PrimT,ChActive,HwActive,ActPow
2018-02-14T01:00:08.941Z,54,13.7,,51,,,
2018-02-14T01:00:18.967Z,54,13.9,,51.2,,,
2018-02-14T01:00:28.942Z,54,13.7,,,,,
2018-02-14T01:00:38.865Z,54,13.9,,51.3,,,
2018-02-14T01:00:48.863Z,54,13.9,,51.4,,,30
2018-02-14T01:00:58.868Z,54,13.9,,51.5,,,
2018-02-14T01:01:08.879Z,54,13.9,,,,,29
2018-02-14T01:01:19.010Z,54,13.7,,51.6,,,
2018-02-14T01:01:28.890Z,54,13.9,,,,,30
2018-02-14T01:01:38.884Z,54,13.9,,,,,29
2018-02-14T01:01:48.944Z,54,13.9,,51.7,,,30
2018-02-14T01:01:58.864Z,54,13.9,,,,,29
2018-02-14T01:02:08.994Z,54,13.9,,51.8,,,
2018-02-14T01:02:19.049Z,54,14,,,,,
2018-02-14T01:02:28.991Z,54,14,,51.9,,,
2018-02-14T01:02:38.891Z,54,14,,52,,,30
2018-02-14T01:02:48.871Z,54,14,,52,,,29
2018-02-14T01:02:58.935Z,54,14,,52.1,,,
2018-02-14T01:03:08.866Z,54,14,,52.2,,,
2018-02-14T01:03:19.029Z,54,14,,,,,30
2018-02-14T01:03:28.950Z,54,14,,52.3,,,29
2018-02-14T01:03:38.864Z,54,14,,52.4,,,
2018-02-14T01:03:48.939Z,54,14,,,,,30
2018-02-14T01:03:58.867Z,54,14,,52.6,,,29
2018-02-14T01:04:08.906Z,54,14,,52.7,,,
2018-02-14T01:04:19.084Z,54,13.9,,52.8,,,
2018-02-14T01:04:28.907Z,54,14,,,,,
2018-02-14T01:04:38.887Z,54,14.2,,52.9,,,
2018-02-14T01:04:48.969Z,54,14,,53,,,
2018-02-14T01:04:58.883Z,54,14.2,,,,,
2018-02-14T01:05:08.879Z,54,14.2,,53.1,,,
2018-02-14T01:05:19.020Z,54,14.2,,53.2,,,30
2018-02-14T01:05:28.868Z,54,14.2,,,,,29
2018-02-14T01:05:38.888Z,54,14.2,,53.3,,,
2018-02-14T01:05:48.975Z,54,14.2,,53.4,,,
2018-02-14T01:05:58.915Z,54,14.2,,,,,
2018-02-14T01:06:08.925Z,54,14.2,,53.5,,,
2018-02-14T01:06:19.056Z,54,14.2,,,,,
2018-02-14T01:06:28.928Z,54,14.2,,53.6,,,
2018-02-14T01:06:38.924Z,54,14.2,,53.7,,,
2018-02-14T01:06:49.014Z,54,14.2,,,,,
2018-02-14T01:06:58.870Z,54,14.2,,53.8,,,
2018-02-14T01:07:08.909Z,54,14.2,,,,,
